date,stock_code,open,high,low,close,volume
2023-07-03,sh.601139,6.98344493,7.1454075,6.97391772,7.08824424,14002097
2023-07-04,sh.601139,7.0501354,7.16446192,7.00249935,7.0501354,10581380
2023-07-05,sh.601139,7.0501354,7.07871703,6.94533609,6.96439051,6157356
2023-07-06,sh.601139,6.9548633,7.01202656,6.91675446,6.94533609,5267243
2023-07-07,sh.601139,6.92628167,7.0501354,6.89770004,7.00249935,7883577
2023-07-10,sh.601139,7.0501354,7.07871703,7.00249935,7.0501354,5226918
2023-07-11,sh.601139,7.05966261,7.09777145,7.00249935,7.02155377,5097061
2023-07-12,sh.601139,7.12635308,7.20257076,7.03108098,7.15493471,16380579
2023-07-13,sh.601139,7.18351634,7.29784286,7.1454075,7.20257076,9718501
2023-07-14,sh.601139,7.21209797,7.23115239,7.10729866,7.18351634,6898356
2023-07-17,sh.601139,7.20257076,7.28831565,7.1454075,7.23115239,6793286
2023-07-18,sh.601139,7.20257076,7.25973402,7.18351634,7.19304355,6505252
2023-07-19,sh.601139,7.21209797,7.25020681,7.15493471,7.23115239,5043709
2023-07-20,sh.601139,7.26926123,7.28831565,7.16446192,7.19304355,7602795
2023-07-21,sh.601139,7.15493471,7.23115239,7.15493471,7.21209797,7035740
2023-07-24,sh.601139,7.2406796,7.4312238,7.20257076,7.41216938,12408303
2023-07-25,sh.601139,7.41216938,7.42169659,7.00249935,7.13588029,37659459
2023-07-26,sh.601139,7.10729866,7.13588029,6.96439051,7.08824424,17942493
2023-07-27,sh.601139,6.84053678,7.05966261,6.83100957,7.00249935,25131830
2023-07-28,sh.601139,6.9548633,7.0501354,6.93580888,6.99297214,10454599
2023-07-31,sh.601139,7.00249935,7.07871703,6.89770004,6.94533609,14644517
2023-08-01,sh.601139,6.9548633,7.08824424,6.89770004,7.06918982,14022302
2023-08-02,sh.601139,7.08824424,7.19304355,6.98344493,7.01202656,10686624
2023-08-03,sh.601139,6.99297214,7.0501354,6.9548633,6.96439051,7501500
2023-08-04,sh.601139,6.98344493,7.04060819,6.93580888,6.94533609,6203911
2023-08-07,sh.601139,6.93580888,7.08824424,6.87864562,7.03108098,11828031
2023-08-08,sh.601139,7.02155377,7.12635308,6.93580888,7.05966261,9515063
