date,stock_code,open,high,low,close,volume
2023-07-03,sz.000050,9.24,9.42,9.18,9.25,9376341
2023-07-04,sz.000050,9.26,9.37,9.21,9.36,6325500
2023-07-05,sz.000050,9.36,9.42,9.29,9.37,6284155
2023-07-06,sz.000050,9.37,9.58,9.33,9.48,10001268
2023-07-07,sz.000050,9.48,9.53,9.37,9.41,6324416
2023-07-10,sz.000050,9.41,9.45,9.33,9.36,5300559
2023-07-11,sz.000050,9.36,9.45,9.35,9.43,4288946
2023-07-12,sz.000050,9.41,9.46,9.27,9.3,5147500
2023-07-13,sz.000050,9.3,9.45,9.3,9.44,4938700
2023-07-14,sz.000050,9.45,9.66,9.45,9.64,9541529
2023-07-17,sz.000050,9.3,9.42,9.07,9.18,20545209
2023-07-18,sz.000050,9.17,9.34,9.16,9.26,10837405
2023-07-19,sz.000050,9.23,9.3,9.15,9.19,4749456
2023-07-20,sz.000050,9.18,9.23,9.05,9.06,7238800
2023-07-21,sz.000050,9.1,9.13,9.01,9.04,5616826
2023-07-24,sz.000050,9.02,9.25,9.01,9.25,9177661
2023-07-25,sz.000050,9.26,9.32,9.21,9.29,6319650
2023-07-26,sz.000050,9.25,9.28,9.2,9.24,4166191
2023-07-27,sz.000050,9.22,9.31,9.2,9.22,5082346
2023-07-28,sz.000050,9.21,9.32,9.17,9.29,5555772
2023-07-31,sz.000050,9.3,9.5,9.3,9.37,9942573
2023-08-01,sz.000050,9.4,9.42,9.31,9.42,6245074
2023-08-02,sz.000050,9.42,9.52,9.38,9.49,6738041
2023-08-03,sz.000050,9.46,9.5,9.42,9.46,5973496
2023-08-04,sz.000050,9.47,9.59,9.43,9.56,8636767
2023-08-07,sz.000050,9.58,9.58,9.49,9.55,7564745
2023-08-08,sz.000050,9.54,9.56,9.41,9.42,5278800
2023-08-09,sz.000050,9.43,9.44,9.29,9.32,4994201
2023-08-10,sz.000050,9.33,9.39,9.25,9.31,4143929
2023-08-11,sz.000050,9.35,9.36,9.17,9.18,5499902
2023-08-14,sz.000050,9.15,9.17,9.04,9.17,6402800
2023-08-15,sz.000050,9.24,9.25,9.07,9.15,5222300
2023-08-16,sz.000050,9.11,9.15,9.07,9.08,4162957
2023-08-17,sz.000050,9.04,9.08,8.86,8.9,11838900
2023-08-18,sz.000050,8.88,8.93,8.7,8.7,9624100
2023-08-21,sz.000050,8.69,8.76,8.46,8.46,12073935
2023-08-22,sz.000050,8.5,8.58,8.36,8.48,9096502
2023-08-23,sz.000050,8.46,8.46,8.3,8.3,7399932
2023-08-24,sz.000050,8.34,8.37,8.26,8.28,7970600
2023-08-25,sz.000050,8.27,8.29,8.13,8.18,7338555
2023-08-28,sz.000050,8.46,8.53,8.11,8.19,13650390
2023-08-29,sz.000050,8.14,8.43,8.14,8.36,10202601
2023-08-30,sz.000050,8.4,8.56,8.36,8.46,11664361
2023-08-31,sz.000050,8.49,8.64,8.44,8.6,10868120
2023-09-01,sz.000050,8.61,8.75,8.57,8.71,8089758
2023-09-04,sz.000050,8.71,8.95,8.67,8.93,11606057
2023-09-05,sz.000050,8.94,9.19,8.94,9.04,13709748
2023-09-06,sz.000050,8.99,9.25,8.96,9.23,15537373
2023-09-07,sz.000050,9.23,9.29,9.12,9.16,14519402
2023-09-08,sz.000050,9.09,9.22,9.09,9.2,8230800
2023-09-11,sz.000050,9.25,9.43,9.2,9.34,14534747
2023-09-12,sz.000050,9.38,9.38,9.3,9.33,8341859
2023-09-13,sz.000050,9.35,9.36,9.16,9.23,11909571
2023-09-14,sz.000050,9.23,9.26,9.13,9.21,8799100
2023-09-15,sz.000050,9.23,9.25,9.1,9.11,7302759
2023-09-18,sz.000050,9.14,9.34,9.09,9.27,11621336
2023-09-19,sz.000050,9.23,9.29,9.09,9.13,7461443
2023-09-20,sz.000050,9.11,9.19,9.06,9.13,6611649
2023-09-21,sz.000050,9.1,9.18,9.06,9.11,5561649
2023-09-22,sz.000050,9.11,9.24,9.09,9.22,6156162
2023-09-25,sz.000050,9.2,9.22,9.12,9.18,5652475
2023-09-26,sz.000050,9.14,9.19,9.08,9.1,6054702
2023-09-27,sz.000050,9.07,9.14,9.03,9.03,4802238
2023-09-28,sz.000050,9.05,9.27,9.04,9.22,7001500
2023-10-09,sz.000050,9.22,9.27,9.15,9.23,8032550
2023-10-10,sz.000050,9.28,9.43,9.25,9.38,8937401
2023-10-11,sz.000050,9.39,9.55,9.38,9.5,10014200
2023-10-12,sz.000050,9.52,9.58,9.47,9.51,7581500
2023-10-13,sz.000050,9.5,9.76,9.45,9.71,14850808
2023-10-16,sz.000050,9.73,9.77,9.63,9.7,10876857
2023-10-17,sz.000050,9.7,10.24,9.68,9.86,28581750
2023-10-18,sz.000050,9.79,9.98,9.71,9.89,24856306
2023-10-19,sz.000050,9.87,10.15,9.84,9.94,27767807
2023-10-20,sz.000050,9.87,10.07,9.69,9.73,21249524
2023-10-23,sz.000050,9.6,9.78,9.55,9.64,15308500
2023-10-24,sz.000050,9.65,9.78,9.49,9.73,15311915
2023-10-25,sz.000050,9.73,9.75,9.59,9.63,12431730
2023-10-26,sz.000050,9.61,9.78,9.54,9.73,17174574
2023-10-27,sz.000050,9.72,9.72,9.36,9.49,22919710
2023-10-30,sz.000050,9.4,9.98,9.39,9.83,19584846
2023-10-31,sz.000050,9.81,9.94,9.73,9.79,11885820
2023-11-01,sz.000050,9.82,9.86,9.73,9.75,7969301
2023-11-02,sz.000050,9.76,9.92,9.72,9.74,10780602
2023-11-03,sz.000050,9.73,9.9,9.7,9.87,9586600
2023-11-06,sz.000050,10.01,10.39,9.95,10.28,26258400
2023-11-07,sz.000050,10.3,11.05,10.28,10.65,42639770
2023-11-08,sz.000050,10.53,10.75,10.44,10.52,18399804
2023-11-09,sz.000050,10.49,10.82,10.32,10.72,40408728
2023-11-10,sz.000050,10.66,11.08,10.5,10.92,37766421
2023-11-13,sz.000050,10.91,10.95,10.72,10.92,23502385
2023-11-14,sz.000050,10.95,11.01,10.7,10.8,23337852
2023-11-15,sz.000050,10.9,11.12,10.8,10.86,21314378
2023-11-16,sz.000050,10.75,10.87,10.67,10.7,12376657
2023-11-17,sz.000050,10.66,10.76,10.59,10.67,14049924
2023-11-20,sz.000050,10.63,10.73,10.55,10.61,12335002
2023-11-21,sz.000050,10.61,10.69,10.47,10.51,12203876
2023-11-22,sz.000050,10.42,10.57,10.4,10.4,7979500
2023-11-23,sz.000050,10.39,10.58,10.37,10.52,9206000
2023-11-24,sz.000050,10.53,10.58,10.38,10.43,7117601
2023-11-27,sz.000050,10.4,10.6,10.37,10.53,13774603
2023-11-28,sz.000050,10.66,10.98,10.53,10.76,22953202
2023-11-29,sz.000050,10.97,11.33,10.86,11.04,42196784
2023-11-30,sz.000050,11.01,11.02,10.72,10.87,26143589
2023-12-01,sz.000050,10.84,10.89,10.63,10.8,17567866
2023-12-04,sz.000050,10.8,10.89,10.53,10.71,18705419
2023-12-05,sz.000050,10.71,10.71,10.44,10.45,15317292
2023-12-06,sz.000050,10.34,10.52,10.25,10.37,13681268
2023-12-07,sz.000050,10.35,10.75,10.35,10.56,18572763
2023-12-08,sz.000050,10.59,10.71,10.47,10.5,14927016
2023-12-11,sz.000050,10.47,10.47,10.19,10.42,19650984
2023-12-12,sz.000050,10.41,10.46,10.2,10.43,13682858
2023-12-13,sz.000050,10.43,10.45,10.27,10.28,6943587
2023-12-14,sz.000050,10.34,10.41,10.26,10.26,9023987
2023-12-15,sz.000050,10.3,10.33,10.19,10.2,8862998
2023-12-18,sz.000050,10.18,10.26,10.02,10.07,11805881
2023-12-19,sz.000050,10.1,10.26,10.02,10.26,10895861
2023-12-20,sz.000050,10.22,10.3,10.0,10.11,14196539
2023-12-21,sz.000050,10.14,10.35,10.02,10.28,14311736
2023-12-22,sz.000050,10.3,10.36,10.12,10.17,10103400
2023-12-25,sz.000050,10.16,10.25,10.04,10.16,7912215
2023-12-26,sz.000050,10.15,10.23,9.9,10.01,7104308
2023-12-27,sz.000050,9.99,10.32,9.99,10.29,10488394
2023-12-28,sz.000050,10.25,10.3,10.19,10.23,9624926
2023-12-29,sz.000050,10.21,10.7,10.18,10.65,16234546
2024-01-02,sz.000050,10.65,10.69,10.43,10.43,8549898
2024-01-03,sz.000050,10.36,10.5,10.25,10.35,12085679
2024-01-04,sz.000050,10.35,10.38,10.07,10.18,13103832
2024-01-05,sz.000050,10.2,10.33,10.11,10.12,10443989
2024-01-08,sz.000050,10.13,10.23,9.79,9.83,13550161
2024-01-09,sz.000050,9.87,9.98,9.7,9.8,13798234
2024-01-10,sz.000050,9.78,9.83,9.58,9.58,8812471
2024-01-11,sz.000050,9.58,9.64,9.38,9.46,15590703
2024-01-12,sz.000050,9.5,9.53,9.37,9.42,8148184
2024-01-15,sz.000050,9.4,9.67,9.35,9.43,13899466
2024-01-16,sz.000050,9.44,9.5,9.21,9.3,11419968
2024-01-17,sz.000050,9.31,9.35,9.1,9.12,8153275
2024-01-18,sz.000050,9.09,9.14,8.8,9.07,11752587
2024-01-19,sz.000050,9.08,9.12,8.97,9.0,8837352
2024-01-22,sz.000050,9.0,9.09,8.5,8.58,12023545
2024-01-23,sz.000050,8.58,8.77,8.4,8.7,14717072
2024-01-24,sz.000050,8.77,8.98,8.52,8.95,13191803
2024-01-25,sz.000050,8.93,9.3,8.86,9.28,10824744
2024-01-26,sz.000050,9.29,9.33,9.11,9.17,7092728
2024-01-29,sz.000050,9.17,9.29,8.98,8.99,6856900
2024-01-30,sz.000050,8.92,9.03,8.67,8.68,7559201
2024-01-31,sz.000050,8.55,8.72,8.27,8.32,12667596
2024-02-01,sz.000050,8.32,8.49,8.16,8.2,14246618
2024-02-02,sz.000050,8.19,8.32,7.55,7.84,16420600
2024-02-05,sz.000050,7.73,7.84,7.07,7.59,23630290
2024-02-06,sz.000050,7.38,8.01,7.28,7.96,28403026
2024-02-07,sz.000050,7.97,8.76,7.97,8.76,34285797
2024-02-08,sz.000050,8.96,9.52,8.76,9.18,32107546
2024-02-19,sz.000050,9.46,9.46,8.66,8.8,26893025
2024-02-20,sz.000050,8.72,8.87,8.51,8.83,16872236
2024-02-21,sz.000050,8.78,9.17,8.67,8.88,14907159
2024-02-22,sz.000050,8.87,9.0,8.82,8.91,9527900
2024-02-23,sz.000050,8.93,8.95,8.72,8.92,12914701
2024-02-26,sz.000050,8.95,9.16,8.88,8.96,14854441
2024-02-27,sz.000050,8.92,9.17,8.87,9.17,10820586
2024-02-28,sz.000050,9.16,9.26,8.88,8.88,17939906
2024-02-29,sz.000050,8.85,9.18,8.8,9.16,15726950
2024-03-01,sz.000050,9.17,9.37,9.14,9.34,14363985
2024-03-04,sz.000050,9.34,9.39,9.18,9.3,10385699
2024-03-05,sz.000050,9.27,9.38,9.18,9.25,15261600
2024-03-06,sz.000050,9.21,9.26,9.07,9.13,9244300
2024-03-07,sz.000050,9.16,9.2,8.89,8.89,13250696
2024-03-08,sz.000050,8.92,9.09,8.84,9.09,9420010
2024-03-11,sz.000050,9.1,9.16,8.99,9.15,10691300
2024-03-12,sz.000050,9.17,9.28,9.09,9.18,9428256
2024-03-13,sz.000050,9.2,9.31,9.14,9.2,9595695
2024-03-14,sz.000050,9.23,9.23,8.98,9.04,8942744
2024-03-15,sz.000050,9.02,9.17,8.99,9.17,10815460
2024-03-18,sz.000050,9.15,9.27,9.03,9.13,15945583
2024-03-19,sz.000050,9.1,9.19,9.02,9.03,13722557
2024-03-20,sz.000050,9.04,9.1,8.96,9.0,12158534
