date,stock_code,open,high,low,close,volume
2023-07-03,sz.000415,2.1,2.15,2.09,2.14,22032215
2023-07-04,sz.000415,2.14,2.15,2.12,2.13,11822000
2023-07-05,sz.000415,2.13,2.14,2.12,2.13,8969900
2023-07-06,sz.000415,2.13,2.15,2.12,2.15,14691200
2023-07-07,sz.000415,2.14,2.15,2.12,2.15,13341693
2023-07-10,sz.000415,2.16,2.16,2.13,2.15,10297300
2023-07-11,sz.000415,2.15,2.16,2.14,2.16,8320300
2023-07-12,sz.000415,2.16,2.16,2.13,2.13,10546734
2023-07-13,sz.000415,2.13,2.15,2.13,2.15,10684500
2023-07-14,sz.000415,2.15,2.16,2.14,2.15,10253000
2023-07-17,sz.000415,2.15,2.15,2.12,2.13,15112185
2023-07-18,sz.000415,2.13,2.15,2.12,2.15,16387885
2023-07-19,sz.000415,2.14,2.17,2.14,2.17,14937690
2023-07-20,sz.000415,2.17,2.2,2.16,2.19,18462400
2023-07-21,sz.000415,2.18,2.21,2.18,2.21,20502559
2023-07-24,sz.000415,2.2,2.23,2.19,2.22,20655400
2023-07-25,sz.000415,2.23,2.26,2.22,2.26,29605650
2023-07-26,sz.000415,2.25,2.29,2.24,2.29,35412439
2023-07-27,sz.000415,2.29,2.33,2.26,2.29,42941841
2023-07-28,sz.000415,2.28,2.4,2.27,2.39,78311790
2023-07-31,sz.000415,2.39,2.47,2.38,2.44,65254284
2023-08-01,sz.000415,2.43,2.5,2.4,2.49,70519946
2023-08-02,sz.000415,2.48,2.67,2.47,2.59,102326868
2023-08-03,sz.000415,2.56,2.64,2.51,2.62,84495437
2023-08-04,sz.000415,2.61,2.7,2.61,2.68,86699569
2023-08-07,sz.000415,2.68,2.8,2.64,2.76,100182838
2023-08-08,sz.000415,2.75,2.94,2.72,2.84,184111379
2023-08-09,sz.000415,2.83,2.91,2.8,2.81,119191713
2023-08-10,sz.000415,2.81,2.81,2.7,2.74,140790494
2023-08-11,sz.000415,2.76,2.79,2.72,2.73,69289600
2023-08-14,sz.000415,2.7,2.8,2.67,2.73,77368346
2023-08-15,sz.000415,2.73,2.77,2.68,2.71,74479724
2023-08-16,sz.000415,2.72,2.75,2.68,2.7,68382700
2023-08-17,sz.000415,2.69,2.72,2.64,2.71,54882232
2023-08-18,sz.000415,2.72,2.73,2.64,2.64,44448000
2023-08-21,sz.000415,2.66,2.71,2.65,2.65,47894600
2023-08-22,sz.000415,2.64,2.69,2.63,2.67,38862200
2023-08-23,sz.000415,2.67,2.73,2.66,2.67,44332800
2023-08-24,sz.000415,2.67,2.7,2.62,2.64,40726703
2023-08-25,sz.000415,2.63,2.7,2.61,2.66,40125017
2023-08-28,sz.000415,2.86,2.87,2.65,2.67,60434720
2023-08-29,sz.000415,2.65,2.68,2.6,2.66,71040429
2023-08-30,sz.000415,2.66,2.71,2.62,2.68,60650978
2023-08-31,sz.000415,2.69,2.81,2.58,2.6,78739919
2023-09-01,sz.000415,2.6,2.65,2.59,2.61,38266551
2023-09-04,sz.000415,2.6,2.66,2.59,2.63,38142700
2023-09-05,sz.000415,2.63,2.66,2.6,2.66,42644616
2023-09-06,sz.000415,2.65,2.74,2.62,2.7,53613300
2023-09-07,sz.000415,2.69,2.7,2.62,2.63,47122900
2023-09-08,sz.000415,2.62,2.68,2.61,2.66,27028632
2023-09-11,sz.000415,2.65,2.69,2.64,2.67,26143100
2023-09-12,sz.000415,2.67,2.73,2.65,2.71,38177180
2023-09-13,sz.000415,2.71,2.76,2.67,2.68,44238800
2023-09-14,sz.000415,2.68,2.69,2.63,2.66,33157600
2023-09-15,sz.000415,2.66,2.7,2.65,2.65,27887600
2023-09-18,sz.000415,2.66,2.67,2.61,2.65,26721300
2023-09-19,sz.000415,2.65,2.68,2.63,2.66,19828460
2023-09-20,sz.000415,2.67,2.67,2.63,2.65,21628962
2023-09-21,sz.000415,2.65,2.66,2.61,2.63,34373400
2023-09-22,sz.000415,2.63,2.68,2.62,2.65,32768744
2023-09-25,sz.000415,2.66,2.66,2.62,2.62,25938000
2023-09-26,sz.000415,2.61,2.64,2.61,2.63,17660500
2023-09-27,sz.000415,2.64,2.68,2.62,2.64,26713600
2023-09-28,sz.000415,2.65,2.66,2.56,2.56,39041300
2023-10-09,sz.000415,2.56,2.56,2.48,2.5,45271850
2023-10-10,sz.000415,2.5,2.51,2.46,2.47,38373300
2023-10-11,sz.000415,2.48,2.49,2.43,2.43,31348187
2023-10-12,sz.000415,2.43,2.49,2.43,2.47,30190710
2023-10-13,sz.000415,2.45,2.5,2.45,2.47,23263752
2023-10-16,sz.000415,2.47,2.48,2.41,2.43,30171710
2023-10-17,sz.000415,2.43,2.46,2.4,2.44,25811400
2023-10-18,sz.000415,2.43,2.45,2.4,2.41,21057600
2023-10-19,sz.000415,2.41,2.45,2.39,2.4,28384698
2023-10-20,sz.000415,2.4,2.44,2.37,2.41,26419800
2023-10-23,sz.000415,2.4,2.41,2.33,2.34,31877290
2023-10-24,sz.000415,2.35,2.41,2.33,2.4,39301302
2023-10-25,sz.000415,2.41,2.44,2.4,2.41,22393300
2023-10-26,sz.000415,2.4,2.42,2.38,2.4,23484900
2023-10-27,sz.000415,2.38,2.44,2.36,2.43,28726068
2023-10-30,sz.000415,2.42,2.43,2.39,2.4,35773911
2023-10-31,sz.000415,2.42,2.47,2.39,2.39,38447100
2023-11-01,sz.000415,2.42,2.46,2.38,2.38,58664005
2023-11-02,sz.000415,2.37,2.41,2.36,2.37,37535100
2023-11-03,sz.000415,2.37,2.38,2.32,2.33,47424076
2023-11-06,sz.000415,2.33,2.38,2.32,2.37,48167300
2023-11-07,sz.000415,2.36,2.37,2.33,2.34,51148200
2023-11-08,sz.000415,2.33,2.34,2.28,2.29,54728900
2023-11-09,sz.000415,2.29,2.3,2.27,2.28,37458565
2023-11-10,sz.000415,2.28,2.28,2.25,2.26,38356502
2023-11-13,sz.000415,2.26,2.28,2.23,2.27,34802665
2023-11-14,sz.000415,2.27,2.31,2.27,2.29,33133100
2023-11-15,sz.000415,2.3,2.32,2.28,2.29,31856765
2023-11-16,sz.000415,2.28,2.3,2.26,2.29,32037641
2023-11-17,sz.000415,2.28,2.29,2.25,2.28,39465880
2023-11-20,sz.000415,2.3,2.3,2.27,2.29,31839800
2023-11-21,sz.000415,2.3,2.35,2.29,2.31,52017002
2023-11-22,sz.000415,2.3,2.35,2.29,2.31,42529780
2023-11-23,sz.000415,2.32,2.34,2.3,2.33,29290600
2023-11-24,sz.000415,2.32,2.33,2.3,2.31,28048865
2023-11-27,sz.000415,2.3,2.31,2.26,2.27,30608400
2023-11-28,sz.000415,2.27,2.27,2.22,2.25,33603734
2023-11-29,sz.000415,2.24,2.25,2.2,2.21,31089610
2023-11-30,sz.000415,2.21,2.24,2.2,2.22,27634177
2023-12-01,sz.000415,2.21,2.26,2.2,2.25,36547057
2023-12-04,sz.000415,2.25,2.27,2.24,2.25,26220832
2023-12-05,sz.000415,2.25,2.25,2.2,2.21,24504300
2023-12-06,sz.000415,2.21,2.21,2.18,2.2,35925502
2023-12-07,sz.000415,2.2,2.24,2.19,2.23,38996315
2023-12-08,sz.000415,2.22,2.25,2.19,2.25,78060315
2023-12-11,sz.000415,2.23,2.24,2.17,2.23,68719051
2023-12-12,sz.000415,2.21,2.28,2.21,2.26,57589877
2023-12-13,sz.000415,2.26,2.31,2.24,2.27,48203695
2023-12-14,sz.000415,2.27,2.3,2.27,2.28,32813202
2023-12-15,sz.000415,2.28,2.31,2.27,2.29,30898374
2023-12-18,sz.000415,2.29,2.31,2.24,2.25,35552600
2023-12-19,sz.000415,2.25,2.26,2.21,2.23,26987534
2023-12-20,sz.000415,2.23,2.24,2.19,2.2,28091900
2023-12-21,sz.000415,2.18,2.2,2.15,2.19,34211800
2023-12-22,sz.000415,2.19,2.2,2.15,2.16,32673640
2023-12-25,sz.000415,2.15,2.16,2.13,2.14,20905200
2023-12-26,sz.000415,2.15,2.15,2.12,2.12,14734520
2023-12-27,sz.000415,2.12,2.15,2.11,2.14,19957700
2023-12-28,sz.000415,2.14,2.18,2.12,2.16,36210962
2023-12-29,sz.000415,2.16,2.17,2.13,2.14,30569400
2024-01-02,sz.000415,2.14,2.15,2.12,2.12,35852766
2024-01-03,sz.000415,2.12,2.17,2.12,2.14,44706520
2024-01-04,sz.000415,2.15,2.15,2.08,2.1,48308006
2024-01-05,sz.000415,2.1,2.12,2.07,2.08,43570224
2024-01-08,sz.000415,2.07,2.08,2.03,2.03,41075822
2024-01-09,sz.000415,2.04,2.06,2.03,2.04,34542093
2024-01-10,sz.000415,2.03,2.09,2.01,2.06,44923793
2024-01-11,sz.000415,2.07,2.08,2.05,2.07,36870300
2024-01-12,sz.000415,2.07,2.09,2.04,2.04,39588539
2024-01-15,sz.000415,2.04,2.07,2.03,2.05,35066266
2024-01-16,sz.000415,2.04,2.06,2.0,2.04,44506734
2024-01-17,sz.000415,2.02,2.07,1.99,1.99,63525447
2024-01-18,sz.000415,1.98,2.0,1.93,1.99,63050615
2024-01-19,sz.000415,1.99,2.05,1.98,2.02,49138703
2024-01-22,sz.000415,2.02,2.02,1.92,1.94,50602000
2024-01-23,sz.000415,1.93,2.0,1.9,1.98,44651900
2024-01-24,sz.000415,1.99,2.12,1.96,2.11,113581877
2024-01-25,sz.000415,2.1,2.11,2.07,2.1,98126802
2024-01-26,sz.000415,2.1,2.16,2.1,2.12,92355635
2024-01-29,sz.000415,2.13,2.14,2.07,2.08,76105600
2024-01-30,sz.000415,2.06,2.09,2.01,2.02,58413700
2024-01-31,sz.000415,2.07,2.14,2.04,2.05,103504229
2024-02-01,sz.000415,2.03,2.07,1.98,1.99,74615516
2024-02-02,sz.000415,1.98,2.03,1.91,1.95,68556455
2024-02-05,sz.000415,1.93,1.94,1.8,1.83,80103000
2024-02-06,sz.000415,1.81,2.01,1.81,2.0,92627492
2024-02-07,sz.000415,2.0,2.1,2.0,2.05,116777428
