date,stock_code,open,high,low,close,volume
2023-07-03,sz.000883,4.37205024,4.4099856,4.32463104,4.38153408,17001124
2023-07-04,sz.000883,4.38153408,4.38153408,4.29617952,4.32463104,15718873
2023-07-05,sz.000883,4.32463104,4.37205024,4.3151472,4.33411488,9555300
2023-07-06,sz.000883,4.33411488,4.3625664,4.30566336,4.3151472,7697400
2023-07-07,sz.000883,4.33411488,4.41946944,4.32463104,4.3625664,16111489
2023-07-10,sz.000883,4.41946944,4.46688864,4.3625664,4.40050176,13269500
2023-07-11,sz.000883,4.4099856,4.43843712,4.37205024,4.4099856,13687059
2023-07-12,sz.000883,4.4099856,4.42895328,4.3625664,4.38153408,13470000
2023-07-13,sz.000883,4.38153408,4.41946944,4.37205024,4.40050176,11032174
2023-07-14,sz.000883,4.40050176,4.40050176,4.33411488,4.34359872,10914911
2023-07-17,sz.000883,4.33411488,4.38153408,4.33411488,4.3625664,9600600
2023-07-18,sz.000883,4.3625664,4.37205024,4.3151472,4.33411488,8297900
2023-07-19,sz.000883,4.32463104,4.34359872,4.28669568,4.30566336,7813160
2023-07-20,sz.000883,4.30566336,4.32463104,4.267728,4.267728,8215800
2023-07-21,sz.000883,4.267728,4.30566336,4.267728,4.27721184,6970973
2023-07-24,sz.000883,4.267728,4.32463104,4.24876032,4.29617952,11830045
2023-07-25,sz.000883,4.3151472,4.33411488,4.23927648,4.28669568,21414870
2023-07-26,sz.000883,4.27721184,4.28669568,4.24876032,4.27721184,11076563
2023-07-27,sz.000883,4.27721184,4.30566336,4.25824416,4.27721184,9904967
2023-07-28,sz.000883,4.27721184,4.3625664,4.25824416,4.34359872,14687699
2023-07-31,sz.000883,4.35308256,4.4099856,4.34359872,4.39101792,18319919
2023-08-01,sz.000883,4.40050176,4.47637248,4.37205024,4.47637248,27092284
2023-08-02,sz.000883,4.47637248,4.47637248,4.4099856,4.43843712,13636800
2023-08-03,sz.000883,4.43843712,4.46688864,4.4099856,4.44792096,9685700
2023-08-04,sz.000883,4.4574048,4.47637248,4.4099856,4.42895328,10891676
2023-08-07,sz.000883,4.41946944,4.43843712,4.39101792,4.42895328,9758400
2023-08-08,sz.000883,4.41946944,4.44792096,4.39101792,4.40050176,8665221
2023-08-09,sz.000883,4.40050176,4.40050176,4.34359872,4.3625664,12350900
2023-08-10,sz.000883,4.35308256,4.38153408,4.33411488,4.37205024,9056400
2023-08-11,sz.000883,4.38153408,4.39101792,4.27721184,4.27721184,13125602
2023-08-14,sz.000883,4.27721184,4.30566336,4.22979264,4.28669568,10311901
2023-08-15,sz.000883,4.29617952,4.32463104,4.267728,4.28669568,7634900
2023-08-16,sz.000883,4.31552758,4.325139,4.26747048,4.28669332,7455500
2023-08-17,sz.000883,4.2770819,4.28669332,4.21941338,4.26747048,11333478
2023-08-18,sz.000883,4.25785906,4.33475042,4.25785906,4.2770819,11127664
2023-08-21,sz.000883,4.28669332,4.325139,4.24824764,4.25785906,11004992
2023-08-22,sz.000883,4.24824764,4.31552758,4.20019054,4.21941338,15041600
2023-08-23,sz.000883,4.21941338,4.26747048,4.1809677,4.19057912,14244304
2023-08-24,sz.000883,4.20019054,4.20980196,4.12329918,4.16174486,17254697
2023-08-25,sz.000883,4.15213344,4.23863622,4.12329918,4.19057912,12385311
2023-08-28,sz.000883,4.3731961,4.3731961,4.26747048,4.30591616,31198664
2023-08-29,sz.000883,4.29630474,4.33475042,4.26747048,4.28669332,22956900
2023-08-30,sz.000883,4.2770819,4.30591616,4.1809677,4.19057912,17377500
2023-08-31,sz.000883,4.20019054,4.2290248,4.15213344,4.17135628,11547900
2023-09-01,sz.000883,4.19057912,4.20980196,4.14252202,4.15213344,16010370
2023-09-04,sz.000883,4.17135628,4.21941338,4.15213344,4.20980196,13923322
2023-09-05,sz.000883,4.20980196,4.23863622,4.1809677,4.21941338,12817141
2023-09-06,sz.000883,4.2290248,4.2290248,4.16174486,4.17135628,14556300
2023-09-07,sz.000883,4.17135628,4.1809677,4.11368776,4.12329918,13445000
2023-09-08,sz.000883,4.11368776,4.17135628,4.09446492,4.15213344,12604050
2023-09-11,sz.000883,4.16174486,4.2290248,4.16174486,4.20019054,17316289
2023-09-12,sz.000883,4.21941338,4.24824764,4.20019054,4.20980196,10117046
2023-09-13,sz.000883,4.2290248,4.24824764,4.20019054,4.21941338,11002707
2023-09-14,sz.000883,4.23863622,4.29630474,4.21941338,4.28669332,20103502
2023-09-15,sz.000883,4.29630474,4.29630474,4.2290248,4.23863622,12530224
2023-09-18,sz.000883,4.2290248,4.24824764,4.17135628,4.20980196,13582491
2023-09-19,sz.000883,4.21941338,4.24824764,4.20019054,4.21941338,13627502
2023-09-20,sz.000883,4.23863622,4.23863622,4.1809677,4.20980196,9734106
2023-09-21,sz.000883,4.20019054,4.23863622,4.1809677,4.19057912,10555059
2023-09-22,sz.000883,4.20019054,4.20980196,4.16174486,4.1809677,13533500
2023-09-25,sz.000883,4.19057912,4.20980196,4.16174486,4.19057912,13551400
2023-09-26,sz.000883,4.1809677,4.20980196,4.16174486,4.16174486,8910375
2023-09-27,sz.000883,4.1809677,4.19057912,4.16174486,4.16174486,10066282
2023-09-28,sz.000883,4.17135628,4.20980196,4.16174486,4.17135628,14561800
2023-10-09,sz.000883,4.19057912,4.19057912,4.12329918,4.14252202,19861400
2023-10-10,sz.000883,4.14252202,4.16174486,4.09446492,4.10407634,13926100
2023-10-11,sz.000883,4.11368776,4.1329106,4.05601924,4.06563066,13039902
2023-10-12,sz.000883,4.07524208,4.14252202,4.07524208,4.11368776,12770372
2023-10-13,sz.000883,4.11368776,4.12329918,4.06563066,4.0848535,10385854
2023-10-16,sz.000883,4.0848535,4.1329106,4.07524208,4.10407634,11754275
2023-10-17,sz.000883,4.11368776,4.15213344,4.10407634,4.14252202,14434701
2023-10-18,sz.000883,4.1329106,4.14252202,4.04640782,4.04640782,12747900
2023-10-19,sz.000883,4.04640782,4.06563066,4.00796214,4.01757356,13074353
2023-10-20,sz.000883,4.05601924,4.10407634,4.00796214,4.09446492,23236554
2023-10-23,sz.000883,4.09446492,4.09446492,3.95990504,3.96951646,19639800
2023-10-24,sz.000883,3.99835072,4.00796214,3.9406822,3.9887393,13686002
2023-10-25,sz.000883,4.01757356,4.06563066,3.99835072,4.05601924,15032502
2023-10-26,sz.000883,4.02718498,4.12329918,4.00796214,4.09446492,13849514
2023-10-27,sz.000883,4.09446492,4.15213344,4.0848535,4.10407634,18669901
2023-10-30,sz.000883,4.1329106,4.17135628,4.11368776,4.14252202,18573401
2023-10-31,sz.000883,4.12329918,4.14252202,4.09446492,4.1329106,11718564
2023-11-01,sz.000883,4.1329106,4.17135628,4.12329918,4.1329106,16635963
2023-11-02,sz.000883,4.1329106,4.14252202,4.09446492,4.11368776,14300311
2023-11-03,sz.000883,4.11368776,4.15213344,4.09446492,4.10407634,15755300
2023-11-06,sz.000883,4.12329918,4.14252202,4.06563066,4.07524208,21238287
2023-11-07,sz.000883,4.05601924,4.0848535,4.05601924,4.06563066,10422074
2023-11-08,sz.000883,4.05601924,4.06563066,3.99835072,4.00796214,19150400
2023-11-09,sz.000883,4.01757356,4.0848535,4.00796214,4.05601924,16133900
2023-11-10,sz.000883,4.05601924,4.05601924,3.99835072,4.02718498,17727966
2023-11-13,sz.000883,4.04640782,4.10407634,3.9887393,4.02718498,19916449
2023-11-14,sz.000883,4.0367964,4.06563066,4.01757356,4.02718498,14670104
2023-11-15,sz.000883,4.04640782,4.05601924,4.01757356,4.0367964,15519204
2023-11-16,sz.000883,4.04640782,4.06563066,4.01757356,4.0367964,15562300
2023-11-17,sz.000883,4.0367964,4.0367964,3.99835072,4.01757356,18218600
2023-11-20,sz.000883,4.01757356,4.05601924,4.00796214,4.0367964,17518472
2023-11-21,sz.000883,4.04640782,4.05601924,4.01757356,4.02718498,18057400
2023-11-22,sz.000883,4.01757356,4.0367964,3.99835072,3.99835072,10634500
2023-11-23,sz.000883,3.99835072,4.02718498,3.9887393,4.01757356,10519974
2023-11-24,sz.000883,4.00796214,4.04640782,3.99835072,3.99835072,16125088
2023-11-27,sz.000883,4.00796214,4.00796214,3.95990504,3.9887393,18223114
2023-11-28,sz.000883,3.9887393,4.00796214,3.96951646,4.00796214,10132018
2023-11-29,sz.000883,4.00796214,4.02718498,3.96951646,3.97912788,10292813
2023-11-30,sz.000883,3.99835072,4.0367964,3.97912788,3.99835072,14072860
2023-12-01,sz.000883,3.99835072,4.02718498,3.97912788,4.00796214,15276500
2023-12-04,sz.000883,4.00796214,4.0367964,3.99835072,4.01757356,20375800
2023-12-05,sz.000883,4.02718498,4.05601924,3.99835072,4.00796214,21852300
2023-12-06,sz.000883,4.00796214,4.01757356,3.95029362,3.99835072,20372761
2023-12-07,sz.000883,3.99835072,4.01757356,3.97912788,4.01757356,13622600
2023-12-08,sz.000883,4.01757356,4.05601924,3.99835072,4.0367964,19253218
2023-12-11,sz.000883,4.0367964,4.07524208,3.96951646,4.07524208,23774244
2023-12-12,sz.000883,4.05601924,4.10407634,4.0367964,4.09446492,17568800
2023-12-13,sz.000883,4.0848535,4.1329106,4.07524208,4.10407634,19792200
2023-12-14,sz.000883,4.12329918,4.15213344,4.0848535,4.14252202,16129674
2023-12-15,sz.000883,4.14252202,4.16174486,4.0848535,4.09446492,18594685
2023-12-18,sz.000883,4.0848535,4.10407634,4.04640782,4.06563066,14858000
2023-12-19,sz.000883,4.06563066,4.07524208,4.01757356,4.04640782,11868600
2023-12-20,sz.000883,4.02718498,4.10407634,4.02718498,4.04640782,14183900
2023-12-21,sz.000883,4.0367964,4.09446492,3.97912788,4.0848535,23538700
2023-12-22,sz.000883,4.0848535,4.09446492,4.05601924,4.0848535,14116100
2023-12-25,sz.000883,4.06563066,4.07524208,4.0367964,4.05601924,10938180
2023-12-26,sz.000883,4.05601924,4.10407634,4.05601924,4.0848535,14459902
2023-12-27,sz.000883,4.0848535,4.1329106,4.06563066,4.1329106,19046000
2023-12-28,sz.000883,4.12329918,4.1329106,4.07524208,4.10407634,17333141
2023-12-29,sz.000883,4.0848535,4.09446492,4.06563066,4.06563066,16967202
2024-01-02,sz.000883,4.06563066,4.1809677,4.05601924,4.16174486,31957368
2024-01-03,sz.000883,4.16174486,4.24824764,4.14252202,4.2290248,22265680
2024-01-04,sz.000883,4.23863622,4.25785906,4.1809677,4.2290248,19291354
2024-01-05,sz.000883,4.2290248,4.2770819,4.20019054,4.21941338,15403944
2024-01-08,sz.000883,4.2290248,4.2290248,4.16174486,4.19057912,15181000
2024-01-09,sz.000883,4.1809677,4.24824764,4.1329106,4.19057912,24937060
2024-01-10,sz.000883,4.20019054,4.21941338,4.15213344,4.17135628,13220674
2024-01-11,sz.000883,4.15213344,4.21941338,4.15213344,4.1809677,13738150
2024-01-12,sz.000883,4.17135628,4.24824764,4.17135628,4.2290248,14917149
2024-01-15,sz.000883,4.24824764,4.25785906,4.20019054,4.2290248,13835533
2024-01-16,sz.000883,4.20980196,4.2290248,4.17135628,4.21941338,16963021
2024-01-17,sz.000883,4.20980196,4.24824764,4.15213344,4.16174486,20876950
