date,stock_code,open,high,low,close,volume
2023-07-03,sz.002155,9.25862976,9.5309424,9.25862976,9.43260728,24932124
2023-07-04,sz.002155,9.81081928,9.8713332,9.34940064,9.4174788,27185161
2023-07-05,sz.002155,9.36452912,9.78056232,9.28888672,9.6822272,46839706
2023-07-06,sz.002155,9.96966832,10.00748952,9.36452912,9.3796576,55268687
2023-07-07,sz.002155,9.31914368,9.57632784,9.077088,9.4931212,43722583
2023-07-10,sz.002155,9.5309424,9.96966832,9.4931212,9.65953448,56698966
2023-07-11,sz.002155,9.65953448,9.74274112,9.50824968,9.74274112,30341247
2023-07-12,sz.002155,9.68979144,9.81081928,9.50068544,9.51581392,34549977
2023-07-13,sz.002155,9.7578696,9.93941136,9.69735568,9.84107624,47741306
2023-07-14,sz.002155,9.81081928,9.91671864,9.65953448,9.69735568,27655581
2023-07-17,sz.002155,9.57632784,9.81081928,9.51581392,9.72761264,21977129
2023-07-18,sz.002155,9.67466296,9.82594776,9.65953448,9.7578696,18588500
2023-07-19,sz.002155,9.84107624,9.9469756,9.74274112,9.84107624,43032595
2023-07-20,sz.002155,9.7578696,9.833512,9.25862976,9.28888672,79206486
2023-07-21,sz.002155,9.29645096,9.50824968,9.20568008,9.23593704,55564384
2023-07-24,sz.002155,9.22080856,9.42504304,8.94093168,8.9636244,56030579
2023-07-25,sz.002155,9.0014456,9.16029464,8.99388136,9.06952376,44875637
2023-07-26,sz.002155,9.077088,9.21324432,9.05439528,9.20568008,35860328
2023-07-27,sz.002155,9.1527304,9.59902056,9.12247344,9.28132248,62142210
2023-07-28,sz.002155,9.19811584,9.36452912,9.0014456,9.3040152,45480532
2023-07-31,sz.002155,9.31157944,9.54607088,9.31157944,9.4174788,36294749
2023-08-01,sz.002155,9.55363512,9.71248416,9.42504304,9.50824968,44601790
2023-08-02,sz.002155,9.3796576,9.5687636,9.36452912,9.43260728,23568569
2023-08-03,sz.002155,9.33427216,9.37209336,9.266194,9.34940064,21033398
2023-08-04,sz.002155,9.37209336,9.5309424,9.3418364,9.4553,27367172
2023-08-07,sz.002155,9.47042848,9.55363512,9.3796576,9.50068544,23782563
2023-08-08,sz.002155,9.44017152,9.644406,9.3796576,9.59902056,29931008
2023-08-09,sz.002155,9.54607088,9.61414904,9.39478608,9.44773576,25028600
2023-08-10,sz.002155,9.3796576,9.4174788,9.3040152,9.3796576,17313847
2023-08-11,sz.002155,9.37209336,9.37209336,9.16029464,9.17542312,19105264
2023-08-14,sz.002155,9.09221648,9.2283728,9.0392668,9.18298736,17853470
2023-08-15,sz.002155,9.12247344,9.14516616,8.81990384,8.94849592,30981382
2023-08-16,sz.002155,8.89554624,8.89554624,8.70644024,8.78964688,22348177
2023-08-17,sz.002155,8.71400448,8.83503232,8.52489848,8.8123396,22749731
2023-08-18,sz.002155,8.7745184,8.85772504,8.67618328,8.68374752,14887104
2023-08-21,sz.002155,8.63079784,8.82746808,8.63079784,8.66861904,13959801
2023-08-22,sz.002155,8.76695416,8.8501608,8.64592632,8.83503232,22420794
2023-08-23,sz.002155,8.78208264,8.78208264,8.53246272,8.55515544,25097869
2023-08-24,sz.002155,8.64592632,9.03170256,8.6232336,8.91823896,48513685
2023-08-25,sz.002155,8.8501608,8.887982,8.6610548,8.69131176,29241255
2023-08-28,sz.002155,9.06952376,9.13760192,8.60810512,8.6610548,37669659
2023-08-29,sz.002155,8.65349056,8.8123396,8.57784816,8.7745184,26119231
2023-08-30,sz.002155,8.83503232,8.95606016,8.80477536,8.8501608,32852704
2023-08-31,sz.002155,8.86528928,8.97118864,8.75938992,8.78964688,26331830
2023-09-01,sz.002155,8.72156872,8.84259656,8.70644024,8.83503232,18132674
2023-09-04,sz.002155,8.83503232,9.13760192,8.83503232,9.13760192,40958451
2023-09-05,sz.002155,9.06952376,9.12247344,8.97875288,9.01657408,20923962
2023-09-06,sz.002155,8.95606016,9.02413832,8.9258032,8.99388136,16189479
2023-09-07,sz.002155,8.9636244,8.9636244,8.78964688,8.8123396,18755414
2023-09-08,sz.002155,8.887982,9.0014456,8.81990384,8.89554624,17606919
2023-09-11,sz.002155,8.84259656,9.33427216,8.81990384,9.2283728,53915221
2023-09-12,sz.002155,9.19811584,9.29645096,9.16785888,9.21324432,21530631
2023-09-13,sz.002155,9.16785888,9.3418364,9.13003768,9.28888672,33819451
2023-09-14,sz.002155,9.28888672,9.91671864,9.24350128,9.75030536,107751639
2023-09-15,sz.002155,9.7578696,9.93941136,9.70491992,9.77299808,69139034
2023-09-18,sz.002155,9.833512,9.95453984,9.5687636,9.67466296,39403950
2023-09-19,sz.002155,9.6822272,9.81081928,9.61414904,9.67466296,29842050
2023-09-20,sz.002155,9.6065848,9.90159016,9.6065848,9.78056232,41751728
2023-09-21,sz.002155,9.74274112,9.78056232,9.59902056,9.7200484,29458008
2023-09-22,sz.002155,9.66709872,9.67466296,9.42504304,9.5309424,31871714
2023-09-25,sz.002155,9.47799272,9.5687636,9.39478608,9.46286424,20061106
2023-09-26,sz.002155,9.42504304,9.4931212,9.34940064,9.44773576,15972374
2023-09-27,sz.002155,9.2283728,9.38722184,9.1527304,9.22080856,28126914
2023-09-28,sz.002155,9.12247344,9.25106552,9.1149092,9.22080856,19216204
2023-10-09,sz.002155,9.13760192,9.18298736,8.91067472,9.1527304,26660822
2023-10-10,sz.002155,9.1905516,9.25106552,9.1149092,9.19811584,19552690
2023-10-11,sz.002155,9.16785888,9.22080856,8.9636244,9.01657408,19990042
2023-10-12,sz.002155,9.06952376,9.23593704,9.06952376,9.22080856,17108112
2023-10-13,sz.002155,9.1149092,9.14516616,9.0014456,9.1149092,13810763
2023-10-16,sz.002155,9.3418364,9.51581392,9.22080856,9.44017152,52370401
2023-10-17,sz.002155,9.28888672,9.3040152,9.0014456,9.09221648,35676803
2023-10-18,sz.002155,9.1149092,9.21324432,8.9258032,8.99388136,25354107
2023-10-19,sz.002155,8.89554624,9.077088,8.75938992,8.83503232,24906150
2023-10-20,sz.002155,8.90311048,9.10734496,8.887982,8.91823896,24352321
2023-10-23,sz.002155,8.7745184,8.8123396,8.52489848,8.6232336,23969088
2023-10-24,sz.002155,8.55515544,8.6610548,8.4719488,8.63079784,19873071
2023-10-25,sz.002155,8.5854124,8.74426144,8.55515544,8.65349056,17101439
2023-10-26,sz.002155,8.61566936,8.68374752,8.4719488,8.67618328,17939534
2023-10-27,sz.002155,8.60054088,8.80477536,8.54002696,8.78964688,23311478
2023-10-30,sz.002155,8.9258032,8.98631712,8.78964688,8.8123396,24177669
2023-10-31,sz.002155,8.7366972,8.85772504,8.71400448,8.85772504,16225247
2023-11-01,sz.002155,8.78208264,8.82746808,8.69131176,8.75938992,13041301
2023-11-02,sz.002155,8.75182568,8.7745184,8.60054088,8.61566936,15274510
2023-11-03,sz.002155,8.59297664,8.65349056,8.57028392,8.6232336,18175935
2023-11-06,sz.002155,8.63836208,8.7366972,8.61566936,8.7366972,22055813
2023-11-07,sz.002155,8.75938992,8.80477536,8.64592632,8.7745184,20808190
2023-11-08,sz.002155,8.698876,8.72913296,8.59297664,8.68374752,21141582
2023-11-09,sz.002155,8.63836208,8.71400448,8.6232336,8.65349056,12759736
2023-11-10,sz.002155,8.6610548,8.66861904,8.57784816,8.6610548,14543517
2023-11-13,sz.002155,8.61566936,8.75938992,8.56271968,8.75182568,20461139
2023-11-14,sz.002155,8.74426144,8.75938992,8.65349056,8.70644024,14637030
2023-11-15,sz.002155,8.79721112,8.82746808,8.75182568,8.7745184,20932700
2023-11-16,sz.002155,8.7366972,8.75938992,8.6610548,8.72156872,13898431
2023-11-17,sz.002155,8.75938992,8.85772504,8.72156872,8.83503232,23172561
2023-11-20,sz.002155,8.78208264,8.83503232,8.76695416,8.80477536,14859046
2023-11-21,sz.002155,8.84259656,8.94093168,8.82746808,8.85772504,22669042
2023-11-22,sz.002155,8.88041776,8.9258032,8.66861904,8.698876,23680677
2023-11-23,sz.002155,8.63079784,8.72913296,8.60810512,8.72156872,13716790
