date,stock_code,open,high,low,close,volume
2023-07-03,sh.600095,7.75501511,7.8645211,7.73510493,7.82470074,20829157.0
2023-07-04,sh.600095,7.78488038,7.90434146,7.7649702,7.79483547,18460109.0
2023-07-05,sh.600095,7.80479056,7.82470074,7.69528457,7.72514984,14882598.0
2023-07-06,sh.600095,7.71519475,7.77492529,7.6654193,7.70523966,12732729.0
2023-07-07,sh.600095,7.67537439,7.83465583,7.65546421,7.77492529,17360854.0
2023-07-10,sh.600095,7.82470074,8.14326362,7.82470074,7.91429655,42122653.0
2023-07-11,sh.600095,7.90434146,7.93420673,7.75501511,7.88443128,24466637.0
2023-07-12,sh.600095,7.85456601,7.92425164,7.72514984,7.74506002,19673207.0
2023-07-13,sh.600095,7.75501511,7.98398218,7.75501511,7.89438637,25499767.0
2023-07-14,sh.600095,7.91429655,7.91429655,7.78488038,7.82470074,22308406.0
2023-07-17,sh.600095,7.84461092,7.85456601,7.68532948,7.79483547,14452800.0
2023-07-18,sh.600095,7.81474565,7.88443128,7.75501511,7.81474565,14115004.0
2023-07-19,sh.600095,7.78488038,8.08353308,7.78488038,8.0636229,59002302.0
2023-07-20,sh.600095,8.01384745,8.04371272,7.84461092,7.88443128,40473451.0
2023-07-21,sh.600095,7.81474565,7.88443128,7.77492529,7.83465583,22340304.0
2023-07-24,sh.600095,7.81474565,7.81474565,7.60568876,7.69528457,25795388.0
2023-07-25,sh.600095,8.0636229,8.4618265,7.98398218,8.4618265,131545591.0
2023-07-26,sh.600095,8.4618265,8.55142231,8.15321871,8.29258997,113282038.0
2023-07-27,sh.600095,8.2627247,8.34236542,8.13330853,8.1631738,53573751.0
2023-07-28,sh.600095,8.17312889,8.959581,8.15321871,8.80029956,162832377.0
2023-07-31,sh.600095,8.70074866,9.00935645,8.64101812,8.65097321,145327117.0
2023-08-01,sh.600095,8.52155704,9.20845825,8.49169177,8.78038938,135248775.0
2023-08-02,sh.600095,8.67088339,9.13877262,8.67088339,8.88989537,106715916.0
2023-08-03,sh.600095,8.96953609,9.5568864,8.74056902,9.40756005,163934132.0
2023-08-04,sh.600095,9.61661694,10.2537427,9.29805406,9.41751514,212242726.0
2023-08-07,sh.600095,9.16863789,10.17410198,9.0591319,10.13428162,205286754.0
2023-08-08,sh.600095,9.81571874,9.86549419,9.39760496,9.4573355,148933030.0
2023-08-09,sh.600095,9.3577846,9.56684149,9.30800915,9.38764987,67142216.0
2023-08-10,sh.600095,9.37769478,9.79580856,9.3577846,9.71616784,102917095.0
2023-08-11,sh.600095,9.5568864,9.5568864,9.00935645,9.04917681,93890252.0
2023-08-14,sh.600095,8.87994028,9.2582337,8.84011992,9.04917681,67683121.0
2023-08-15,sh.600095,8.96953609,9.27814388,8.94962591,9.2582337,78525560.0
2023-08-16,sh.600095,9.08899717,9.70621275,9.00935645,9.36773969,108126841.0
2023-08-17,sh.600095,9.3577846,9.54693131,9.03922172,9.27814388,103037723.0
2023-08-18,sh.600095,9.34782951,9.39760496,8.8600301,8.8600301,68254044.0
2023-08-21,sh.600095,8.84011992,9.0591319,8.60119776,8.60119776,57309061.0
2023-08-22,sh.600095,8.6609283,8.85007501,8.54146722,8.7604792,57129157.0
2023-08-23,sh.600095,8.68083848,8.70074866,8.40209596,8.41205105,49237358.0
2023-08-24,sh.600095,8.44191632,8.74056902,8.42200614,8.52155704,46772618.0
2023-08-25,sh.600095,8.4618265,9.27814388,8.45187141,8.92971573,115654612.0
2023-08-28,sh.600095,9.82567383,9.82567383,9.16863789,9.34782951,198157653.0
2023-08-29,sh.600095,9.09895226,9.33787442,8.86998519,9.16863789,123716747.0
2023-08-30,sh.600095,9.0591319,9.0591319,8.6609283,8.70074866,89649928.0
2023-08-31,sh.600095,8.70074866,8.79034447,8.4618265,8.47178159,48982093.0
2023-09-01,sh.600095,8.53151213,8.58128758,8.35232051,8.3622756,42273186.0
2023-09-04,sh.600095,8.37223069,8.4618265,8.30254506,8.39214087,41894945.0
2023-09-05,sh.600095,8.3622756,8.37223069,8.18308398,8.21294925,46218347.0
2023-09-06,sh.600095,7.95411691,8.0636229,7.78488038,8.01384745,55094683.0
2023-09-07,sh.600095,7.99393727,8.08353308,7.91429655,7.95411691,36522736.0
2023-09-08,sh.600095,7.88443128,8.03375763,7.84461092,8.02380254,30029954.0
2023-09-11,sh.600095,8.02380254,8.19303907,7.97402709,8.11339835,39521188.0
2023-09-12,sh.600095,8.0636229,8.09348817,7.97402709,7.99393727,24163975.0
2023-09-13,sh.600095,7.964072,8.01384745,7.89438637,7.92425164,19450431.0
2023-09-14,sh.600095,7.93420673,7.98398218,7.84461092,7.87447619,19034148.0
2023-09-15,sh.600095,7.94416182,8.04371272,7.91429655,8.04371272,30638807.0
2023-09-18,sh.600095,7.95411691,8.00389236,7.89438637,7.97402709,17440305.0
