date,stock_code,open,high,low,close,volume
2023-07-03,sh.600704,4.58071872,4.62689532,4.55301276,4.60842468,30275592
2023-07-04,sh.600704,4.59918936,4.61766,4.5714834,4.59918936,22345421
2023-07-05,sh.600704,4.59918936,4.61766,4.5714834,4.58995404,21175855
2023-07-06,sh.600704,4.60900132,4.62804678,4.5709104,4.58043313,19695153
2023-07-07,sh.600704,4.58995586,4.61852405,4.55186494,4.59947859,18768327
2023-07-10,sh.600704,4.60900132,4.63756951,4.58043313,4.59947859,21804565
2023-07-11,sh.600704,4.59947859,4.63756951,4.58995586,4.61852405,25273120
2023-07-12,sh.600704,4.61852405,4.62804678,4.55186494,4.55186494,25318073
2023-07-13,sh.600704,4.54234221,4.61852405,4.54234221,4.61852405,29630940
2023-07-14,sh.600704,4.62804678,4.63756951,4.59947859,4.60900132,18294320
2023-07-17,sh.600704,4.59947859,4.60900132,4.56138767,4.58995586,15695766
2023-07-18,sh.600704,4.58995586,4.62804678,4.5709104,4.61852405,18098027
2023-07-19,sh.600704,4.61852405,4.6661377,4.60900132,4.64709224,22117348
2023-07-20,sh.600704,4.64709224,4.67566043,4.61852405,4.62804678,22297725
2023-07-21,sh.600704,4.71375135,4.78041046,4.62804678,4.65661497,46033986
2023-07-24,sh.600704,4.62804678,4.70422862,4.58995586,4.6661377,29528932
2023-07-25,sh.600704,4.68518316,4.761365,4.67566043,4.761365,36071506
2023-07-26,sh.600704,4.75184227,4.761365,4.71375135,4.74231954,26440431
2023-07-27,sh.600704,4.761365,4.78041046,4.74231954,4.75184227,31069884
2023-07-28,sh.600704,4.74231954,4.83754684,4.73279681,4.83754684,71883938
2023-07-31,sh.600704,4.84706957,4.92325141,4.84706957,4.88516049,46591652
2023-08-01,sh.600704,4.88516049,4.94229687,4.86611503,4.88516049,38272265
2023-08-02,sh.600704,4.88516049,4.91372868,4.84706957,4.86611503,27813647
2023-08-03,sh.600704,4.86611503,4.88516049,4.80897865,4.8565923,32744587
2023-08-04,sh.600704,4.88516049,4.92325141,4.86611503,4.88516049,40650346
2023-08-07,sh.600704,4.87563776,4.88516049,4.78041046,4.79945592,42986840
2023-08-08,sh.600704,4.79945592,4.80897865,4.73279681,4.77088773,26013713
2023-08-09,sh.600704,4.761365,4.79945592,4.74231954,4.77088773,25907337
2023-08-10,sh.600704,4.78041046,4.82802411,4.77088773,4.80897865,21023267
2023-08-11,sh.600704,4.80897865,4.81850138,4.69470589,4.69470589,30098654
2023-08-14,sh.600704,4.64709224,4.72327408,4.61852405,4.69470589,25421435
2023-08-15,sh.600704,4.70422862,4.73279681,4.67566043,4.69470589,17766111
2023-08-16,sh.600704,4.68518316,4.71375135,4.65661497,4.6661377,18296337
2023-08-17,sh.600704,4.65661497,4.71375135,4.62804678,4.70422862,21619772
2023-08-18,sh.600704,4.69470589,4.75184227,4.64709224,4.64709224,25576818
2023-08-21,sh.600704,4.65661497,4.70422862,4.56138767,4.5709104,46179683
2023-08-22,sh.600704,4.5709104,4.59947859,4.50425129,4.5709104,28791680
2023-08-23,sh.600704,4.5709104,4.58043313,4.51377402,4.51377402,19937275
2023-08-24,sh.600704,4.52329675,4.5709104,4.51377402,4.51377402,21648639
2023-08-25,sh.600704,4.51377402,4.56138767,4.46616037,4.48520583,21936615
2023-08-28,sh.600704,4.72327408,4.73279681,4.5709104,4.58043313,48966221
2023-08-29,sh.600704,4.5709104,4.60900132,4.51377402,4.58043313,48217703
2023-08-30,sh.600704,4.58043313,4.58043313,4.49472856,4.49472856,37979591
2023-08-31,sh.600704,4.49472856,4.51377402,4.40902399,4.42806945,32629374
2023-09-01,sh.600704,4.42806945,4.49472856,4.42806945,4.4756831,24538801
2023-09-04,sh.600704,4.50425129,4.67566043,4.49472856,4.63756951,64457593
2023-09-05,sh.600704,4.63756951,4.63756951,4.55186494,4.56138767,30638982
2023-09-06,sh.600704,4.55186494,4.58043313,4.53281948,4.55186494,24715875
2023-09-07,sh.600704,4.55186494,4.56138767,4.50425129,4.50425129,24385045
2023-09-08,sh.600704,4.48520583,4.52329675,4.4756831,4.48520583,17103090
2023-09-11,sh.600704,4.50425129,4.5709104,4.48520583,4.54234221,28550548
2023-09-12,sh.600704,4.55186494,4.58995586,4.53281948,4.5709104,22983698
2023-09-13,sh.600704,4.56138767,4.59947859,4.52329675,4.55186494,20563466
2023-09-14,sh.600704,4.55186494,4.5709104,4.52329675,4.55186494,17939795
2023-09-15,sh.600704,4.5709104,4.60900132,4.54234221,4.56138767,25160860
2023-09-18,sh.600704,4.56138767,4.58043313,4.4756831,4.58043313,24840337
2023-09-19,sh.600704,4.5709104,4.60900132,4.55186494,4.56138767,23730407
2023-09-20,sh.600704,4.56138767,4.58043313,4.54234221,4.56138767,16962124
2023-09-21,sh.600704,4.54234221,4.5709104,4.51377402,4.53281948,24327331
2023-09-22,sh.600704,4.53281948,4.60900132,4.53281948,4.60900132,25996531
2023-09-25,sh.600704,4.60900132,4.61852405,4.58043313,4.58995586,20678289
2023-09-26,sh.600704,4.58995586,4.60900132,4.55186494,4.56138767,21959642
2023-09-27,sh.600704,4.55186494,4.58043313,4.52329675,4.53281948,24929024
2023-09-28,sh.600704,4.54234221,4.56138767,4.50425129,4.51377402,21915540
2023-10-09,sh.600704,4.51377402,4.51377402,4.41854672,4.42806945,35763997
2023-10-10,sh.600704,4.42806945,4.46616037,4.3804558,4.41854672,33392070
2023-10-11,sh.600704,4.40902399,4.44711491,4.39950126,4.39950126,31459390
2023-10-12,sh.600704,4.43759218,4.52329675,4.42806945,4.49472856,37536167
2023-10-13,sh.600704,4.4756831,4.49472856,4.41854672,4.42806945,19216208
2023-10-16,sh.600704,4.44711491,4.45663764,4.39950126,4.43759218,19706195
2023-10-17,sh.600704,4.43759218,4.4756831,4.42806945,4.45663764,17829310
2023-10-18,sh.600704,4.45663764,4.45663764,4.32331942,4.35188761,38148290
2023-10-19,sh.600704,4.33284215,4.34236488,4.26618304,4.27570577,26637501
2023-10-20,sh.600704,4.25666031,4.32331942,4.24713758,4.2852285,21529244
2023-10-23,sh.600704,4.25666031,4.27570577,4.14238755,4.17095574,25137620
2023-10-24,sh.600704,4.17095574,4.18047847,4.11381936,4.15191028,43224319
2023-10-25,sh.600704,4.1900012,4.27570577,4.18047847,4.23761485,34142706
2023-10-26,sh.600704,4.21856939,4.26618304,4.19952393,4.25666031,22293900
2023-10-27,sh.600704,4.24713758,4.37093307,4.23761485,4.34236488,29513743
2023-10-30,sh.600704,4.31379669,4.37093307,4.30427396,4.35188761,26139280
2023-10-31,sh.600704,4.35188761,4.37093307,4.30427396,4.35188761,22585111
2023-11-01,sh.600704,4.35188761,4.38997853,4.33284215,4.3804558,22149919
2023-11-02,sh.600704,4.37093307,4.40902399,4.36141034,4.37093307,20116913
2023-11-03,sh.600704,4.36141034,4.3804558,4.34236488,4.36141034,21295900
2023-11-06,sh.600704,4.37093307,4.40902399,4.35188761,4.38997853,22858796
2023-11-07,sh.600704,4.38997853,4.40902399,4.37093307,4.38997853,25184894
2023-11-08,sh.600704,4.39950126,4.43759218,4.37093307,4.3804558,26067110
2023-11-09,sh.600704,4.3804558,4.40902399,4.36141034,4.37093307,24900693
2023-11-10,sh.600704,4.37093307,4.3804558,4.33284215,4.36141034,19287300
2023-11-13,sh.600704,4.3804558,4.41854672,4.36141034,4.3804558,21707476
2023-11-14,sh.600704,4.3804558,4.41854672,4.36141034,4.38997853,23827300
2023-11-15,sh.600704,4.41854672,4.41854672,4.38997853,4.40902399,24893549
2023-11-16,sh.600704,4.39950126,4.41854672,4.3804558,4.38997853,22441546
2023-11-17,sh.600704,4.3804558,4.42806945,4.3804558,4.41854672,21581073
2023-11-20,sh.600704,4.41854672,4.43759218,4.3804558,4.40902399,24110487
2023-11-21,sh.600704,4.40902399,4.45663764,4.40902399,4.40902399,23518908
2023-11-22,sh.600704,4.39950126,4.45663764,4.39950126,4.41854672,27068484
2023-11-23,sh.600704,4.40902399,4.46616037,4.38997853,4.44711491,28546982
2023-11-24,sh.600704,4.44711491,4.49472856,4.42806945,4.4756831,31410995
