date,stock_code,open,high,low,close,volume
2023-07-03,sh.603605,109.4289,113.39308,109.4289,111.44508,1706264
2023-07-04,sh.603605,111.49378,111.84442,108.54256,108.8932,1539450
2023-07-05,sh.603605,109.48734,109.5263,107.5296,107.94842,1318481
2023-07-06,sh.603605,107.2861,108.601,105.84458,105.85432,1031152
2023-07-07,sh.603605,105.25044,106.04912,104.2667,104.43228,914932
2023-07-10,sh.603605,104.8998,107.12052,103.76996,104.79266,822692
2023-07-11,sh.603605,104.33488,106.02964,104.22774,104.43228,1033846
2023-07-12,sh.603605,104.3154,104.43228,102.3674,102.6109,2438890
2023-07-13,sh.603605,105.47446,111.83468,105.47446,111.036,5932176
2023-07-14,sh.603605,111.0847,113.13984,109.088,110.062,3184994
2023-07-17,sh.603605,110.55874,110.55874,108.13348,109.7211,1245055
2023-07-18,sh.603605,109.088,110.062,107.84128,108.26984,1444214
2023-07-19,sh.603605,107.73414,108.97112,107.29584,107.4322,1086776
2023-07-20,sh.603605,107.85102,110.46134,107.44194,108.4062,1323773
2023-07-21,sh.603605,107.80232,110.71458,107.627,108.62048,1258011
2023-07-24,sh.603605,109.1854,109.26332,104.705,106.92572,2169869
2023-07-25,sh.603605,108.114,110.08148,105.98094,107.49064,2256695
2023-07-26,sh.603605,107.14,108.46464,106.653,107.31532,1364276
2023-07-27,sh.603605,107.14,110.7438,106.4095,108.71788,2055789
2023-07-28,sh.603605,108.17244,113.39308,108.12374,113.19828,2438132
2023-07-31,sh.603605,113.0814,114.82486,109.17566,109.9159,3322715
2023-08-01,sh.603605,110.062,112.2048,109.2828,109.95486,1879568
2023-08-02,sh.603605,109.37046,110.3055,107.74388,107.8705,1545240
2023-08-03,sh.603605,109.05878,111.3769,108.02634,110.4029,2157428
2023-08-04,sh.603605,110.42238,111.36716,108.29906,108.8445,2047992
2023-08-07,sh.603605,108.114,108.83476,106.53612,107.14974,2136052
2023-08-08,sh.603605,107.14974,108.95164,106.66274,108.27958,1499539
2023-08-09,sh.603605,107.81206,107.81206,106.86728,107.15948,1121175
2023-08-10,sh.603605,107.0426,108.00686,106.85754,107.27636,699130
2023-08-11,sh.603605,107.02312,107.627,104.71474,105.94198,1806567
2023-08-14,sh.603605,105.0946,106.5069,104.56864,106.2147,1782383
2023-08-15,sh.603605,106.13678,107.31532,104.8511,106.80884,1254836
2023-08-16,sh.603605,106.0686,107.2374,105.20174,105.679,1278756
2023-08-17,sh.603605,105.39654,108.61074,104.8511,107.29584,1664712
2023-08-18,sh.603605,107.0913,108.2114,105.90302,106.0686,1148804
2023-08-21,sh.603605,105.89328,106.69196,101.9778,102.48428,2493780
2023-08-22,sh.603605,101.86092,102.27,94.2832,96.50392,7816462
2023-08-23,sh.603605,96.27016,97.6922,95.452,97.4,2704088
2023-08-24,sh.603605,96.6208,99.22138,96.6208,98.55906,1855811
2023-08-25,sh.603605,99.82526,100.30252,96.33834,96.92274,1842677
2023-08-28,sh.603605,102.5622,102.5622,94.478,96.33834,3134291
2023-08-29,sh.603605,95.14032,97.26364,94.37086,96.7182,2601433
2023-08-30,sh.603605,99.99084,105.8738,99.7376,104.63682,5373088
2023-08-31,sh.603605,104.56864,109.06852,102.1726,108.8445,4225333
2023-09-01,sh.603605,108.601,110.36394,107.22766,108.23088,2102542
2023-09-04,sh.603605,109.37046,111.523,106.7504,110.2568,2908047
2023-09-05,sh.603605,111.036,112.3509,109.3802,110.17888,1987106
2023-09-06,sh.603605,109.36072,110.55874,106.80884,107.97764,1800771
2023-09-07,sh.603605,107.17896,108.4549,104.8511,104.8998,1629972
2023-09-08,sh.603605,104.92902,105.85432,104.32514,105.01668,1250244
2023-09-11,sh.603605,104.89006,106.37054,104.0232,104.96798,1770977
2023-09-12,sh.603605,104.77318,104.77318,102.30896,103.4388,2201057
2023-09-13,sh.603605,102.3674,104.5102,102.3674,104.3154,1696322
2023-09-14,sh.603605,103.731,104.15956,102.14338,102.9518,2114034
2023-09-15,sh.603605,102.54272,102.94206,99.4454,100.70186,2919595
2023-09-18,sh.603605,100.70186,101.77326,100.33174,101.09146,2162611
2023-09-19,sh.603605,100.96484,101.26678,99.348,100.79926,1747497
2023-09-20,sh.603605,100.70186,101.3447,99.84474,100.86744,1516449
2023-09-21,sh.603605,100.322,100.44862,99.42592,99.79604,1015020
2023-09-22,sh.603605,99.4454,101.296,99.31878,101.16938,1572588
2023-09-25,sh.603605,100.809,102.6596,100.01032,101.45184,1625545
2023-09-26,sh.603605,101.55898,103.62386,101.40314,101.40314,1143796
2023-09-27,sh.603605,101.66612,102.73752,100.8577,102.27,1507738
2023-09-28,sh.603605,101.98754,102.4648,98.14998,98.9584,2465738
2023-10-09,sh.603605,98.9584,98.9584,96.3286,97.40974,2091225
2023-10-10,sh.603605,97.36104,98.44218,96.7182,97.85778,1784003
2023-10-11,sh.603605,98.46166,99.30904,97.3026,97.4974,2105300
2023-10-12,sh.603605,98.36426,99.1532,96.25068,96.50392,2908962
2023-10-13,sh.603605,96.426,96.89352,94.965,96.65976,2036110
2023-10-16,sh.603605,96.39678,96.39678,93.85464,95.03318,2569572
2023-10-17,sh.603605,95.24746,96.60132,94.27346,95.939,1325788
2023-10-18,sh.603605,95.21824,96.80586,94.66306,95.1598,1388436
2023-10-19,sh.603605,94.478,96.27016,94.00074,94.48774,1282930
2023-10-20,sh.603605,94.0884,95.08188,93.18258,93.49426,1215290
2023-10-23,sh.603605,93.6800418,93.74849277,90.09125523,90.942003,2206004
2023-10-24,sh.603605,92.24257143,98.79430713,91.4309385,98.5693968,6513218
2023-10-25,sh.603605,100.720713,101.2096485,95.44998831,97.21015611,4796502
2023-10-26,sh.603605,96.58431867,96.58431867,93.7778289,94.67747022,3226169
2023-10-27,sh.603605,94.2667644,98.0804613,93.875616,97.87510839,3952105
2023-10-30,sh.603605,97.0048032,98.58895422,96.31051479,97.7871,1954244
2023-10-31,sh.603605,98.77474971,102.1875195,97.7871,101.56168206,3482380
2023-11-01,sh.603605,102.62756145,104.02591698,101.67902658,103.74233439,2592634
2023-11-02,sh.603605,103.68366213,104.20193376,102.02128143,102.89158662,2125698
2023-11-03,sh.603605,102.676455,103.3609647,101.81592852,102.19729821,1440373
2023-11-06,sh.603605,104.4366228,105.9034293,101.85504336,103.67388342,2080005
2023-11-07,sh.603605,103.67388342,107.61470355,103.1653905,107.0768745,3242303
2023-11-08,sh.603605,106.7835132,109.1304036,106.0990035,108.543681,2660227
2023-11-09,sh.603605,107.56581,108.543681,106.587939,107.87872872,2244728
2023-11-10,sh.603605,107.56581,107.56581,105.10157508,105.5122809,2701105
2023-11-13,sh.603605,105.17002605,106.587939,101.698584,102.45154467,2842215
2023-11-14,sh.603605,102.676455,104.62241829,102.41242983,103.54676019,1838584
2023-11-15,sh.603605,104.30949957,104.50507377,101.72792013,102.37331499,1883151
2023-11-16,sh.603605,101.58123948,103.8499002,101.58123948,103.05782469,1415396
2023-11-17,sh.603605,102.58844661,103.05782469,101.02385301,101.9919453,924970
2023-11-20,sh.603605,101.88437949,102.49065951,100.4273517,102.1875195,1083724
2023-11-21,sh.603605,102.2853066,102.70579113,100.54469622,100.6229259,1506554
2023-11-22,sh.603605,100.34912202,100.34912202,98.85297939,99.40058715,1105410
2023-11-23,sh.603605,98.84320068,100.04598201,98.764971,99.66461232,931982
2023-11-24,sh.603605,99.3516936,100.10465427,98.57917551,99.2539065,701731
2023-11-27,sh.603605,99.2539065,100.49580267,97.83599355,100.16332653,1558020
2023-11-28,sh.603605,99.4494807,103.33162857,98.94098778,101.17053366,1297152
2023-11-29,sh.603605,100.720713,105.610068,100.5251388,103.47830922,2096800
2023-11-30,sh.603605,102.66667629,103.34140728,100.24155621,101.1118614,1400056
2023-12-01,sh.603605,100.19266266,101.1118614,97.15148385,97.87510839,1828153
2023-12-04,sh.603605,97.83599355,97.83599355,95.39131605,96.31051479,1617724
2023-12-05,sh.603605,96.10516188,97.36661547,95.831358,96.18339156,1775090
2023-12-06,sh.603605,95.68467735,97.64041935,95.1468483,96.3202935,1350634
2023-12-07,sh.603605,96.47675286,98.1782484,95.72379219,97.23949224,1038336
2023-12-08,sh.603605,96.81900771,101.19009108,96.81900771,100.720713,1943855
2023-12-11,sh.603605,100.63270461,102.37331499,99.96775233,102.37331499,1857723
2023-12-12,sh.603605,102.1875195,102.1875195,100.50558138,101.24876334,829398
