date,stock_code,open,high,low,close,volume
2023-07-03,sz.000967,4.80029265,4.86683136,4.77177606,4.82880924,8875322
2023-07-04,sz.000967,4.87633689,4.89534795,4.82880924,4.85732583,6376419
2023-07-05,sz.000967,4.82880924,4.88584242,4.81930371,4.8478203,5873945
2023-07-06,sz.000967,4.8478203,4.86683136,4.81930371,4.83831477,5401925
2023-07-07,sz.000967,4.83831477,4.86683136,4.80979818,4.82880924,4975490
2023-07-10,sz.000967,4.86683136,4.87633689,4.82880924,4.8478203,5283000
2023-07-11,sz.000967,4.86683136,4.93337007,4.82880924,4.92386454,10084300
2023-07-12,sz.000967,4.96188666,5.01891984,4.93337007,4.98089772,12823692
2023-07-13,sz.000967,4.96188666,5.01891984,4.90485348,4.92386454,8938922
2023-07-14,sz.000967,4.90485348,4.97139219,4.88584242,4.92386454,5384747
2023-07-17,sz.000967,4.90485348,4.97139219,4.85732583,4.96188666,7367021
2023-07-18,sz.000967,5.02014238,5.02014238,4.93275112,4.98130182,6540578
2023-07-19,sz.000967,5.0007221,5.0492728,4.96188154,5.01043224,7439264
2023-07-20,sz.000967,5.01043224,5.02014238,4.93275112,4.96188154,6857195
2023-07-21,sz.000967,4.94246126,4.97159168,4.9036207,4.92304098,7129032
2023-07-24,sz.000967,4.91333084,4.94246126,4.88420042,4.93275112,5688000
2023-07-25,sz.000967,4.93275112,4.97159168,4.92304098,4.97159168,6268996
2023-07-26,sz.000967,4.96188154,5.03956266,4.93275112,5.01043224,8610409
2023-07-27,sz.000967,5.01043224,5.0492728,4.93275112,4.9521714,8293190
2023-07-28,sz.000967,4.97159168,4.99101196,4.92304098,4.97159168,7905048
2023-07-31,sz.000967,4.96188154,5.02014238,4.9521714,5.01043224,9418619
2023-08-01,sz.000967,5.02985252,5.02985252,4.98130182,5.01043224,6633800
2023-08-02,sz.000967,5.02014238,5.02985252,4.96188154,4.97159168,7306582
2023-08-03,sz.000967,4.97159168,4.99101196,4.92304098,4.93275112,8154506
2023-08-04,sz.000967,4.96188154,4.99101196,4.92304098,4.93275112,6645191
2023-08-07,sz.000967,4.93275112,4.9521714,4.85507,4.88420042,9880979
2023-08-08,sz.000967,4.88420042,4.9036207,4.8065193,4.82593958,10304067
2023-08-09,sz.000967,4.8065193,4.82593958,4.77738888,4.78709902,6095017
2023-08-10,sz.000967,4.79680916,4.86478014,4.77738888,4.83564972,6536597
2023-08-11,sz.000967,4.84535986,4.85507,4.72883818,4.73854832,10161590
2023-08-14,sz.000967,4.71912804,4.7579686,4.68999762,4.73854832,8122977
2023-08-15,sz.000967,4.73854832,4.76767874,4.68028748,4.73854832,6229192
2023-08-16,sz.000967,4.7094179,4.72883818,4.68028748,4.7094179,6387841
2023-08-17,sz.000967,4.69970776,4.7579686,4.6608672,4.73854832,7028998
2023-08-18,sz.000967,4.74825846,4.92304098,4.73854832,4.78709902,14408980
2023-08-21,sz.000967,4.77738888,4.87449028,4.7579686,4.82593958,12333075
2023-08-22,sz.000967,4.82593958,4.86478014,4.6608672,4.72883818,11959999
2023-08-23,sz.000967,4.72883818,4.78709902,4.68028748,4.71912804,8119648
2023-08-24,sz.000967,4.72883818,4.73854832,4.59289622,4.63173678,8471684
2023-08-25,sz.000967,4.6123165,4.8065193,4.6123165,4.7094179,12477644
2023-08-28,sz.000967,4.89391056,4.96188154,4.82593958,4.86478014,26030426
2023-08-29,sz.000967,4.86478014,4.93275112,4.81622944,4.91333084,19647901
2023-08-30,sz.000967,4.93275112,4.94246126,4.84535986,4.84535986,10987506
2023-08-31,sz.000967,4.8065193,4.85507,4.74825846,4.78709902,9049447
2023-09-01,sz.000967,4.76767874,4.82593958,4.73854832,4.8065193,8753871
2023-09-04,sz.000967,4.79680916,4.87449028,4.77738888,4.84535986,10785269
2023-09-05,sz.000967,4.84535986,4.85507,4.77738888,4.81622944,7788930
2023-09-06,sz.000967,4.81622944,4.86478014,4.78709902,4.85507,6776077
2023-09-07,sz.000967,4.84535986,4.85507,4.76767874,4.77738888,8642092
2023-09-08,sz.000967,4.77738888,4.79680916,4.71912804,4.73854832,5613100
2023-09-11,sz.000967,4.74825846,4.87449028,4.72883818,4.83564972,9504112
2023-09-12,sz.000967,4.83564972,4.85507,4.8065193,4.82593958,4182000
2023-09-13,sz.000967,4.8065193,4.83564972,4.76767874,4.81622944,5109998
2023-09-14,sz.000967,4.82593958,4.84535986,4.77738888,4.8065193,5777484
2023-09-15,sz.000967,4.83564972,4.84535986,4.79680916,4.82593958,6011792
2023-09-18,sz.000967,4.81622944,4.84535986,4.77738888,4.82593958,8339349
2023-09-19,sz.000967,4.82593958,4.86478014,4.81622944,4.83564972,6257327
2023-09-20,sz.000967,4.83564972,4.85507,4.76767874,4.77738888,5168000
2023-09-21,sz.000967,4.77738888,4.8065193,4.7579686,4.7579686,7611600
2023-09-22,sz.000967,4.73854832,4.83564972,4.73854832,4.82593958,7424349
2023-09-25,sz.000967,4.84535986,4.85507,4.8065193,4.84535986,8008893
2023-09-26,sz.000967,4.83564972,4.83564972,4.79680916,4.81622944,7014555
2023-09-27,sz.000967,4.82593958,4.88420042,4.78709902,4.85507,7604172
