date,stock_code,open,high,low,close,volume
2023-09-14,sh.688702,66.55,72.0,59.5,62.5,25972196
2023-09-15,sh.688702,58.94,62.0,56.11,57.8,16865921
2023-09-18,sh.688702,56.0,58.18,52.0,53.69,11709456
2023-09-19,sh.688702,53.0,56.11,51.11,53.8,9243340
2023-09-20,sh.688702,52.78,55.39,51.5,51.5,7092496
2023-09-21,sh.688702,51.0,54.0,50.12,51.98,6118971
2023-09-22,sh.688702,52.47,61.55,52.0,59.95,12480389
2023-09-25,sh.688702,58.6,61.22,58.2,58.79,10013786
2023-09-26,sh.688702,57.71,60.5,57.26,57.82,5593857
2023-09-27,sh.688702,57.0,59.98,56.89,57.38,5334913
2023-09-28,sh.688702,58.3,61.7,57.61,58.6,5833969
2023-10-09,sh.688702,58.23,58.23,54.58,54.58,5116545
2023-10-10,sh.688702,54.66,57.69,54.66,56.12,4028056
2023-10-11,sh.688702,55.82,58.09,53.7,54.76,4219148
2023-10-12,sh.688702,55.24,55.48,52.2,52.99,3618949
2023-10-13,sh.688702,52.59,53.43,51.75,52.3,2638282
2023-10-16,sh.688702,52.72,52.8,49.2,50.65,3668841
2023-10-17,sh.688702,50.44,51.5,49.66,50.7,2388143
2023-10-18,sh.688702,50.56,52.98,50.12,51.36,4034450
2023-10-19,sh.688702,51.0,53.55,50.33,52.35,3268230
2023-10-20,sh.688702,52.25,52.25,48.28,48.96,3433795
2023-10-23,sh.688702,48.16,48.74,46.21,46.66,2368378
2023-10-24,sh.688702,47.16,48.36,46.01,47.83,1780511
2023-10-25,sh.688702,47.9,48.24,46.48,47.9,2181228
2023-10-26,sh.688702,47.36,47.87,45.7,46.67,2201161
2023-10-27,sh.688702,46.47,48.65,46.06,48.06,2217776
2023-10-30,sh.688702,48.5,49.67,47.51,49.38,3499080
2023-10-31,sh.688702,49.51,49.84,48.15,48.62,2198345
2023-11-01,sh.688702,48.03,48.82,47.6,47.6,1439349
2023-11-02,sh.688702,48.27,49.2,46.32,46.4,2087516
2023-11-03,sh.688702,46.5,49.15,46.5,48.67,2255968
2023-11-06,sh.688702,48.66,50.75,48.66,50.14,2228604
2023-11-07,sh.688702,51.3,53.98,49.92,52.18,3420285
2023-11-08,sh.688702,53.38,53.97,51.75,52.78,3104941
2023-11-09,sh.688702,52.7,53.79,51.0,51.27,2251597
2023-11-10,sh.688702,51.5,52.18,50.0,50.43,2379221
2023-11-13,sh.688702,50.55,51.47,50.01,50.64,1908506
2023-11-14,sh.688702,50.9,51.69,50.26,51.43,2706918
2023-11-15,sh.688702,52.0,52.2,50.75,51.02,2005833
2023-11-16,sh.688702,50.9,51.44,49.88,50.02,1660021
2023-11-17,sh.688702,50.02,50.63,49.39,50.5,1440957
2023-11-20,sh.688702,51.08,51.2,49.77,50.72,1647745
2023-11-21,sh.688702,50.7,50.71,49.2,49.38,1893449
2023-11-22,sh.688702,49.54,49.54,46.97,47.02,2325585
2023-11-23,sh.688702,47.03,48.37,46.5,47.41,2300866
2023-11-24,sh.688702,47.41,47.41,44.9,45.2,2544795
2023-11-27,sh.688702,45.0,45.5,44.4,45.23,1607653
2023-11-28,sh.688702,45.14,47.33,44.99,46.48,2481218
2023-11-29,sh.688702,46.12,46.92,45.9,45.96,1533882
2023-11-30,sh.688702,45.81,46.2,44.36,45.23,1573337
2023-12-01,sh.688702,45.01,46.57,44.95,46.43,1964759
2023-12-04,sh.688702,46.6,46.69,45.2,45.8,1544052
2023-12-05,sh.688702,45.62,45.65,43.94,43.97,1863988
2023-12-06,sh.688702,43.82,44.4,43.6,43.62,1122445
2023-12-07,sh.688702,43.73,44.79,43.02,44.28,1600786
2023-12-08,sh.688702,44.27,50.66,44.0,49.18,6045270
2023-12-11,sh.688702,48.6,51.47,47.58,50.67,4242937
2023-12-12,sh.688702,57.05,58.72,52.55,52.66,7865857
2023-12-13,sh.688702,53.19,53.8,50.59,50.66,4271725
2023-12-14,sh.688702,50.88,52.75,49.76,52.6,4108686
2023-12-15,sh.688702,52.22,52.4,49.81,50.11,2649792
2023-12-18,sh.688702,49.81,49.84,47.51,47.59,2161556
2023-12-19,sh.688702,47.51,50.1,47.38,50.1,2352594
2023-12-20,sh.688702,50.45,52.18,50.1,50.8,2896571
2023-12-21,sh.688702,50.3,51.45,48.8,50.2,1644143
2023-12-22,sh.688702,50.2,50.41,47.82,48.72,1453191
2023-12-25,sh.688702,48.37,51.36,48.04,49.28,2122056
2023-12-26,sh.688702,49.9,49.9,47.0,47.49,1485633
2023-12-27,sh.688702,47.62,51.86,47.62,50.92,3481132
2023-12-28,sh.688702,50.99,51.18,49.84,50.8,2493854
2023-12-29,sh.688702,50.5,51.75,50.04,50.95,2279431
2024-01-02,sh.688702,50.95,51.0,48.68,48.68,1936981
2024-01-03,sh.688702,48.55,48.55,46.1,46.4,2495470
2024-01-04,sh.688702,46.3,46.68,45.23,46.26,1292959
2024-01-05,sh.688702,46.74,47.7,45.5,45.8,1514662
2024-01-08,sh.688702,45.84,45.84,44.58,44.95,891398
2024-01-09,sh.688702,45.02,46.16,44.31,45.2,1200929
2024-01-10,sh.688702,44.75,44.99,42.98,43.0,1957289
2024-01-11,sh.688702,43.3,43.66,42.1,42.93,2855080
2024-01-12,sh.688702,42.71,42.92,41.53,41.54,1711242
