date,stock_code,open,high,low,close,volume
2023-07-03,sh.688520,57.19,57.6,56.41,57.2,663964
2023-07-04,sh.688520,57.39,59.73,56.5,58.65,1638449
2023-07-05,sh.688520,58.65,60.48,56.8,60.02,1452985
2023-07-06,sh.688520,59.81,60.6,59.5,59.99,691660
2023-07-07,sh.688520,59.99,60.61,58.8,60.0,534181
2023-07-10,sh.688520,59.7,60.45,59.4,59.59,302866
2023-07-11,sh.688520,60.09,60.1,58.58,59.6,404837
2023-07-12,sh.688520,59.18,60.13,58.8,59.5,412548
2023-07-13,sh.688520,59.81,60.4,59.3,59.67,524531
2023-07-14,sh.688520,59.85,59.87,59.14,59.38,218917
2023-07-17,sh.688520,59.97,59.97,56.88,57.05,666153
2023-07-18,sh.688520,57.37,58.25,57.02,57.33,424537
2023-07-19,sh.688520,57.46,57.69,55.82,55.98,576497
2023-07-20,sh.688520,56.34,56.36,54.94,54.95,435652
2023-07-21,sh.688520,54.98,56.11,54.82,55.26,348255
2023-07-24,sh.688520,55.26,57.25,54.77,55.97,470260
2023-07-25,sh.688520,56.3,56.81,55.56,56.55,494490
2023-07-26,sh.688520,56.88,59.07,55.93,58.52,813552
2023-07-27,sh.688520,58.0,59.16,58.0,58.42,534718
2023-07-28,sh.688520,58.01,59.17,56.6,58.6,754046
2023-07-31,sh.688520,59.0,59.86,57.2,57.4,849679
2023-08-01,sh.688520,57.99,57.99,54.28,54.58,1660293
2023-08-02,sh.688520,54.9,55.1,54.06,54.45,1233396
2023-08-03,sh.688520,54.45,55.48,54.09,55.11,580119
2023-08-04,sh.688520,55.66,55.77,53.87,53.99,978876
2023-08-07,sh.688520,53.98,53.98,49.78,51.6,1939995
2023-08-08,sh.688520,50.99,52.36,50.99,51.8,1071527
2023-08-09,sh.688520,51.5,53.76,51.5,52.86,1088648
2023-08-10,sh.688520,52.65,53.95,52.5,53.5,998881
2023-08-11,sh.688520,53.41,54.48,53.41,54.29,845592
2023-08-14,sh.688520,53.73,54.85,53.24,54.63,724348
2023-08-15,sh.688520,54.35,55.0,53.89,54.55,818064
2023-08-16,sh.688520,54.05,55.28,54.05,54.74,611467
2023-08-17,sh.688520,54.45,55.36,53.26,53.93,884492
2023-08-18,sh.688520,53.94,54.4,52.47,52.7,709622
2023-08-21,sh.688520,53.17,53.97,52.51,53.29,729198
2023-08-22,sh.688520,52.88,53.78,51.39,51.63,955130
2023-08-23,sh.688520,52.93,54.94,52.17,52.52,1726116
2023-08-24,sh.688520,52.82,56.5,52.66,55.15,1706749
2023-08-25,sh.688520,55.43,56.25,54.61,55.5,1043366
2023-08-28,sh.688520,61.0,61.0,57.01,58.37,2360326
2023-08-29,sh.688520,57.7,59.76,57.61,59.25,1367852
2023-08-30,sh.688520,59.99,60.16,58.7,58.98,954887
2023-08-31,sh.688520,59.19,59.22,57.1,58.0,1066331
2023-09-01,sh.688520,58.4,58.4,54.2,54.58,1703946
2023-09-04,sh.688520,55.06,55.16,52.5,53.07,1483641
2023-09-05,sh.688520,52.83,53.36,52.61,53.05,776851
2023-09-06,sh.688520,53.08,53.08,51.28,51.44,1062577
2023-09-07,sh.688520,51.6,51.96,51.1,51.46,721221
2023-09-08,sh.688520,51.5,52.45,51.09,51.99,859545
2023-09-11,sh.688520,52.15,54.13,51.61,53.61,1168994
2023-09-12,sh.688520,53.36,54.87,52.77,54.36,904943
2023-09-13,sh.688520,54.36,54.9,53.35,54.49,1351547
2023-09-14,sh.688520,54.73,54.97,52.81,53.21,978448
2023-09-15,sh.688520,53.26,54.87,52.89,53.89,1770693
2023-09-18,sh.688520,53.81,54.96,53.0,54.45,1109082
2023-09-19,sh.688520,54.89,54.9,53.4,54.2,866879
2023-09-20,sh.688520,54.07,54.47,52.9,53.01,672556
2023-09-21,sh.688520,52.65,52.71,51.81,51.9,667655
2023-09-22,sh.688520,51.82,52.8,50.8,52.6,905175
2023-09-25,sh.688520,52.94,52.94,52.02,52.62,867616
2023-09-26,sh.688520,52.25,53.53,52.01,52.46,697951
2023-09-27,sh.688520,52.46,54.48,52.31,54.1,1106311
2023-09-28,sh.688520,54.13,54.31,53.6,53.85,706203
2023-10-09,sh.688520,53.85,54.19,52.6,53.05,1079815
2023-10-10,sh.688520,53.2,53.29,51.9,52.13,798913
2023-10-11,sh.688520,52.01,53.95,52.01,52.7,1119930
2023-10-12,sh.688520,53.45,54.27,52.49,52.6,1409767
2023-10-13,sh.688520,52.66,52.88,51.1,51.36,1734234
2023-10-16,sh.688520,51.77,52.18,49.0,49.19,1422588
2023-10-17,sh.688520,49.2,50.2,48.62,49.22,1598793
2023-10-18,sh.688520,49.2,49.2,48.0,48.0,688715
2023-10-19,sh.688520,47.89,48.68,46.6,47.18,1040196
2023-10-20,sh.688520,46.75,47.83,46.04,46.2,1132442
2023-10-23,sh.688520,45.28,47.15,45.28,45.99,1034754
2023-10-24,sh.688520,45.93,47.66,44.66,45.74,1412063
2023-10-25,sh.688520,45.88,46.62,45.45,45.61,1079505
