date,stock_code,open,high,low,close,volume
2023-07-03,sh.600166,3.41,3.62,3.41,3.55,124776479
2023-07-04,sh.600166,3.56,3.64,3.52,3.63,113437271
2023-07-05,sh.600166,3.63,3.65,3.54,3.55,58907280
2023-07-06,sh.600166,3.53,3.59,3.52,3.56,45896896
2023-07-07,sh.600166,3.53,3.58,3.5,3.55,47723231
2023-07-10,sh.600166,3.56,3.6,3.51,3.57,58336060
2023-07-11,sh.600166,3.58,3.63,3.54,3.62,52278504
2023-07-12,sh.600166,3.62,3.7,3.6,3.62,79081899
2023-07-13,sh.600166,3.61,3.63,3.56,3.59,52595730
2023-07-14,sh.600166,3.58,3.62,3.53,3.59,47142319
2023-07-17,sh.600166,3.61,3.68,3.57,3.62,72914639
2023-07-18,sh.600166,3.62,3.77,3.57,3.74,154030134
2023-07-19,sh.600166,3.72,3.78,3.71,3.74,77617861
2023-07-20,sh.600166,3.75,3.77,3.67,3.68,59973201
2023-07-21,sh.600166,3.66,3.74,3.64,3.69,60777234
2023-07-24,sh.600166,3.67,3.68,3.59,3.66,52689622
2023-07-25,sh.600166,3.69,3.76,3.67,3.7,73826622
2023-07-26,sh.600166,3.69,3.7,3.59,3.61,57072607
2023-07-27,sh.600166,3.65,3.69,3.6,3.61,61198151
2023-07-28,sh.600166,3.59,3.72,3.53,3.69,77160131
2023-07-31,sh.600166,3.72,3.83,3.7,3.77,83909006
2023-08-01,sh.600166,3.75,3.9,3.7,3.8,116949217
2023-08-02,sh.600166,3.76,3.84,3.72,3.78,73113061
2023-08-03,sh.600166,3.74,3.76,3.63,3.66,86869473
2023-08-04,sh.600166,3.66,3.7,3.63,3.64,60522847
2023-08-07,sh.600166,3.62,3.68,3.62,3.66,50082775
2023-08-08,sh.600166,3.64,3.73,3.64,3.68,48129678
2023-08-09,sh.600166,3.67,3.76,3.62,3.64,61334904
2023-08-10,sh.600166,3.61,3.64,3.54,3.56,78796107
2023-08-11,sh.600166,3.57,3.59,3.48,3.48,74579446
2023-08-14,sh.600166,3.45,3.51,3.38,3.49,76354077
2023-08-15,sh.600166,3.5,3.6,3.47,3.51,72702564
2023-08-16,sh.600166,3.51,3.54,3.43,3.44,47756988
2023-08-17,sh.600166,3.41,3.53,3.37,3.52,54531902
2023-08-18,sh.600166,3.5,3.54,3.48,3.48,46597114
2023-08-21,sh.600166,3.45,3.52,3.41,3.42,42107460
2023-08-22,sh.600166,3.42,3.47,3.37,3.43,50667809
2023-08-23,sh.600166,3.42,3.44,3.38,3.38,34612500
2023-08-24,sh.600166,3.39,3.43,3.34,3.4,40678229
2023-08-25,sh.600166,3.37,3.5,3.37,3.45,71274014
2023-08-28,sh.600166,3.65,3.67,3.5,3.55,99659261
2023-08-29,sh.600166,3.54,3.68,3.52,3.65,85237000
2023-08-30,sh.600166,3.65,3.69,3.63,3.67,56346199
2023-08-31,sh.600166,3.66,3.66,3.57,3.58,105489400
2023-09-01,sh.600166,3.54,3.57,3.44,3.5,79851331
2023-09-04,sh.600166,3.51,3.52,3.41,3.5,81488390
2023-09-05,sh.600166,3.48,3.49,3.44,3.46,57448625
2023-09-06,sh.600166,3.45,3.52,3.44,3.47,52359300
2023-09-07,sh.600166,3.45,3.48,3.38,3.39,51293400
2023-09-08,sh.600166,3.38,3.41,3.37,3.38,31907792
2023-09-11,sh.600166,3.38,3.56,3.37,3.55,94368874
2023-09-12,sh.600166,3.58,3.71,3.56,3.68,122081621
