date,stock_code,open,high,low,close,volume
2023-07-03,sh.688052,159.52,164.98,156.5,158.87,1296934
2023-07-04,sh.688052,158.65,172.48,157.56,172.29,2273161
2023-07-05,sh.688052,171.0,173.2,167.06,167.55,905875
2023-07-06,sh.688052,167.86,173.98,165.66,169.03,907351
2023-07-07,sh.688052,167.67,169.2,165.5,166.0,493782
2023-07-10,sh.688052,166.0,175.97,166.0,169.68,914993
2023-07-11,sh.688052,169.68,179.13,168.49,175.02,1716026
2023-07-12,sh.688052,172.0,175.0,169.4,169.5,865124
2023-07-13,sh.688052,169.5,175.8,169.5,172.21,860707
2023-07-14,sh.688052,172.99,174.21,164.01,164.05,906593
2023-07-17,sh.688052,160.88,163.71,157.31,160.43,1272746
2023-07-18,sh.688052,164.0,171.0,160.43,165.33,1801647
2023-07-19,sh.688052,165.3,165.3,152.12,152.2,2159097
2023-07-20,sh.688052,152.2,153.11,146.83,148.2,1742158
2023-07-21,sh.688052,148.2,150.79,146.83,148.93,924741
2023-07-24,sh.688052,148.99,150.5,145.0,145.0,1067226
2023-07-25,sh.688052,147.68,148.9,143.88,145.57,1189178
2023-07-26,sh.688052,144.51,145.8,143.08,144.5,965070
2023-07-27,sh.688052,144.54,149.97,144.33,145.08,1335915
2023-07-28,sh.688052,145.0,146.0,140.91,142.57,1273139
2023-07-31,sh.688052,142.98,144.77,141.55,144.28,1070866
2023-08-01,sh.688052,143.69,148.5,142.66,146.22,1360472
2023-08-02,sh.688052,145.0,148.99,144.71,146.76,1092070
2023-08-03,sh.688052,147.0,151.98,144.15,149.55,1626357
2023-08-04,sh.688052,150.49,156.98,149.62,154.31,1664992
2023-08-07,sh.688052,153.57,154.2,148.0,149.47,1202905
2023-08-08,sh.688052,149.45,150.4,148.07,150.1,809583
2023-08-09,sh.688052,150.02,150.02,145.25,146.75,620560
2023-08-10,sh.688052,146.91,148.6,144.49,148.39,488963
2023-08-11,sh.688052,148.41,148.64,143.6,143.86,573376
2023-08-14,sh.688052,143.99,143.99,139.62,140.03,865076
2023-08-15,sh.688052,140.0,141.99,135.63,136.78,1518604
2023-08-16,sh.688052,136.83,138.11,130.8,131.36,1510085
2023-08-17,sh.688052,131.0,136.47,129.57,134.89,1138632
2023-08-18,sh.688052,139.94,143.77,135.12,135.15,1648690
2023-08-21,sh.688052,135.21,137.65,133.46,134.08,1088379
2023-08-22,sh.688052,134.68,135.97,128.31,132.36,1130793
