date,stock_code,open,high,low,close,volume
2023-07-03,sh.600606,2.76,2.79,2.75,2.78,33947705
2023-07-04,sh.600606,2.77,2.81,2.75,2.78,39929449
2023-07-05,sh.600606,2.77,2.81,2.76,2.78,33812377
2023-07-06,sh.600606,2.77,2.81,2.76,2.79,34241991
2023-07-07,sh.600606,2.79,2.83,2.78,2.79,30691033
2023-07-10,sh.600606,2.79,2.8,2.77,2.79,23715776
2023-07-11,sh.600606,2.81,2.85,2.79,2.79,27396543
2023-07-12,sh.600606,2.79,2.81,2.75,2.76,34548254
2023-07-13,sh.600606,2.76,2.8,2.76,2.79,23233609
2023-07-14,sh.600606,2.79,2.8,2.77,2.78,24382213
2023-07-17,sh.600606,2.78,2.79,2.75,2.77,25106173
2023-07-18,sh.600606,2.76,2.8,2.76,2.78,27237305
2023-07-19,sh.600606,2.78,2.83,2.77,2.82,50696596
2023-07-20,sh.600606,2.83,2.86,2.82,2.84,46424582
2023-07-21,sh.600606,2.83,2.9,2.82,2.89,71446288
2023-07-24,sh.600606,2.93,2.94,2.85,2.9,68888217
2023-07-25,sh.600606,2.92,3.08,2.92,3.06,155790450
2023-07-26,sh.600606,3.07,3.18,3.05,3.15,196788989
2023-07-27,sh.600606,3.1,3.22,3.06,3.15,167870640
2023-07-28,sh.600606,3.15,3.24,3.14,3.22,134455586
2023-07-31,sh.600606,3.25,3.3,3.22,3.24,125395055
2023-08-01,sh.600606,3.23,3.29,3.19,3.23,105077396
2023-08-02,sh.600606,3.23,3.37,3.22,3.27,148871209
2023-08-03,sh.600606,3.27,3.32,3.21,3.31,111819235
2023-08-04,sh.600606,3.37,3.39,3.28,3.29,100253458
2023-08-07,sh.600606,3.27,3.27,3.18,3.2,92473434
2023-08-08,sh.600606,3.21,3.24,3.15,3.16,62293909
2023-08-09,sh.600606,3.16,3.2,3.13,3.14,55268110
2023-08-10,sh.600606,3.15,3.18,3.13,3.15,41583048
2023-08-11,sh.600606,3.17,3.21,3.09,3.1,83612707
2023-08-14,sh.600606,3.05,3.08,3.0,3.06,59772663
2023-08-15,sh.600606,3.07,3.08,3.02,3.05,46417901
2023-08-16,sh.600606,3.04,3.14,3.02,3.08,62390004
2023-08-17,sh.600606,3.07,3.11,3.03,3.07,57212442
2023-08-18,sh.600606,3.05,3.1,3.01,3.01,53776100
2023-08-21,sh.600606,3.01,3.03,2.94,2.94,59220360
2023-08-22,sh.600606,2.95,2.96,2.9,2.95,58129936
2023-08-23,sh.600606,2.94,2.95,2.89,2.89,42092175
2023-08-24,sh.600606,2.91,2.91,2.83,2.84,49306023
2023-08-25,sh.600606,2.84,2.91,2.82,2.86,56892752
2023-08-28,sh.600606,3.06,3.12,2.99,3.02,136738238
2023-08-29,sh.600606,3.03,3.07,2.97,3.06,111650954
2023-08-30,sh.600606,3.06,3.11,3.03,3.07,88318889
2023-08-31,sh.600606,3.06,3.07,2.91,2.93,82151741
2023-09-01,sh.600606,2.96,2.98,2.9,2.92,60389273
2023-09-04,sh.600606,2.93,2.98,2.91,2.93,86214537
2023-09-05,sh.600606,2.93,2.93,2.84,2.85,71447576
2023-09-06,sh.600606,2.84,2.9,2.82,2.88,73003679
2023-09-07,sh.600606,2.87,2.9,2.82,2.82,67876507
2023-09-08,sh.600606,2.81,2.82,2.77,2.8,43666577
2023-09-11,sh.600606,2.8,2.83,2.77,2.81,51303920
2023-09-12,sh.600606,2.8,2.82,2.79,2.8,44945752
2023-09-13,sh.600606,2.8,2.84,2.79,2.82,54532141
2023-09-14,sh.600606,2.81,2.82,2.77,2.79,39425000
2023-09-15,sh.600606,2.8,2.82,2.79,2.81,52067177
2023-09-18,sh.600606,2.8,2.81,2.75,2.78,52677163
2023-09-19,sh.600606,2.77,2.8,2.76,2.78,40258742
2023-09-20,sh.600606,2.78,2.8,2.76,2.78,42566174
2023-09-21,sh.600606,2.78,2.81,2.77,2.78,43369485
2023-09-22,sh.600606,2.78,2.81,2.76,2.81,39937999
2023-09-25,sh.600606,2.81,2.81,2.73,2.74,56819172
2023-09-26,sh.600606,2.73,2.75,2.72,2.73,27114885
2023-09-27,sh.600606,2.73,2.76,2.73,2.74,24975599
2023-09-28,sh.600606,2.75,2.77,2.74,2.74,28865749
2023-10-09,sh.600606,2.73,2.74,2.65,2.65,55027081
2023-10-10,sh.600606,2.66,2.68,2.63,2.64,40330380
2023-10-11,sh.600606,2.64,2.65,2.61,2.62,35434448
2023-10-12,sh.600606,2.62,2.65,2.62,2.64,28283692
2023-10-13,sh.600606,2.63,2.64,2.6,2.6,32628799
2023-10-16,sh.600606,2.6,2.62,2.55,2.56,40540146
2023-10-17,sh.600606,2.57,2.57,2.52,2.55,43245607
2023-10-18,sh.600606,2.54,2.55,2.49,2.49,40119848
2023-10-19,sh.600606,2.49,2.53,2.47,2.49,42976180
2023-10-20,sh.600606,2.49,2.56,2.47,2.5,51338870
2023-10-23,sh.600606,2.5,2.5,2.44,2.46,41872590
2023-10-24,sh.600606,2.47,2.53,2.45,2.52,47848263
2023-10-25,sh.600606,2.54,2.57,2.53,2.55,45156823
2023-10-26,sh.600606,2.54,2.55,2.5,2.54,37485248
2023-10-27,sh.600606,2.53,2.59,2.51,2.56,44597864
2023-10-30,sh.600606,2.55,2.57,2.53,2.56,32077023
2023-10-31,sh.600606,2.55,2.57,2.51,2.55,46432162
2023-11-01,sh.600606,2.55,2.56,2.51,2.52,38254169
2023-11-02,sh.600606,2.53,2.55,2.51,2.51,38446372
2023-11-03,sh.600606,2.52,2.53,2.5,2.51,31260680
2023-11-06,sh.600606,2.52,2.58,2.51,2.58,62718225
2023-11-07,sh.600606,2.57,2.64,2.56,2.58,69352525
2023-11-08,sh.600606,2.58,2.62,2.57,2.59,41923783
2023-11-09,sh.600606,2.6,2.63,2.57,2.57,42477051
2023-11-10,sh.600606,2.57,2.58,2.53,2.55,34273200
2023-11-13,sh.600606,2.55,2.57,2.54,2.56,26430640
2023-11-14,sh.600606,2.56,2.59,2.55,2.59,32482088
2023-11-15,sh.600606,2.61,2.62,2.57,2.58,37353244
2023-11-16,sh.600606,2.58,2.59,2.55,2.55,26931681
2023-11-17,sh.600606,2.54,2.57,2.52,2.54,36217227
2023-11-20,sh.600606,2.55,2.56,2.52,2.54,28273754
2023-11-21,sh.600606,2.54,2.62,2.54,2.58,65783364
2023-11-22,sh.600606,2.57,2.64,2.56,2.58,74079772
2023-11-23,sh.600606,2.57,2.64,2.55,2.63,71275462
2023-11-24,sh.600606,2.63,2.65,2.61,2.62,55849456
