date,stock_code,open,high,low,close,volume
2023-07-03,sz.002044,7.03910798,7.07882086,6.92989756,6.949754,20274217
2023-07-04,sz.002044,6.95968222,6.96961044,6.81075892,6.87032824,22212746
2023-07-05,sz.002044,6.8504718,6.9993951,6.83061536,6.9001129,16514188
2023-07-06,sz.002044,6.86040002,6.9001129,6.81075892,6.84054358,15306172
2023-07-07,sz.002044,6.83061536,6.949754,6.8008307,6.9001129,20770862
2023-07-10,sz.002044,6.88025646,7.05896442,6.87032824,6.92989756,17619305
2023-07-11,sz.002044,6.92989756,6.96961044,6.88025646,6.93982578,12092370
2023-07-12,sz.002044,6.91996934,7.21781594,6.8504718,6.87032824,37986512
2023-07-13,sz.002044,6.91996934,7.0986773,6.87032824,7.06889264,28150314
2023-07-14,sz.002044,7.08874908,7.1979595,6.98946688,7.17810306,34112529
2023-07-17,sz.002044,7.2476006,7.36673924,6.92989756,6.9993951,44230885
2023-07-18,sz.002044,6.9993951,7.02917976,6.61219452,6.8008307,60497789
2023-07-19,sz.002044,6.79090248,6.9993951,6.7511896,6.86040002,29770072
2023-07-20,sz.002044,6.84054358,6.96961044,6.83061536,6.8504718,23361489
2023-07-21,sz.002044,6.8504718,6.95968222,6.8008307,6.92989756,21494353
2023-07-24,sz.002044,6.9001129,7.25752882,6.9001129,7.15824662,58292986
2023-07-25,sz.002044,7.2476006,7.25752882,7.0986773,7.18803128,36800940
2023-07-26,sz.002044,7.20788772,7.20788772,7.06889264,7.0986773,22333116
2023-07-27,sz.002044,7.0986773,7.1483184,7.07882086,7.11853374,18347910
2023-07-28,sz.002044,7.06889264,7.17810306,7.02917976,7.13839018,18509803
2023-07-31,sz.002044,7.1483184,7.22774416,7.05896442,7.17810306,28565948
2023-08-01,sz.002044,7.16817484,7.18803128,7.0490362,7.12846196,24911115
2023-08-02,sz.002044,7.0986773,7.10860552,6.84054358,6.86040002,43451636
2023-08-03,sz.002044,6.83061536,6.96961044,6.82068714,6.91004112,27317178
2023-08-04,sz.002044,6.92989756,7.01925154,6.87032824,6.9001129,31664306
2023-08-07,sz.002044,6.86040002,6.92989756,6.7015485,6.7511896,45513473
2023-08-08,sz.002044,6.74126138,6.86040002,6.73133316,6.77104604,23456227
2023-08-09,sz.002044,6.73133316,6.88025646,6.71147672,6.82068714,23499615
2023-08-10,sz.002044,6.78097426,6.93982578,6.77104604,6.92989756,22936200
2023-08-11,sz.002044,6.88025646,6.949754,6.76111782,6.76111782,16425481
2023-08-14,sz.002044,6.73133316,6.87032824,6.68169206,6.8504718,19175868
2023-08-15,sz.002044,6.8504718,6.9001129,6.8008307,6.87032824,16411220
2023-08-16,sz.002044,6.8504718,6.87032824,6.69162028,6.7015485,20827123
2023-08-17,sz.002044,6.69162028,6.72140494,6.6022663,6.69162028,22303371
2023-08-18,sz.002044,6.69162028,6.7015485,6.51291232,6.52284054,19334505
2023-08-21,sz.002044,6.51291232,6.62212274,6.46327122,6.48312766,18059212
2023-08-22,sz.002044,6.5029841,6.53276876,6.38384546,6.4037019,30805778
2023-08-23,sz.002044,6.41363012,6.453343,6.3540608,6.38384546,16278308
2023-08-24,sz.002044,6.39377368,6.6022663,6.3540608,6.5029841,20937152
2023-08-25,sz.002044,6.5029841,6.57248164,6.42355834,6.49305588,17155915
2023-08-28,sz.002044,6.77104604,6.89018468,6.61219452,6.6519074,35395664
2023-08-29,sz.002044,6.64197918,6.88025646,6.6022663,6.87032824,33504611
2023-08-30,sz.002044,6.87032824,6.949754,6.74126138,6.76111782,31604500
2023-08-31,sz.002044,6.76111782,6.79090248,6.69162028,6.7511896,16846609
2023-09-01,sz.002044,6.77104604,6.81075892,6.72140494,6.78097426,12307355
2023-09-04,sz.002044,6.8008307,6.86040002,6.72140494,6.8504718,18971107
2023-09-05,sz.002044,6.83061536,6.89018468,6.74126138,6.7511896,21098508
2023-09-06,sz.002044,6.7511896,6.77104604,6.69162028,6.7511896,19763616
2023-09-07,sz.002044,6.7511896,6.8008307,6.66183562,6.66183562,20152082
2023-09-08,sz.002044,6.6519074,6.77104604,6.62212274,6.74126138,18721621
2023-09-11,sz.002044,6.74126138,6.8008307,6.7015485,6.76111782,20110458
2023-09-12,sz.002044,6.76111782,6.81075892,6.73133316,6.73133316,13465578
2023-09-13,sz.002044,6.73133316,6.77104604,6.62212274,6.67176384,16685703
2023-09-14,sz.002044,6.69162028,6.74126138,6.63205096,6.67176384,17636631
2023-09-15,sz.002044,6.68169206,6.83061536,6.63205096,6.78097426,22888880
2023-09-18,sz.002044,6.78097426,6.87032824,6.77104604,6.83061536,19168826
2023-09-19,sz.002044,6.83061536,6.89018468,6.79090248,6.86040002,19720675
2023-09-20,sz.002044,6.86040002,6.9001129,6.82068714,6.88025646,18042066
2023-09-21,sz.002044,7.0490362,7.06889264,6.67176384,6.68169206,31826451
2023-09-22,sz.002044,6.6519074,6.78097426,6.51291232,6.77104604,27623293
2023-09-25,sz.002044,6.7511896,6.87032824,6.71147672,6.78097426,21186644
2023-09-26,sz.002044,6.76111782,6.78097426,6.71147672,6.72140494,11125222
2023-09-27,sz.002044,6.71147672,6.78097426,6.71147672,6.72140494,20471049
2023-09-28,sz.002044,6.73133316,6.79090248,6.71147672,6.7511896,20832164
2023-10-09,sz.002044,6.74126138,6.74126138,6.61219452,6.64197918,24317424
2023-10-10,sz.002044,6.64197918,6.69162028,6.453343,6.5526252,31326048
