date,stock_code,open,high,low,close,volume
2023-07-03,sh.688220,75.4,77.3,74.9,76.14,1405357
2023-07-04,sh.688220,76.1,77.4,75.41,75.57,1627697
2023-07-05,sh.688220,75.58,77.32,75.55,76.48,1561323
2023-07-06,sh.688220,75.7,76.95,75.67,75.83,1039147
2023-07-07,sh.688220,76.34,77.37,75.6,76.5,1440064
2023-07-10,sh.688220,76.46,77.25,76.14,76.59,771319
2023-07-11,sh.688220,76.85,77.89,76.66,77.6,1248314
2023-07-12,sh.688220,77.19,78.84,76.8,77.5,1531597
2023-07-13,sh.688220,77.78,79.59,77.28,78.89,1282813
2023-07-14,sh.688220,78.89,79.27,76.8,77.66,1280431
2023-07-17,sh.688220,77.62,79.32,77.25,79.25,1115413
2023-07-18,sh.688220,79.12,80.35,79.11,80.0,1090622
2023-07-19,sh.688220,80.0,80.6,79.52,79.92,1120327
2023-07-20,sh.688220,80.17,80.17,74.68,77.28,2674790
2023-07-21,sh.688220,77.31,77.81,76.03,76.98,1087274
2023-07-24,sh.688220,77.9,77.9,76.52,76.76,817315
2023-07-25,sh.688220,77.9,77.9,76.42,76.43,1344229
2023-07-26,sh.688220,76.9,77.42,76.3,76.61,862708
2023-07-27,sh.688220,76.98,78.52,76.3,76.67,1410306
2023-07-28,sh.688220,76.18,77.4,76.18,76.67,1019240
2023-07-31,sh.688220,76.62,77.9,76.32,76.96,1246746
2023-08-01,sh.688220,77.02,77.48,76.1,76.28,1236070
2023-08-02,sh.688220,76.28,77.39,76.28,77.06,1298883
2023-08-03,sh.688220,77.15,77.52,76.8,76.8,1013429
2023-08-04,sh.688220,76.85,78.43,76.57,76.66,1302474
2023-08-07,sh.688220,77.0,77.45,76.41,76.74,944203
2023-08-08,sh.688220,76.82,77.09,74.88,76.0,1312544
2023-08-09,sh.688220,75.7,76.35,75.05,75.85,1052676
2023-08-10,sh.688220,75.99,76.69,75.46,76.2,1138592
2023-08-11,sh.688220,76.32,77.44,76.19,76.82,959563
2023-08-14,sh.688220,76.89,77.62,74.8,75.1,1319049
2023-08-15,sh.688220,74.81,75.6,71.51,72.23,2037106
2023-08-16,sh.688220,72.22,72.59,71.1,71.85,1105598
2023-08-17,sh.688220,72.0,72.65,71.38,71.99,911642
2023-08-18,sh.688220,73.58,74.28,71.41,71.6,1217280
2023-08-21,sh.688220,71.14,72.08,69.91,69.92,984448
2023-08-22,sh.688220,70.52,70.98,69.13,70.2,1573212
2023-08-23,sh.688220,70.17,70.92,69.38,69.45,1153166
2023-08-24,sh.688220,69.5,70.0,68.88,69.13,942356
2023-08-25,sh.688220,68.94,69.59,67.45,67.81,1014957
2023-08-28,sh.688220,71.15,71.79,68.5,68.87,1827839
2023-08-29,sh.688220,68.69,71.0,67.28,67.8,2960816
2023-08-30,sh.688220,70.15,71.44,68.91,69.97,3174407
2023-08-31,sh.688220,69.4,70.58,69.18,70.04,1786115
2023-09-01,sh.688220,70.0,70.49,69.2,70.26,1158669
2023-09-04,sh.688220,70.26,70.95,69.01,69.32,1868986
2023-09-05,sh.688220,69.3,70.0,68.88,69.3,1328020
2023-09-06,sh.688220,69.07,69.51,68.3,68.97,1410556
2023-09-07,sh.688220,69.0,69.34,67.21,67.41,1781072
