date,stock_code,open,high,low,close,volume
2023-07-03,sh.600879,8.38525887,8.43464202,8.2963692,8.34575235,42041321
2023-07-04,sh.600879,8.33587572,8.37538224,8.25686268,8.35562898,43806634
2023-07-05,sh.600879,8.33587572,8.3951355,8.24698605,8.25686268,33222215
2023-07-06,sh.600879,8.24698605,8.2963692,8.17784964,8.1976029,28973644
2023-07-07,sh.600879,8.17784964,8.21735616,8.07908334,8.11858986,29324158
2023-07-10,sh.600879,8.15809638,8.24698605,8.0988366,8.16797301,39415053
2023-07-11,sh.600879,8.26673931,8.2963692,8.14821975,8.18772627,35446760
2023-07-12,sh.600879,8.16797301,8.20747953,7.79266107,7.8025377,84148190
2023-07-13,sh.600879,7.8025377,7.84204422,7.69389477,7.75315455,59963385
2023-07-14,sh.600879,7.75315455,7.83216759,7.73340129,7.78278444,32723642
2023-07-17,sh.600879,7.78278444,7.95068715,7.74327792,7.93093389,50584250
2023-07-18,sh.600879,7.93093389,8.01982356,7.85192085,7.93093389,34284704
2023-07-19,sh.600879,7.93093389,7.95068715,7.85192085,7.87167411,24301921
2023-07-20,sh.600879,7.88155074,7.901304,7.68401814,7.69389477,33574200
2023-07-21,sh.600879,7.69389477,7.71364803,7.57537521,7.61488173,30669240
2023-07-24,sh.600879,7.67414151,8.0000703,7.67414151,7.86179748,64822987
2023-07-25,sh.600879,7.901304,7.93093389,7.81241433,7.88155074,29400440
2023-07-26,sh.600879,7.86179748,7.88155074,7.75315455,7.79266107,29038249
2023-07-27,sh.600879,7.82229096,7.91118063,7.77290781,7.79266107,27276800
2023-07-28,sh.600879,7.73340129,7.86179748,7.69389477,7.85192085,30608615
2023-07-31,sh.600879,7.84204422,7.93093389,7.84204422,7.91118063,29840394
2023-08-01,sh.600879,7.86179748,7.92105726,7.8025377,7.81241433,29765097
2023-08-02,sh.600879,7.81241433,7.82229096,7.71364803,7.73340129,23634296
2023-08-03,sh.600879,7.72352466,7.75315455,7.68401814,7.69389477,23056300
2023-08-04,sh.600879,7.72352466,7.74327792,7.64451162,7.72352466,32771602
2023-08-07,sh.600879,7.7037714,7.7037714,7.57537521,7.59512847,33572527
2023-08-08,sh.600879,7.6050051,7.61488173,7.48648554,7.54574532,23521188
2023-08-09,sh.600879,7.53586869,7.53586869,7.4074725,7.43710239,24444574
2023-08-10,sh.600879,7.41734913,7.48648554,7.41734913,7.45685565,16347388
