date,stock_code,open,high,low,close,volume
2023-07-03,sz.300140,9.12395054,9.26144818,8.99627416,9.0846655,18894500
2023-07-04,sz.300140,9.01591668,9.54626472,8.9373466,9.38912456,24610034
2023-07-05,sz.300140,9.27126944,9.29091196,8.9864529,9.00609542,17372962
2023-07-06,sz.300140,9.0355592,9.1828781,8.839134,9.07484424,12423600
2023-07-07,sz.300140,9.0846655,9.22216314,8.95698912,8.99627416,12715850
2023-07-10,sz.300140,8.91770408,9.0355592,8.84895526,8.87841904,10776800
2023-07-11,sz.300140,8.839134,8.9864529,8.81949148,8.89806156,8750850
2023-07-12,sz.300140,8.92752534,8.99627416,8.81949148,8.839134,8780000
2023-07-13,sz.300140,8.85877652,9.4284096,8.85877652,9.27126944,25523900
2023-07-14,sz.300140,9.36948204,9.48733716,9.17305684,9.330197,17278500
2023-07-17,sz.300140,9.45787338,10.1650041,9.29091196,9.85072378,35355900
2023-07-18,sz.300140,9.7721537,9.90965134,9.5266222,9.66411984,21637039
2023-07-19,sz.300140,9.61501354,9.9685789,9.50697968,9.6248348,17707700
2023-07-20,sz.300140,9.59537102,9.61501354,9.17305684,9.21234188,17201004
2023-07-21,sz.300140,9.25162692,9.26144818,8.81949148,8.87841904,13394308
2023-07-24,sz.300140,8.78020644,8.85877652,8.52485368,8.5444962,10666800
2023-07-25,sz.300140,8.62306628,8.72127888,8.48556864,8.56413872,9669700
2023-07-26,sz.300140,8.56413872,8.77038518,8.5444962,8.5936025,11187400
2023-07-27,sz.300140,8.5444962,8.58378124,8.3971773,8.41681982,8603200
2023-07-28,sz.300140,8.4462836,8.56413872,8.33824974,8.53467494,6016300
2023-07-31,sz.300140,8.47574738,8.78020644,8.4462836,8.66235132,8650746
2023-08-01,sz.300140,8.62306628,8.63288754,8.32842848,8.36771352,9754294
2023-08-02,sz.300140,8.36771352,8.40699856,8.14182454,8.348071,6376400
2023-08-03,sz.300140,8.348071,8.50521116,8.24003714,8.41681982,5972000
2023-08-04,sz.300140,8.41681982,8.47574738,8.35789226,8.36771352,5913858
2023-08-07,sz.300140,8.25967966,8.36771352,8.0534332,8.348071,5303400
2023-08-08,sz.300140,8.52485368,8.58378124,8.42664108,8.52485368,9209758
2023-08-09,sz.300140,8.48556864,8.95698912,8.30878596,8.92752534,17036902
2023-08-10,sz.300140,8.91770408,8.92752534,8.72127888,8.78020644,9652502
2023-08-11,sz.300140,8.78020644,9.0846655,8.73110014,8.76056392,9786104
2023-08-14,sz.300140,8.60342376,9.06502298,8.55431746,8.9864529,12014308
2023-08-15,sz.300140,8.9373466,9.2319844,8.70163636,9.11412928,14289302
2023-08-16,sz.300140,9.0355592,9.34001826,8.79984896,8.79984896,17765000
2023-08-17,sz.300140,8.73110014,9.32037574,8.73110014,9.22216314,17199300
2023-08-18,sz.300140,9.1828781,9.27126944,9.05520172,9.1337718,11920102
2023-08-21,sz.300140,9.0355592,9.50697968,8.92752534,9.2810907,16238462
2023-08-22,sz.300140,9.1828781,9.2810907,9.01591668,9.10430802,11442004
2023-08-23,sz.300140,9.10430802,9.41858834,9.0355592,9.04538046,13374600
2023-08-24,sz.300140,9.0355592,9.09448676,8.4462836,8.78020644,15595902
2023-08-25,sz.300140,8.67217258,9.1337718,8.6427088,8.81949148,12940794
2023-08-28,sz.300140,9.19269936,9.50697968,8.8882403,8.95698912,13858900
2023-08-29,sz.300140,8.95698912,9.2810907,8.8882403,9.27126944,13957504
2023-08-30,sz.300140,9.330197,9.3793033,8.95698912,9.0846655,14192400
2023-08-31,sz.300140,8.96681038,9.27126944,8.92752534,8.9373466,12868600
2023-09-01,sz.300140,8.7900277,8.87841904,8.4953899,8.51503242,14647004
2023-09-04,sz.300140,8.58378124,8.61324502,8.41681982,8.61324502,8098040
2023-09-05,sz.300140,8.57395998,8.5936025,8.35789226,8.40699856,8323007
2023-09-06,sz.300140,8.348071,8.4462836,8.33824974,8.40699856,4105814
2023-09-07,sz.300140,8.40699856,8.52485368,8.35789226,8.35789226,4942250
2023-09-08,sz.300140,8.35789226,8.7900277,8.348071,8.56413872,9977200
2023-09-11,sz.300140,8.4953899,8.5444962,8.24003714,8.2989647,8368500
2023-09-12,sz.300140,8.2989647,8.31860722,8.14182454,8.23021588,5268300
2023-09-13,sz.300140,8.22039462,8.27932218,8.11236076,8.2498584,4811702
2023-09-14,sz.300140,8.2498584,8.2498584,7.86682926,7.91593556,7463740
2023-09-15,sz.300140,7.99450564,7.99450564,7.83736548,7.84718674,4543100
2023-09-18,sz.300140,7.87665052,7.92575682,7.7587954,7.9061143,3672702
2023-09-19,sz.300140,7.9061143,7.92575682,7.6114765,7.64094028,5937200
2023-09-20,sz.300140,7.6605828,7.72933162,7.54272768,7.5623702,4507300
2023-09-21,sz.300140,7.54272768,7.59183398,7.42487256,7.43469382,6839900
2023-09-22,sz.300140,7.43469382,7.5132639,7.365945,7.48380012,6940900
2023-09-25,sz.300140,7.4641576,7.54272768,7.39540878,7.43469382,4851000
2023-09-26,sz.300140,7.39540878,7.50344264,7.37576626,7.43469382,3909500
2023-09-27,sz.300140,7.4150513,7.49362138,7.34630248,7.45433634,3672736
2023-09-28,sz.300140,7.50344264,7.6114765,7.45433634,7.59183398,4098100
2023-10-09,sz.300140,7.60165524,7.63111902,7.49362138,7.49362138,4256400
2023-10-10,sz.300140,7.52308516,7.6114765,7.44451508,7.52308516,4422404
2023-10-11,sz.300140,7.57219146,7.68022532,7.54272768,7.59183398,5536506
2023-10-12,sz.300140,7.59183398,7.63111902,7.5132639,7.55254894,3526904
2023-10-13,sz.300140,7.55254894,7.59183398,7.365945,7.39540878,5138404
2023-10-16,sz.300140,7.42487256,7.43469382,7.30701744,7.35612374,3914600
2023-10-17,sz.300140,7.42487256,7.42487256,7.2677324,7.29719618,4175100
2023-10-18,sz.300140,7.33648122,7.33648122,7.13023476,7.13023476,4739320
2023-10-19,sz.300140,7.1695198,7.22844736,7.09094972,7.1204135,3677850
2023-10-20,sz.300140,7.13023476,7.20880484,7.0713072,7.1204135,2992200
2023-10-23,sz.300140,7.13023476,7.13023476,6.85523948,6.89452452,5336336
2023-10-24,sz.300140,6.93380956,7.1204135,6.9239883,7.10077098,5196402
2023-10-25,sz.300140,7.1695198,7.29719618,7.11059224,7.28737492,5793200
2023-10-26,sz.300140,7.22844736,7.40523004,7.1695198,7.33648122,6336100
2023-10-27,sz.300140,7.33648122,7.47397886,7.2677324,7.40523004,5622900
2023-10-30,sz.300140,7.32665996,7.45433634,7.32665996,7.42487256,5315661
2023-10-31,sz.300140,7.38558752,7.54272768,7.35612374,7.39540878,5375400
2023-11-01,sz.300140,7.42487256,7.52308516,7.40523004,7.48380012,4327400
2023-11-02,sz.300140,7.44451508,7.55254894,7.365945,7.365945,4420400
2023-11-03,sz.300140,7.40523004,7.53290642,7.38558752,7.4641576,4213100
2023-11-06,sz.300140,7.45433634,7.63111902,7.44451508,7.5623702,7339700
2023-11-07,sz.300140,7.55254894,7.64094028,7.49362138,7.6114765,5548902
2023-11-08,sz.300140,7.84718674,7.84718674,7.53290642,7.57219146,12053600
2023-11-09,sz.300140,7.64094028,7.6605828,7.45433634,7.54272768,7222200
2023-11-10,sz.300140,7.48380012,7.57219146,7.45433634,7.54272768,3994100
2023-11-13,sz.300140,7.55254894,7.6114765,7.47397886,7.55254894,4893700
2023-11-14,sz.300140,7.58201272,7.59183398,7.47397886,7.52308516,4623800
2023-11-15,sz.300140,7.58201272,7.60165524,7.5132639,7.52308516,5237900
2023-11-16,sz.300140,7.52308516,7.55254894,7.4150513,7.43469382,5410600
2023-11-17,sz.300140,7.42487256,7.52308516,7.40523004,7.45433634,3249200
2023-11-20,sz.300140,7.45433634,7.65076154,7.45433634,7.65076154,6255900
2023-11-21,sz.300140,7.63111902,7.68022532,7.55254894,7.57219146,4285408
2023-11-22,sz.300140,7.5623702,7.57219146,7.38558752,7.40523004,5723500
2023-11-23,sz.300140,7.39540878,7.43469382,7.33648122,7.43469382,3885900
2023-11-24,sz.300140,7.43469382,7.43469382,7.2677324,7.3168387,4770200
2023-11-27,sz.300140,7.32665996,7.365945,7.19898358,7.29719618,3216100
2023-11-28,sz.300140,7.3168387,7.4641576,7.2677324,7.42487256,4037647
2023-11-29,sz.300140,7.42487256,7.45433634,7.30701744,7.30701744,2638700
2023-11-30,sz.300140,7.33648122,7.38558752,7.25791114,7.3168387,3197300
2023-12-01,sz.300140,7.34630248,7.35612374,7.22844736,7.3168387,3158247
2023-12-04,sz.300140,7.3168387,7.40523004,7.28737492,7.365945,3574600
2023-12-05,sz.300140,7.365945,7.365945,7.18916232,7.18916232,3942900
2023-12-06,sz.300140,7.18916232,7.27755366,7.13023476,7.22844736,3249814
2023-12-07,sz.300140,7.22844736,7.25791114,7.0713072,7.09094972,5672900
2023-12-08,sz.300140,7.1204135,7.2186261,6.99273712,6.99273712,4030600
2023-12-11,sz.300140,7.0222009,7.30701744,6.95345208,7.2186261,7594648
2023-12-12,sz.300140,7.2677324,7.28737492,7.17934106,7.22844736,3871200
2023-12-13,sz.300140,7.18916232,7.32665996,7.1695198,7.27755366,3932514
2023-12-14,sz.300140,7.29719618,7.34630248,7.23826862,7.25791114,3023300
2023-12-15,sz.300140,7.2677324,7.30701744,7.20880484,7.23826862,3322100
2023-12-18,sz.300140,7.23826862,7.23826862,7.05166468,7.0713072,3771280
2023-12-19,sz.300140,7.10077098,7.14987728,7.04184342,7.1204135,2933100
2023-12-20,sz.300140,7.13023476,7.18916232,7.06148594,7.08112846,2644732
2023-12-21,sz.300140,7.08112846,7.33648122,7.00255838,7.28737492,7197100
2023-12-22,sz.300140,7.27755366,7.33648122,7.17934106,7.2186261,4732400
2023-12-25,sz.300140,7.17934106,7.23826862,6.96327334,6.98291586,5759600
2023-12-26,sz.300140,6.98291586,6.99273712,6.874882,6.88470326,3569200
2023-12-27,sz.300140,6.88470326,7.01237964,6.84541822,6.98291586,3275900
2023-12-28,sz.300140,6.98291586,7.17934106,6.9239883,7.14987728,4787552
2023-12-29,sz.300140,7.1204135,7.2677324,7.10077098,7.23826862,3868714
2024-01-02,sz.300140,7.23826862,7.37576626,7.20880484,7.34630248,3903200
2024-01-03,sz.300140,7.34630248,7.38558752,7.2677324,7.365945,4067362
2024-01-04,sz.300140,7.3168387,7.38558752,7.29719618,7.38558752,3291949
2024-01-05,sz.300140,7.35612374,7.44451508,7.22844736,7.25791114,3931400
2024-01-08,sz.300140,7.25791114,7.28737492,7.14987728,7.15969854,3452350
2024-01-09,sz.300140,7.14987728,7.25791114,7.1204135,7.14005602,2482402
2024-01-10,sz.300140,7.1204135,7.19898358,6.99273712,7.09094972,2976302
2024-01-11,sz.300140,7.08112846,7.24808988,7.03202216,7.20880484,3001402
2024-01-12,sz.300140,7.32665996,7.50344264,7.23826862,7.25791114,6072300
2024-01-15,sz.300140,7.20880484,7.2186261,7.03202216,7.1204135,3785900
2024-01-16,sz.300140,7.13023476,7.19898358,7.04184342,7.1204135,3298300
2024-01-17,sz.300140,7.1695198,7.1695198,7.01237964,7.01237964,2829400
2024-01-18,sz.300140,6.96327334,7.01237964,6.57042294,6.74720562,5982648
2024-01-19,sz.300140,6.7766694,6.80613318,6.60970798,6.64899302,3894500
2024-01-22,sz.300140,6.59988672,6.66863554,6.16775128,6.24632136,4694150
2024-01-23,sz.300140,6.2365001,6.35435522,6.1382875,6.3347127,4677400
2024-01-24,sz.300140,6.32489144,6.63917176,6.32489144,6.61952924,6772786
2024-01-25,sz.300140,6.5802442,7.0222009,6.49185286,7.0222009,8308601
2024-01-26,sz.300140,6.9730946,7.13023476,6.95345208,7.03202216,6452802
2024-01-29,sz.300140,7.0713072,7.15969854,6.91416704,6.91416704,7228800
2024-01-30,sz.300140,6.874882,6.91416704,6.66863554,6.69809932,4585200
2024-01-31,sz.300140,6.75702688,7.30701744,6.59006546,7.14987728,20461902
2024-02-01,sz.300140,6.9730946,7.06148594,6.68827806,6.8257757,17891048
2024-02-02,sz.300140,6.81595444,7.11059224,6.21685758,6.47221034,14401398
2024-02-05,sz.300140,6.3347127,6.36417648,5.66686702,5.83382844,12810900
2024-02-06,sz.300140,5.77490088,6.41328278,5.4507993,6.16775128,12459700
2024-02-07,sz.300140,6.11864498,6.32489144,5.88293474,6.01061112,14166920
2024-02-08,sz.300140,5.97132608,6.41328278,5.70615206,6.383819,14536278
2024-02-19,sz.300140,6.40346152,6.5802442,6.30524892,6.51149538,10696276
2024-02-20,sz.300140,6.45256782,6.47221034,6.31507018,6.4329253,5136410
2024-02-21,sz.300140,6.383819,6.68827806,6.2856064,6.51149538,8099946
2024-02-22,sz.300140,6.4329253,6.63917176,6.42310404,6.59006546,5539434
2024-02-23,sz.300140,6.59988672,6.75702688,6.5311379,6.73738436,7687701
2024-02-26,sz.300140,6.73738436,6.9239883,6.64899302,6.8257757,7679700
2024-02-27,sz.300140,6.80613318,6.88470326,6.7275631,6.88470326,6827255
2024-02-28,sz.300140,6.91416704,7.05166468,6.6293505,6.64899302,11372455
2024-02-29,sz.300140,6.54095916,6.86506074,6.50167412,6.86506074,7755450
2024-03-01,sz.300140,6.8257757,6.95345208,6.7766694,6.85523948,5440900
2024-03-04,sz.300140,6.8257757,6.90434578,6.78649066,6.84541822,5602455
2024-03-05,sz.300140,6.83559696,6.86506074,6.61952924,6.65881428,5672070
2024-03-06,sz.300140,6.64899302,6.74720562,6.59988672,6.6784568,4089000
2024-03-07,sz.300140,6.75702688,6.76684814,6.60970798,6.63917176,4231632
2024-03-08,sz.300140,6.60970798,6.69809932,6.5802442,6.6784568,3913850
2024-03-11,sz.300140,6.70792058,6.93380956,6.63917176,6.90434578,7409100
2024-03-12,sz.300140,6.90434578,6.96327334,6.80613318,6.874882,5187500
2024-03-13,sz.300140,6.95345208,6.96327334,6.8257757,6.86506074,4441800
2024-03-14,sz.300140,6.84541822,6.9730946,6.69809932,6.80613318,5905600
2024-03-15,sz.300140,6.76684814,6.88470326,6.68827806,6.874882,4213102
2024-03-18,sz.300140,6.88470326,7.00255838,6.874882,6.99273712,6012894
2024-03-19,sz.300140,7.0222009,7.0222009,6.91416704,6.94363082,4576700
2024-03-20,sz.300140,6.9730946,6.98291586,6.91416704,6.96327334,4973700
2024-03-21,sz.300140,6.95345208,7.01237964,6.89452452,6.94363082,4215064
2024-03-22,sz.300140,6.95345208,6.99273712,6.78649066,6.86506074,4546965
2024-03-25,sz.300140,6.8257757,6.84541822,6.64899302,6.64899302,5033000
2024-03-26,sz.300140,6.7275631,6.7275631,6.5311379,6.63917176,4222814
2024-03-27,sz.300140,6.6293505,6.66863554,6.383819,6.383819,4011282
2024-03-28,sz.300140,6.40346152,6.59988672,6.39364026,6.54095916,4599168
2024-03-29,sz.300140,6.56060168,6.68827806,6.52131664,6.6293505,4117100
2024-04-01,sz.300140,6.60970798,6.70792058,6.57042294,6.69809932,5209100
2024-04-02,sz.300140,6.7275631,6.74720562,6.64899302,6.69809932,3776200
2024-04-03,sz.300140,6.66863554,6.69809932,6.54095916,6.60970798,3225100
2024-04-08,sz.300140,6.64899302,6.64899302,6.46238908,6.4820316,4002400
2024-04-09,sz.300140,6.44274656,6.6293505,6.44274656,6.60970798,3247600
2024-04-10,sz.300140,6.60970798,6.61952924,6.44274656,6.51149538,3508640
2024-04-11,sz.300140,6.50167412,6.74720562,6.40346152,6.65881428,6246700
2024-04-12,sz.300140,6.6293505,6.70792058,6.4820316,6.50167412,3516000
2024-04-15,sz.300140,6.52131664,6.59006546,6.26596388,6.36417648,5569500
2024-04-16,sz.300140,6.37399774,6.39364026,5.892756,5.92221978,8173700
2024-04-17,sz.300140,5.9909686,6.49185286,5.97132608,6.4820316,8265771
2024-04-18,sz.300140,6.50167412,6.65881428,6.36417648,6.39364026,6172100
2024-04-19,sz.300140,6.44274656,6.51149538,6.30524892,6.49185286,4925600
2024-04-22,sz.300140,6.59988672,6.59988672,6.24632136,6.35435522,7193300
2024-04-23,sz.300140,6.383819,6.42310404,6.29542766,6.3347127,4108700
2024-04-24,sz.300140,6.36417648,6.52131664,6.34453396,6.51149538,3873848
2024-04-25,sz.300140,6.47221034,6.63917176,6.44274656,6.57042294,4012297
2024-04-26,sz.300140,6.54095916,6.65881428,6.47221034,6.61952924,4360750
2024-04-29,sz.300140,6.61952924,6.80613318,6.59988672,6.80613318,4922204
2024-04-30,sz.300140,6.8257757,6.85523948,6.7275631,6.85523948,4629350
2024-05-06,sz.300140,6.94363082,7.11059224,6.93380956,7.06148594,6449412
