date,stock_code,open,high,low,close,volume
2023-07-03,sh.600925,5.60979485,5.637071,5.6007028,5.6188869,13743075
2023-07-04,sh.600925,5.62797895,5.637071,5.59161075,5.6007028,10971234
2023-07-05,sh.600925,5.6007028,5.637071,5.6007028,5.6188869,14092206
2023-07-06,sh.600925,5.62797895,5.637071,5.6007028,5.60979485,11226220
2023-07-07,sh.600925,5.6007028,5.62797895,5.6007028,5.6188869,12345885
2023-07-10,sh.600925,5.66587242,5.66587242,5.60009944,5.60949558,15021836
2023-07-11,sh.600925,5.60009944,5.60949558,5.56251488,5.58130716,10269008
2023-07-12,sh.600925,5.5907033,5.60009944,5.56251488,5.56251488,10596131
2023-07-13,sh.600925,5.56251488,5.5907033,5.56251488,5.58130716,9047912
2023-07-14,sh.600925,5.57191102,5.60009944,5.57191102,5.5907033,9649525
2023-07-17,sh.600925,5.5907033,5.5907033,5.5437226,5.56251488,9494220
2023-07-18,sh.600925,5.56251488,5.58130716,5.5437226,5.57191102,6914803
2023-07-19,sh.600925,5.56251488,5.57191102,5.5437226,5.55311874,7134067
2023-07-20,sh.600925,5.55311874,5.57191102,5.53432646,5.53432646,8400500
2023-07-21,sh.600925,5.52493032,5.53432646,5.51553418,5.53432646,8773446
2023-07-24,sh.600925,5.52493032,5.53432646,5.51553418,5.51553418,7244919
2023-07-25,sh.600925,5.52493032,5.56251488,5.52493032,5.56251488,10136380
2023-07-26,sh.600925,5.55311874,5.5907033,5.53432646,5.5907033,13722345
2023-07-27,sh.600925,5.58130716,5.5907033,5.55311874,5.56251488,9403200
2023-07-28,sh.600925,5.5437226,5.58130716,5.51553418,5.58130716,15304855
2023-07-31,sh.600925,5.57191102,5.60009944,5.57191102,5.5907033,15781107
2023-08-01,sh.600925,5.60009944,5.62828786,5.58130716,5.62828786,19405763
2023-08-02,sh.600925,5.60949558,5.62828786,5.5907033,5.60009944,10507560
2023-08-03,sh.600925,5.5907033,5.60009944,5.58130716,5.5907033,7632405
