date,stock_code,open,high,low,close,volume
2023-07-03,sh.600369,3.58244215,3.6315167,3.57262724,3.61188688,17410058
2023-07-04,sh.600369,3.60207197,3.6315167,3.59225706,3.61188688,13454400
2023-07-05,sh.600369,3.61188688,3.61188688,3.58244215,3.59225706,10947600
2023-07-06,sh.600369,3.59225706,3.61188688,3.56281233,3.58244215,11189398
2023-07-07,sh.600369,3.58244215,3.64133161,3.57262724,3.62170179,18546621
2023-07-10,sh.600369,3.64133161,3.64133161,3.60207197,3.62170179,14804100
2023-07-11,sh.600369,3.6315167,3.64133161,3.61188688,3.6315167,10329675
2023-07-12,sh.600369,3.62170179,3.64133161,3.58244215,3.60207197,11228786
2023-07-13,sh.600369,3.60207197,3.65114652,3.60207197,3.64133161,20303523
2023-07-14,sh.600369,3.64133161,3.65114652,3.62170179,3.62170179,11617209
2023-07-17,sh.600369,3.64133161,3.65114652,3.62170179,3.6315167,21873933
2023-07-18,sh.600369,3.6315167,3.66096143,3.6315167,3.65114652,15175345
2023-07-19,sh.600369,3.64133161,3.67077634,3.64133161,3.67077634,13969479
2023-07-20,sh.600369,3.67077634,3.69040616,3.64133161,3.65114652,17754002
2023-07-21,sh.600369,3.67077634,3.69040616,3.65114652,3.69040616,19445820
2023-07-24,sh.600369,3.69040616,3.71985089,3.67077634,3.69040616,16287639
2023-07-25,sh.600369,3.78855526,3.88670436,3.76892544,3.86707454,99263467
2023-07-26,sh.600369,3.86707454,3.90633418,3.83762981,3.89651927,85095081
2023-07-27,sh.600369,3.86707454,3.90633418,3.83762981,3.84744472,42105252
2023-07-28,sh.600369,3.84744472,4.23022621,3.8278149,4.23022621,211182589
2023-07-31,sh.600369,4.32837531,4.65226734,4.3185604,4.65226734,418473007
2023-08-01,sh.600369,4.63263752,5.11356811,4.63263752,4.79949099,764018593
2023-08-02,sh.600369,4.77004626,4.84856554,4.57374806,4.63263752,544378891
2023-08-03,sh.600369,4.8093059,4.92708482,4.57374806,4.77986117,473298490
2023-08-04,sh.600369,4.91726991,5.05467865,4.68171207,4.78967608,589315716
2023-08-07,sh.600369,4.64245243,5.05467865,4.63263752,5.05467865,466765172
2023-08-08,sh.600369,4.88782518,4.88782518,4.63263752,4.69152698,345782343
2023-08-09,sh.600369,4.7111568,4.76023135,4.57374806,4.6130077,201426907
2023-08-10,sh.600369,4.5932514,4.7414208,4.53398364,4.72166488,219127277
2023-08-11,sh.600369,4.6426412,4.65251916,4.48459384,4.50434976,206682302
2023-08-14,sh.600369,4.40557016,4.50434976,4.37593628,4.42532608,149762115
2023-08-15,sh.600369,4.38581424,4.46483792,4.37593628,4.445082,111014361
2023-08-16,sh.600369,4.41544812,4.68215304,4.32654648,4.55373956,204202553
2023-08-17,sh.600369,4.55373956,4.66239712,4.4944718,4.61300732,178007090
2023-08-18,sh.600369,4.60312936,4.67227508,4.47471588,4.47471588,102116105
2023-08-21,sh.600369,4.50434976,4.52410568,4.3463024,4.35618036,118005988
2023-08-22,sh.600369,4.38581424,4.445082,4.31666852,4.40557016,107672422
2023-08-23,sh.600369,4.3956922,4.40557016,4.26727872,4.27715668,84953695
2023-08-24,sh.600369,4.31666852,4.38581424,4.26727872,4.2969126,74013688
2023-08-25,sh.600369,4.26727872,4.36605832,4.2475228,4.2969126,63649085
2023-08-28,sh.600369,4.73154284,4.73154284,4.37593628,4.3956922,244880989
2023-08-29,sh.600369,4.35618036,4.43520404,4.25740076,4.37593628,152325942
2023-08-30,sh.600369,4.32654648,4.33642444,4.21788892,4.21788892,104544722
2023-08-31,sh.600369,4.20801096,4.2475228,4.1487432,4.16849912,79268175
2023-09-01,sh.600369,4.17837708,4.198133,4.0993534,4.10923136,60928309
2023-09-04,sh.600369,4.11910932,4.20801096,4.11910932,4.16849912,56246846
2023-09-05,sh.600369,4.15862116,4.15862116,4.0993534,4.11910932,53127896
2023-09-06,sh.600369,4.10923136,4.1487432,4.08947544,4.13886524,39574042
2023-09-07,sh.600369,4.13886524,4.17837708,4.10923136,4.13886524,51473801
2023-09-08,sh.600369,4.11910932,4.18825504,4.08947544,4.15862116,44625861
2023-09-11,sh.600369,4.16849912,4.2475228,4.11910932,4.20801096,64993369
2023-09-12,sh.600369,4.198133,4.20801096,4.1487432,4.1487432,33786151
2023-09-13,sh.600369,4.1487432,4.16849912,4.10923136,4.12898728,36101592
2023-09-14,sh.600369,4.13886524,4.18825504,4.10923136,4.15862116,40317338
2023-09-15,sh.600369,4.16849912,4.20801096,4.13886524,4.15862116,40102285
2023-09-18,sh.600369,4.11910932,4.15862116,4.0993534,4.1487432,31015875
2023-09-19,sh.600369,4.13886524,4.18825504,4.11910932,4.16849912,36533977
2023-09-20,sh.600369,4.13886524,4.15862116,4.11910932,4.12898728,29083032
2023-09-21,sh.600369,4.11910932,4.17837708,4.0993534,4.11910932,46588406
2023-09-22,sh.600369,4.11910932,4.22776688,4.10923136,4.22776688,65362027
