date,stock_code,open,high,low,close,volume
2023-07-03,sh.600906,7.0356168,7.1333337,7.01607342,7.09424694,9994088
2023-07-04,sh.600906,7.09424694,7.28968074,7.07470356,7.18219215,16469067
2023-07-05,sh.600906,7.1333337,7.19196384,7.10401863,7.1333337,8186358
2023-07-06,sh.600906,7.09424694,7.16264877,7.09424694,7.12356201,6409300
2023-07-07,sh.600906,7.11379032,7.21150722,7.09424694,7.15287708,8867900
2023-07-10,sh.600906,7.19196384,7.22127891,7.11379032,7.14310539,6090700
2023-07-11,sh.600906,7.16264877,7.19196384,7.12356201,7.17242046,5361800
2023-07-12,sh.600906,7.20173553,7.21150722,7.06493187,7.07470356,6416448
2023-07-13,sh.600906,7.1333337,7.21150722,7.11379032,7.17242046,9208652
2023-07-14,sh.600906,7.18219215,7.21150722,7.15287708,7.19196384,9817281
2023-07-17,sh.600906,7.17242046,7.20173553,7.11379032,7.19196384,6676000
2023-07-18,sh.600906,7.19196384,7.21150722,7.1333337,7.15287708,9197019
2023-07-19,sh.600906,7.14310539,7.18219215,7.12356201,7.17242046,6670500
2023-07-20,sh.600906,7.19196384,7.20173553,7.10401863,7.11379032,8122300
2023-07-21,sh.600906,7.11379032,7.19196384,7.09424694,7.15287708,7227073
2023-07-24,sh.600906,7.1333337,7.20173553,7.11379032,7.18219215,6925654
2023-07-25,sh.600906,7.40694102,7.5242013,7.28968074,7.43625609,44146664
2023-07-26,sh.600906,7.38739764,7.44602778,7.30922412,7.38739764,24675717
2023-07-27,sh.600906,7.36785426,7.39716933,7.27990905,7.29945243,18964573
2023-07-28,sh.600906,7.27013736,7.9150689,7.27013736,7.79780862,82712533
2023-07-31,sh.600906,7.85643876,8.0127858,7.78803693,7.86621045,84776842
2023-08-01,sh.600906,7.77826524,8.65771734,7.73917848,8.65771734,219502286
2023-08-02,sh.600906,8.9899548,9.52739775,8.96063973,9.52739775,273959311
2023-08-03,sh.600906,10.48502337,10.48502337,9.15607353,9.60557127,462928112
2023-08-04,sh.600906,9.79123338,10.5534252,9.42968085,9.75214662,461682560
2023-08-07,sh.600906,9.42968085,9.6739731,9.32219226,9.56648451,220665045
2023-08-08,sh.600906,9.36127902,9.36127902,8.91178128,9.11698677,185993006
2023-08-09,sh.600906,9.12675846,9.20493198,8.90200959,8.95086804,105602807
2023-08-10,sh.600906,8.95086804,9.27333381,8.82383607,9.1853886,158474095
2023-08-11,sh.600906,8.97908116,8.97908116,8.66471508,8.70401084,122665832
2023-08-14,sh.600906,8.57629962,8.91031358,8.53700386,8.70401084,105405925
2023-08-15,sh.600906,8.66471508,8.82189812,8.61559538,8.81207418,84357542
2023-08-16,sh.600906,8.6450672,9.2836233,8.47806022,9.01837692,188419286
2023-08-17,sh.600906,8.841546,9.2345036,8.73348266,9.1362642,187471137
2023-08-18,sh.600906,9.05767268,9.21485572,8.71383478,8.72365872,111997483
2023-08-21,sh.600906,8.6941869,8.86119388,8.350349,8.40929264,93535300
2023-08-22,sh.600906,8.52717992,8.68436296,8.36017294,8.5468278,101066952
2023-08-23,sh.600906,8.52717992,8.52717992,8.21281384,8.22263778,75915177
2023-08-24,sh.600906,8.33070112,8.45841234,8.23246172,8.29140536,63954463
2023-08-25,sh.600906,8.21281384,8.53700386,8.18334202,8.41911658,83969207
2023-08-28,sh.600906,9.26397542,9.26397542,8.58612356,8.65489114,189317006
2023-08-29,sh.600906,8.63524326,8.75313054,8.33070112,8.62541932,123913291
2023-08-30,sh.600906,8.56647568,8.56647568,8.3012293,8.34052506,80417147
2023-08-31,sh.600906,8.350349,8.40929264,8.12439838,8.14404626,63573455
2023-09-01,sh.600906,8.21281384,8.24228566,7.99668716,8.02615898,46347944
2023-09-04,sh.600906,8.0556308,8.1047505,7.94756746,8.04580686,47198912
2023-09-05,sh.600906,7.99668716,8.0065111,7.91809564,7.9573914,40765886
2023-09-06,sh.600906,7.9573914,8.09492656,7.92791958,8.04580686,62360407
2023-09-07,sh.600906,8.0065111,8.16369414,7.96721534,8.06545474,71359957
2023-09-08,sh.600906,7.99668716,8.09492656,7.93774352,8.0556308,45717101
2023-09-11,sh.600906,8.04580686,8.14404626,7.88862382,8.08510262,59615146
2023-09-12,sh.600906,8.01633504,8.04580686,7.94756746,7.96721534,35160745
2023-09-13,sh.600906,7.97703928,7.98686322,7.859152,7.9082717,31882589
2023-09-14,sh.600906,7.92791958,7.97703928,7.87879988,7.89844776,28613046
2023-09-15,sh.600906,7.92791958,8.0065111,7.87879988,7.91809564,35676492
2023-09-18,sh.600906,7.859152,7.97703928,7.77073654,7.93774352,26653884
2023-09-19,sh.600906,7.94756746,7.97703928,7.87879988,7.89844776,23206272
2023-09-20,sh.600906,7.87879988,7.93774352,7.84932806,7.84932806,21128683
2023-09-21,sh.600906,7.859152,7.93774352,7.83950412,7.859152,23154400
2023-09-22,sh.600906,7.859152,8.0556308,7.84932806,8.04580686,53848922
2023-09-25,sh.600906,7.99668716,7.99668716,7.80020836,7.81985624,42986020
2023-09-26,sh.600906,7.79038442,7.9082717,7.79038442,7.86897594,24891150
2023-09-27,sh.600906,7.81985624,7.89844776,7.81985624,7.84932806,19713979
2023-09-28,sh.600906,7.83950412,7.89844776,7.8100323,7.84932806,20545579
2023-10-09,sh.600906,7.80020836,7.80020836,7.59390562,7.70196896,31333235
2023-10-10,sh.600906,7.75108866,7.77073654,7.6135535,7.6135535,22824641
2023-10-11,sh.600906,7.63320138,7.67249714,7.5644338,7.58408168,24056070
2023-10-12,sh.600906,7.69214502,7.72161684,7.57425774,7.6135535,26521526
2023-10-13,sh.600906,7.5644338,7.59390562,7.47601834,7.52513804,21992891
2023-10-16,sh.600906,7.54478592,7.59390562,7.47601834,7.52513804,19350970
2023-10-17,sh.600906,7.53496198,7.74126472,7.5153141,7.6626732,39425223
2023-10-18,sh.600906,7.60372956,7.72161684,7.59390562,7.65284926,27041606
2023-10-19,sh.600906,7.60372956,7.82968018,7.59390562,7.67249714,42448490
2023-10-20,sh.600906,7.65284926,7.82968018,7.6135535,7.8100323,66304625
2023-10-23,sh.600906,7.80020836,7.80020836,7.35813106,7.42689864,64916453
2023-10-24,sh.600906,7.42689864,7.80020836,7.42689864,7.78056048,69748185
2023-10-25,sh.600906,7.86897594,7.94756746,7.7117929,7.77073654,69200269
