date,stock_code,open,high,low,close,volume
2023-07-03,sh.601108,7.04945768,7.17603634,7.03972086,7.1565627,24720285
2023-07-04,sh.601108,7.1565627,7.18577316,7.12735224,7.1565627,16185510
2023-07-05,sh.601108,7.14682588,7.1565627,7.09814178,7.11761542,10943981
2023-07-06,sh.601108,7.08840496,7.14682588,7.06893132,7.09814178,13941350
2023-07-07,sh.601108,7.07866814,7.2052468,7.06893132,7.17603634,24252641
2023-07-10,sh.601108,7.21498362,7.23445726,7.1565627,7.19550998,17393611
2023-07-11,sh.601108,7.26366772,7.34156228,7.24419408,7.29287818,37751304
2023-07-12,sh.601108,7.2539309,7.302615,7.18577316,7.2052468,24119566
2023-07-13,sh.601108,7.2539309,7.34156228,7.22472044,7.28314136,25474237
2023-07-14,sh.601108,7.28314136,7.302615,7.24419408,7.24419408,17636811
2023-07-17,sh.601108,7.24419408,7.26366772,7.19550998,7.23445726,13804177
2023-07-18,sh.601108,7.24419408,7.29287818,7.21498362,7.28314136,16898023
2023-07-19,sh.601108,7.26366772,7.32208864,7.2539309,7.31235182,17648312
2023-07-20,sh.601108,7.33182546,7.3512991,7.26366772,7.27340454,23596508
2023-07-21,sh.601108,7.2539309,7.32208864,7.24419408,7.29287818,15142220
2023-07-24,sh.601108,7.26366772,7.31235182,7.24419408,7.302615,12192541
2023-07-25,sh.601108,7.4486673,7.5947196,7.41945684,7.55577232,77367474
2023-07-26,sh.601108,7.52656186,7.5947196,7.4973514,7.55577232,43227618
2023-07-27,sh.601108,7.56550914,7.61419324,7.51682504,7.53629868,35378983
2023-07-28,sh.601108,7.51682504,8.0328765,7.51682504,8.01340286,148832540
2023-07-31,sh.601108,8.05235014,8.276297,8.05235014,8.12050788,170454498
2023-08-01,sh.601108,8.0328765,8.41261248,7.96471876,8.1789288,137263549
2023-08-02,sh.601108,8.21787608,8.80208528,8.1789288,8.50998068,216015390
2023-08-03,sh.601108,8.6170857,8.72419072,8.25682336,8.60734888,189758026
2023-08-04,sh.601108,8.763138,9.04550578,8.63655934,8.69498026,265833112
2023-08-07,sh.601108,8.69498026,8.763138,8.58787524,8.74366436,118042585
2023-08-08,sh.601108,8.65603298,8.73392754,8.39313884,8.62682252,112650030
2023-08-09,sh.601108,8.59761206,8.67550662,8.50998068,8.54892796,66969456
2023-08-10,sh.601108,8.62682252,8.67550662,8.52945432,8.6657698,72869488
2023-08-11,sh.601108,8.63655934,8.63655934,8.30550746,8.31524428,100015716
2023-08-14,sh.601108,8.1789288,8.30550746,8.11077106,8.20813926,76327358
2023-08-15,sh.601108,8.21787608,8.30550746,8.11077106,8.23734972,57381264
2023-08-16,sh.601108,8.15945516,8.74366436,8.11077106,8.5197175,165288630
2023-08-17,sh.601108,8.43208612,8.6170857,8.33471792,8.57813842,115243910
2023-08-18,sh.601108,8.5684016,8.63655934,8.35419156,8.36392838,63103705
2023-08-21,sh.601108,8.2276129,8.36392838,8.00366604,8.01340286,82264427
2023-08-22,sh.601108,8.05235014,8.20813926,8.05235014,8.14971834,78267253
2023-08-23,sh.601108,8.1302447,8.14971834,7.94524512,7.94524512,49471051
2023-08-24,sh.601108,7.9841924,8.12050788,7.91603466,8.02313968,43677423
2023-08-25,sh.601108,8.01340286,8.14971834,7.97445558,8.06208696,59149415
2023-08-28,sh.601108,8.87024302,8.87024302,8.14971834,8.21787608,155521239
2023-08-29,sh.601108,8.2276129,8.276297,7.92577148,8.13998152,107115254
2023-08-30,sh.601108,8.10103424,8.13998152,7.89656102,7.89656102,68923383
2023-08-31,sh.601108,7.92577148,7.9841924,7.76998236,7.79919282,53145220
2023-09-01,sh.601108,7.84787692,7.87708738,7.789456,7.82840328,41786861
2023-09-04,sh.601108,7.86735056,7.91603466,7.76998236,7.84787692,44603247
2023-09-05,sh.601108,7.8381401,7.8381401,7.68235098,7.71156144,47016638
2023-09-06,sh.601108,7.71156144,7.75050872,7.6434037,7.73103508,34814470
2023-09-07,sh.601108,7.71156144,7.76998236,7.62393006,7.6434037,37527777
2023-09-08,sh.601108,7.68235098,7.80892964,7.65314052,7.7407719,35556202
2023-09-11,sh.601108,7.75050872,7.9355083,7.6920878,7.8868242,55213730
2023-09-12,sh.601108,7.85761374,7.87708738,7.77971918,7.80892964,30507709
2023-09-13,sh.601108,7.8381401,7.8381401,7.66287734,7.70182462,28968060
2023-09-14,sh.601108,7.73103508,7.76024554,7.68235098,7.72129826,25457653
2023-09-15,sh.601108,7.76998236,7.789456,7.66287734,7.6920878,32795736
2023-09-18,sh.601108,7.68235098,7.70182462,7.62393006,7.6920878,27188155
2023-09-19,sh.601108,7.70182462,7.75050872,7.66287734,7.70182462,27563400
2023-09-20,sh.601108,7.67261416,7.75050872,7.67261416,7.70182462,24128323
2023-09-21,sh.601108,7.67261416,7.789456,7.65314052,7.66287734,27388887
2023-09-22,sh.601108,7.6434037,7.8868242,7.6434037,7.87708738,43636339
2023-09-25,sh.601108,7.8381401,7.8381401,7.67261416,7.71156144,42473579
2023-09-26,sh.601108,7.70182462,7.79919282,7.68235098,7.789456,33958071
2023-09-27,sh.601108,7.789456,7.81866646,7.6920878,7.72129826,37587476
2023-09-28,sh.601108,7.7407719,7.76998236,7.63366688,7.67261416,29640250
2023-10-09,sh.601108,7.6434037,7.65314052,7.4973514,7.61419324,30162846
2023-10-10,sh.601108,7.63366688,7.71156144,7.5947196,7.61419324,24463236
2023-10-11,sh.601108,7.62393006,7.789456,7.60445642,7.6434037,38916637
2023-10-12,sh.601108,7.76024554,7.79919282,7.6920878,7.789456,36721921
2023-10-13,sh.601108,7.7407719,7.80892964,7.68235098,7.789456,30661048
2023-10-16,sh.601108,7.77971918,7.82840328,7.65314052,7.73103508,38630745
2023-10-17,sh.601108,7.76998236,7.92577148,7.72129826,7.85761374,47898340
2023-10-18,sh.601108,7.81866646,7.91603466,7.789456,7.87708738,46714938
2023-10-19,sh.601108,7.82840328,7.95498194,7.76024554,7.76998236,47686732
2023-10-20,sh.601108,7.7405859,7.84836621,7.70139306,7.77977874,33932929
2023-10-23,sh.601108,7.7405859,7.76998053,7.48583244,7.51522707,36001086
2023-10-24,sh.601108,7.57401633,7.79937516,7.55441991,7.76018232,46635627
2023-10-25,sh.601108,7.81897158,7.89735726,7.77977874,7.79937516,37711431
2023-10-26,sh.601108,7.75038411,7.78957695,7.66220022,7.76018232,28685494
2023-10-27,sh.601108,7.7405859,7.97574294,7.72098948,7.90715547,55464914
2023-10-30,sh.601108,7.838568,7.85816442,7.68179664,7.76998053,61643623
2023-10-31,sh.601108,7.76018232,7.838568,7.73078769,7.77977874,32145640
2023-11-01,sh.601108,7.87776084,7.88755905,7.7405859,7.75038411,31413133
2023-11-02,sh.601108,7.76018232,7.78957695,7.62300738,7.63280559,28012100
2023-11-03,sh.601108,7.66220022,7.80917337,7.6426038,7.75038411,34085231
2023-11-06,sh.601108,7.97574294,8.17170714,7.9365501,8.14231251,93115090
2023-11-07,sh.601108,8.10311967,8.21089998,8.07372504,8.14231251,50349733
2023-11-08,sh.601108,8.11291788,8.16190893,7.96594473,8.02473399,45335903
2023-11-09,sh.601108,8.02473399,8.07372504,7.94634831,7.99533936,35262564
2023-11-10,sh.601108,7.97574294,8.02473399,7.91695368,7.95614652,37218319
2023-11-13,sh.601108,7.96594473,7.97574294,7.86796263,7.91695368,33134047
2023-11-14,sh.601108,7.91695368,8.1325143,7.90715547,8.0345322,53836411
2023-11-15,sh.601108,8.14231251,8.36767134,8.09332146,8.10311967,79825764
2023-11-16,sh.601108,8.04433041,8.17170714,8.02473399,8.04433041,40278803
2023-11-17,sh.601108,8.02473399,8.07372504,7.96594473,8.05412862,31383784
2023-11-20,sh.601108,8.08352325,8.09332146,7.94634831,8.01493578,38975377
2023-11-21,sh.601108,8.06392683,8.56363554,8.04433041,8.17170714,114647729
2023-11-22,sh.601108,8.12271609,8.21089998,8.02473399,8.02473399,61336096
2023-11-23,sh.601108,8.02473399,8.10311967,7.96594473,8.09332146,41375819
2023-11-24,sh.601108,8.07372504,8.09332146,8.01493578,8.04433041,34900306
2023-11-27,sh.601108,7.98554115,8.07372504,7.76998053,8.02473399,49645238
2023-11-28,sh.601108,7.99533936,8.07372504,7.94634831,7.96594473,26754116
2023-11-29,sh.601108,7.97574294,7.98554115,7.87776084,7.88755905,24981360
2023-11-30,sh.601108,7.89735726,8.00513757,7.88755905,7.89735726,27840626
2023-12-01,sh.601108,7.90715547,7.95614652,7.87776084,7.94634831,23158401
2023-12-04,sh.601108,7.95614652,8.01493578,7.92675189,7.9365501,24196647
2023-12-05,sh.601108,7.89735726,7.94634831,7.80917337,7.838568,24187820
2023-12-06,sh.601108,7.838568,7.87776084,7.79937516,7.80917337,21349212
2023-12-07,sh.601108,7.78957695,7.87776084,7.77977874,7.85816442,21860888
2023-12-08,sh.601108,7.82876979,7.90715547,7.77977874,7.78957695,23739664
2023-12-11,sh.601108,7.94634831,8.17170714,7.67199843,8.11291788,86218755
2023-12-12,sh.601108,8.02473399,8.17170714,8.00513757,8.09332146,50101251
2023-12-13,sh.601108,8.09332146,8.11291788,8.02473399,8.02473399,25459529
2023-12-14,sh.601108,8.07372504,8.10311967,8.02473399,8.0345322,24163447
2023-12-15,sh.601108,8.04433041,8.14231251,7.99533936,8.01493578,36118085
2023-12-18,sh.601108,8.04433041,8.10311967,7.96594473,8.00513757,27971621
2023-12-19,sh.601108,7.95614652,8.00513757,7.84836621,7.94634831,27519115
2023-12-20,sh.601108,7.89735726,7.91695368,7.76998053,7.79937516,35531310
2023-12-21,sh.601108,7.75038411,7.77977874,7.5446217,7.58381454,43435619
2023-12-22,sh.601108,7.59361275,7.60341096,7.39764855,7.46623602,44830537
2023-12-25,sh.601108,7.4466396,7.50542886,7.36825392,7.39764855,27646716
2023-12-26,sh.601108,7.38785034,7.47603423,7.33885929,7.35845571,23451895
2023-12-27,sh.601108,7.36825392,7.49563065,7.33885929,7.45643781,28258884
2023-12-28,sh.601108,7.43684139,7.63280559,7.42704318,7.59361275,34030442
2023-12-29,sh.601108,7.58381454,7.6426038,7.56421812,7.60341096,24767702
2024-01-02,sh.601108,7.59361275,7.62300738,7.5446217,7.5446217,19790376
2024-01-03,sh.601108,7.53482349,7.72098948,7.52502528,7.69159485,33966604
2024-01-04,sh.601108,7.66220022,7.67199843,7.50542886,7.5446217,29174906
2024-01-05,sh.601108,7.5446217,7.59361275,7.45643781,7.49563065,23836541
2024-01-08,sh.601108,7.47603423,7.47603423,7.29966645,7.30946466,31989907
2024-01-09,sh.601108,7.30946466,7.36825392,7.20168435,7.2506754,20045849
2024-01-10,sh.601108,7.26047361,7.28007003,7.11350046,7.12329867,25088521
2024-01-11,sh.601108,7.13309688,7.29966645,7.11350046,7.26047361,24686226
2024-01-12,sh.601108,7.23107898,7.45643781,7.23107898,7.28986824,33365093
2024-01-15,sh.601108,7.26047361,7.33885929,7.19188614,7.23107898,17970053
2024-01-16,sh.601108,7.21148256,7.31926287,7.19188614,7.30946466,23607866
2024-01-17,sh.601108,7.30946466,7.33885929,7.16249151,7.17228972,20829860
2024-01-18,sh.601108,7.1526933,7.23107898,6.94693089,7.17228972,45062630
2024-01-19,sh.601108,7.16249151,7.17228972,7.00572015,7.03511478,34737448
2024-01-22,sh.601108,7.03511478,7.08410583,6.73137027,6.7607649,37182266
2024-01-23,sh.601108,6.7607649,6.99592194,6.70197564,6.93713268,34814650
2024-01-24,sh.601108,6.94693089,7.28986824,6.86854521,7.23107898,55820755
2024-01-25,sh.601108,7.31926287,7.61320917,7.26047361,7.50542886,99939607
2024-01-26,sh.601108,7.43684139,7.59361275,7.38785034,7.53482349,54327700
2024-01-29,sh.601108,7.52502528,7.63280559,7.45643781,7.46623602,45498843
2024-01-30,sh.601108,7.42704318,7.5446217,7.32906108,7.3486575,34448921
2024-01-31,sh.601108,7.32906108,7.45643781,7.24087719,7.28007003,42338748
2024-02-01,sh.601108,7.22128077,7.36825392,7.09390404,7.17228972,38784824
2024-02-02,sh.601108,7.22128077,7.24087719,6.74116848,6.93713268,57922338
2024-02-05,sh.601108,6.88814163,6.93713268,6.53540607,6.71177385,63137496
2024-02-06,sh.601108,6.6627828,7.27027182,6.58439712,7.24087719,60864334
2024-02-07,sh.601108,7.22128077,7.56421812,7.17228972,7.56421812,82175835
2024-02-08,sh.601108,7.61320917,7.87776084,7.56421812,7.73078769,81150616
