date,stock_code,open,high,low,close,volume
2023-07-03,sh.601997,4.6626018,4.74392625,4.6626018,4.72585415,20136017
2023-07-04,sh.601997,4.7168181,4.7168181,4.67163785,4.68970995,13219378
2023-07-05,sh.601997,4.68970995,4.70778205,4.67163785,4.68970995,8579182
2023-07-06,sh.601997,4.68970995,4.698746,4.6626018,4.67163785,8790660
2023-07-07,sh.601997,4.67163785,4.7168181,4.6626018,4.68970995,11300507
2023-07-10,sh.601997,4.698746,4.70778205,4.67163785,4.68970995,9812780
2023-07-11,sh.601997,4.698746,4.72585415,4.6806739,4.7168181,10765017
2023-07-12,sh.601997,4.7168181,4.74392625,4.68970995,4.68970995,11921940
2023-07-13,sh.601997,4.70778205,4.76199835,4.698746,4.7529623,13784378
2023-07-14,sh.601997,4.7529623,4.76199835,4.72585415,4.74392625,7883965
2023-07-17,sh.601997,4.7529623,4.7529623,4.7168181,4.74392625,8593545
2023-07-18,sh.601997,4.74392625,4.7529623,4.70778205,4.7348902,10089900
2023-07-19,sh.601997,4.7348902,4.78007045,4.72585415,4.78007045,13922081
2023-07-20,sh.601997,4.78007045,4.7891065,4.7529623,4.7710344,13362606
2023-07-21,sh.601997,4.7710344,4.7891065,4.7529623,4.7710344,13059859
2023-07-24,sh.601997,4.7710344,4.79814255,4.7529623,4.7891065,11971899
2023-07-25,sh.601997,4.83428675,4.8613949,4.8071786,4.85235885,26539744
2023-07-26,sh.601997,4.8433228,4.8613949,4.83428675,4.8613949,15235329
2023-07-27,sh.601997,4.8613949,4.92464725,4.8613949,4.88850305,18345201
2023-07-28,sh.601997,4.879467,5.0421159,4.87043095,5.03307985,47116564
2023-07-31,sh.601997,5.060188,5.15958455,5.05115195,5.1324764,57383294
2023-08-01,sh.601997,5.14151245,5.240909,5.1144043,5.1866927,55683127
2023-08-02,sh.601997,5.15958455,5.21380085,5.0963322,5.1144043,38643629
2023-08-03,sh.601997,5.12344035,5.2047648,5.08729615,5.17765665,29554498
2023-08-04,sh.601997,5.19572875,5.26801715,5.17765665,5.19572875,45979405
2023-08-07,sh.601997,5.1686206,5.1866927,5.1324764,5.1505485,30149041
2023-08-08,sh.601997,5.1866927,5.1866927,5.12344035,5.15958455,17484281
2023-08-09,sh.601997,5.1324764,5.1866927,5.12344035,5.17765665,18869495
2023-08-10,sh.601997,5.1686206,5.19572875,5.12344035,5.1686206,15500358
2023-08-11,sh.601997,5.15958455,5.15958455,5.05115195,5.06922405,27190998
2023-08-14,sh.601997,5.0421159,5.06922405,5.0059717,5.03307985,21626487
2023-08-15,sh.601997,5.060188,5.1144043,5.0421159,5.0963322,19522377
2023-08-16,sh.601997,5.0782601,5.26801715,5.05115195,5.23187295,48376672
2023-08-17,sh.601997,5.2047648,5.21380085,5.0782601,5.1144043,37312681
2023-08-18,sh.601997,5.12344035,5.26801715,5.10536825,5.2228369,51620647
2023-08-21,sh.601997,5.24994505,5.28608925,5.15958455,5.17765665,42303996
2023-08-22,sh.601997,5.19572875,5.21380085,5.10536825,5.1505485,32501218
2023-08-23,sh.601997,5.1324764,5.1866927,5.10536825,5.1144043,24012020
2023-08-24,sh.601997,5.10536825,5.1324764,5.0421159,5.060188,21260821
2023-08-25,sh.601997,5.05115195,5.17765665,5.0421159,5.12344035,26991530
2023-08-28,sh.601997,5.37644975,5.39452185,5.08729615,5.0963322,67360570
2023-08-29,sh.601997,5.0782601,5.1144043,4.9517554,4.96079145,65677131
2023-08-30,sh.601997,4.9517554,4.9698275,4.85235885,4.85235885,42469351
2023-08-31,sh.601997,4.85235885,4.9156112,4.8252507,4.8433228,25940693
2023-09-01,sh.601997,4.85235885,4.92464725,4.8433228,4.9156112,23758198
2023-09-04,sh.601997,4.92464725,5.15958455,4.9156112,5.08729615,68818115
2023-09-05,sh.601997,5.06922405,5.0963322,4.96079145,4.9698275,37240791
2023-09-06,sh.601997,4.9698275,4.9878996,4.94271935,4.9698275,16838688
2023-09-07,sh.601997,4.9698275,5.0240438,4.94271935,4.96079145,21783134
2023-09-08,sh.601997,4.9517554,4.96079145,4.92464725,4.9336833,13375599
2023-09-11,sh.601997,4.9336833,5.0059717,4.9336833,4.9698275,24731735
2023-09-12,sh.601997,4.9698275,4.9878996,4.9336833,4.9336833,14542543
2023-09-13,sh.601997,4.9517554,4.96079145,4.92464725,4.9336833,16837136
2023-09-14,sh.601997,4.9517554,5.01500775,4.9336833,5.0059717,30154218
2023-09-15,sh.601997,5.0421159,5.060188,4.97886355,4.99693565,21708578
2023-09-18,sh.601997,5.0059717,5.01500775,4.94271935,5.0059717,24702116
2023-09-19,sh.601997,4.9878996,5.060188,4.9878996,5.0421159,23561387
2023-09-20,sh.601997,5.0421159,5.10536825,5.0240438,5.08729615,24714488
2023-09-21,sh.601997,5.08729615,5.0963322,5.03307985,5.05115195,18925193
2023-09-22,sh.601997,5.05115195,5.06922405,5.0059717,5.060188,20121709
2023-09-25,sh.601997,5.06922405,5.10536825,5.0421159,5.0782601,22264167
