date,stock_code,open,high,low,close,volume
2023-07-03,sz.000987,6.00922692,6.1415055,5.98088151,6.08481468,15571125
2023-07-04,sz.000987,6.08481468,6.13205703,6.03757233,6.07536621,10623977
2023-07-05,sz.000987,6.08481468,6.11316009,6.05646927,6.08481468,9089923
2023-07-06,sz.000987,6.07536621,6.10371162,6.01867539,6.03757233,8887569
2023-07-07,sz.000987,6.02812386,6.1415055,6.00922692,6.09426315,10385234
2023-07-10,sz.000987,6.13205703,6.1415055,6.05646927,6.09426315,7908780
2023-07-11,sz.000987,6.11316009,6.12260856,6.07536621,6.10371162,7072984
2023-07-12,sz.000987,6.12260856,6.16040244,6.05646927,6.07536621,10457320
2023-07-13,sz.000987,6.10371162,6.19819632,6.08481468,6.16985091,11003911
2023-07-14,sz.000987,6.16985091,6.19819632,6.12260856,6.15095397,8749562
2023-07-17,sz.000987,6.11316009,6.1415055,6.05646927,6.09426315,8896877
2023-07-18,sz.000987,6.09426315,6.15095397,6.08481468,6.10371162,7736169
2023-07-19,sz.000987,6.08481468,6.16040244,6.08481468,6.1415055,7360038
2023-07-20,sz.000987,6.1415055,6.16985091,6.07536621,6.07536621,9272589
2023-07-21,sz.000987,6.08481468,6.16985091,6.06591774,6.12260856,10399319
2023-07-24,sz.000987,6.09426315,6.13205703,6.07536621,6.08481468,5954615
2023-07-25,sz.000987,6.24543867,6.45330501,6.2359902,6.41551113,37747199
2023-07-26,sz.000987,6.44385654,6.45330501,6.3304749,6.40606266,20713693
2023-07-27,sz.000987,6.40606266,6.43440807,6.33992337,6.35882031,14735994
2023-07-28,sz.000987,6.3304749,6.79344993,6.32102643,6.75565605,67527688
2023-07-31,sz.000987,6.88793463,7.20918261,6.86903769,7.03911015,99659535
2023-08-01,sz.000987,6.94462545,7.30366731,6.92572851,7.07690403,77931047
2023-08-02,sz.000987,7.04855862,7.19973414,7.02966168,7.05800709,47749182
2023-08-03,sz.000987,7.10524944,7.2753219,6.9918678,7.22807955,57623190
2023-08-04,sz.000987,7.3698066,7.63436376,7.30366731,7.3698066,94877885
2023-08-07,sz.000987,7.16194026,7.34146119,7.13359485,7.28477037,52037023
2023-08-08,sz.000987,7.25642496,7.39815201,7.06745556,7.31311578,42541801
2023-08-09,sz.000987,7.32256425,7.34146119,7.0863525,7.14304332,41432887
2023-08-10,sz.000987,7.17138873,7.22807955,7.10524944,7.21863108,29367870
2023-08-11,sz.000987,7.19973414,7.22807955,6.96352239,7.00131627,38071684
2023-08-14,sz.000987,6.97297086,6.9918678,6.83124381,6.86903769,32232265
2023-08-15,sz.000987,6.8973831,6.98241933,6.84069228,6.93517698,26072039
2023-08-16,sz.000987,6.88793463,7.09580097,6.81234687,6.98241933,26907445
2023-08-17,sz.000987,6.90683157,7.02021321,6.85958922,6.96352239,23820674
2023-08-18,sz.000987,6.98241933,7.09580097,6.79344993,6.8028984,24049553
2023-08-21,sz.000987,6.77455299,6.86903769,6.50054736,6.62337747,31533512
2023-08-22,sz.000987,6.72731064,6.74620758,6.60448053,6.7084137,22428238
2023-08-23,sz.000987,6.71786217,6.71786217,6.5194443,6.53834124,18185729
