date,stock_code,open,high,low,close,volume
2023-07-03,sh.601880,1.52559098,1.53530812,1.51587384,1.52559098,42205609
2023-07-04,sh.601880,1.52559098,1.53530812,1.51587384,1.52559098,42854413
2023-07-05,sh.601880,1.53543312,1.53543312,1.5255906,1.5255906,29293171
2023-07-06,sh.601880,1.5255906,1.53543312,1.5255906,1.5255906,26795733
2023-07-07,sh.601880,1.5255906,1.53543312,1.5255906,1.5255906,25135977
2023-07-10,sh.601880,1.5255906,1.53543312,1.5255906,1.5255906,21631281
2023-07-11,sh.601880,1.5255906,1.53543312,1.5255906,1.53543312,12655223
2023-07-12,sh.601880,1.53543312,1.53543312,1.51574808,1.5255906,27040792
2023-07-13,sh.601880,1.5255906,1.53543312,1.51574808,1.5255906,23543325
2023-07-14,sh.601880,1.53543312,1.53543312,1.5255906,1.5255906,17811801
2023-07-17,sh.601880,1.5255906,1.53543312,1.51574808,1.5255906,28972569
2023-07-18,sh.601880,1.5255906,1.53543312,1.51574808,1.5255906,26545944
2023-07-19,sh.601880,1.5255906,1.53543312,1.51574808,1.53543312,25199055
2023-07-20,sh.601880,1.5255906,1.54527564,1.5255906,1.54527564,79785466
2023-07-21,sh.601880,1.53543312,1.5748032,1.5255906,1.56496068,135828051
2023-07-24,sh.601880,1.56496068,1.60433076,1.56496068,1.58464572,159334354
2023-07-25,sh.601880,1.58464572,1.59448824,1.5748032,1.58464572,67714668
2023-07-26,sh.601880,1.58464572,1.61417328,1.5748032,1.61417328,117087500
2023-07-27,sh.601880,1.60433076,1.61417328,1.58464572,1.59448824,81043903
2023-07-28,sh.601880,1.59448824,1.6240158,1.58464572,1.61417328,106176657
2023-07-31,sh.601880,1.61417328,1.6240158,1.60433076,1.6240158,101493768
2023-08-01,sh.601880,1.6240158,1.65354336,1.61417328,1.64370084,170466607
2023-08-02,sh.601880,1.64370084,1.64370084,1.60433076,1.61417328,109366131
2023-08-03,sh.601880,1.61417328,1.63385832,1.59448824,1.6240158,94709029
2023-08-04,sh.601880,1.6240158,1.64370084,1.60433076,1.61417328,80083636
2023-08-07,sh.601880,1.61417328,1.61417328,1.59448824,1.60433076,58315887
2023-08-08,sh.601880,1.60433076,1.60433076,1.59448824,1.60433076,33409378
2023-08-09,sh.601880,1.59448824,1.60433076,1.58464572,1.59448824,40577086
2023-08-10,sh.601880,1.59448824,1.61417328,1.58464572,1.60433076,60999085
2023-08-11,sh.601880,1.60433076,1.60433076,1.5748032,1.5748032,67542351
2023-08-14,sh.601880,1.5748032,1.58464572,1.56496068,1.5748032,37065397
2023-08-15,sh.601880,1.58464572,1.59448824,1.5748032,1.58464572,57828802
2023-08-16,sh.601880,1.5748032,1.59448824,1.5748032,1.58464572,35953853
2023-08-17,sh.601880,1.58464572,1.59448824,1.5748032,1.58464572,33907395
2023-08-18,sh.601880,1.58464572,1.61417328,1.5748032,1.59448824,80963933
2023-08-21,sh.601880,1.59448824,1.61417328,1.5748032,1.5748032,70698468
2023-08-22,sh.601880,1.5748032,1.58464572,1.56496068,1.5748032,73403343
2023-08-23,sh.601880,1.5748032,1.58464572,1.55511816,1.56496068,49866071
2023-08-24,sh.601880,1.55511816,1.56496068,1.53543312,1.54527564,60561117
2023-08-25,sh.601880,1.53543312,1.56496068,1.53543312,1.54527564,60198191
2023-08-28,sh.601880,1.59448824,1.60433076,1.55511816,1.55511816,74107938
2023-08-29,sh.601880,1.55511816,1.5748032,1.55511816,1.5748032,56129359
2023-08-30,sh.601880,1.5748032,1.5748032,1.54527564,1.55511816,55134539
2023-08-31,sh.601880,1.55511816,1.56496068,1.54527564,1.55511816,38480150
2023-09-01,sh.601880,1.55511816,1.5748032,1.54527564,1.56496068,44014975
2023-09-04,sh.601880,1.56496068,1.58464572,1.55511816,1.5748032,75343996
2023-09-05,sh.601880,1.5748032,1.5748032,1.55511816,1.56496068,43759449
2023-09-06,sh.601880,1.55511816,1.56496068,1.54527564,1.55511816,42203226
2023-09-07,sh.601880,1.56496068,1.56496068,1.54527564,1.54527564,39116790
2023-09-08,sh.601880,1.54527564,1.55511816,1.54527564,1.54527564,21547040
2023-09-11,sh.601880,1.55511816,1.56496068,1.54527564,1.55511816,43935071
2023-09-12,sh.601880,1.55511816,1.56496068,1.54527564,1.55511816,41676754
2023-09-13,sh.601880,1.56496068,1.56496068,1.54527564,1.55511816,24588378
2023-09-14,sh.601880,1.54527564,1.56496068,1.54527564,1.56496068,47350506
2023-09-15,sh.601880,1.56496068,1.56496068,1.54527564,1.55511816,43987089
2023-09-18,sh.601880,1.56496068,1.56496068,1.54527564,1.56496068,37315801
2023-09-19,sh.601880,1.55511816,1.5748032,1.55511816,1.5748032,76600223
2023-09-20,sh.601880,1.5748032,1.5748032,1.55511816,1.56496068,38245385
2023-09-21,sh.601880,1.55511816,1.56496068,1.54527564,1.54527564,69478634
2023-09-22,sh.601880,1.54527564,1.55511816,1.53543312,1.54527564,63254402
2023-09-25,sh.601880,1.54527564,1.55511816,1.53543312,1.53543312,51714731
2023-09-26,sh.601880,1.54527564,1.55511816,1.53543312,1.54527564,42145243
2023-09-27,sh.601880,1.55511816,1.55511816,1.54527564,1.54527564,28644774
2023-09-28,sh.601880,1.54527564,1.55511816,1.53543312,1.54527564,38223037
2023-10-09,sh.601880,1.54527564,1.55511816,1.53543312,1.53543312,35495127
2023-10-10,sh.601880,1.53543312,1.54527564,1.5255906,1.5255906,52830200
2023-10-11,sh.601880,1.53543312,1.53543312,1.5255906,1.5255906,37285808
2023-10-12,sh.601880,1.53543312,1.54527564,1.5255906,1.53543312,32991809
2023-10-13,sh.601880,1.53543312,1.54527564,1.5255906,1.5255906,44929199
2023-10-16,sh.601880,1.53543312,1.53543312,1.5255906,1.53543312,29486455
2023-10-17,sh.601880,1.5255906,1.54527564,1.5255906,1.53543312,34845244
2023-10-18,sh.601880,1.53543312,1.53543312,1.5255906,1.53543312,28510933
2023-10-19,sh.601880,1.5255906,1.53543312,1.49606304,1.50590556,80848679
2023-10-20,sh.601880,1.50590556,1.51574808,1.49606304,1.49606304,48863279
2023-10-23,sh.601880,1.50590556,1.50590556,1.46653548,1.46653548,74086225
2023-10-24,sh.601880,1.46653548,1.476378,1.41732288,1.44685044,100119969
2023-10-25,sh.601880,1.45669296,1.476378,1.44685044,1.46653548,55916280
2023-10-26,sh.601880,1.45669296,1.46653548,1.44685044,1.45669296,35175664
2023-10-27,sh.601880,1.46653548,1.48622052,1.45669296,1.48622052,46743175
2023-10-30,sh.601880,1.48622052,1.50590556,1.476378,1.49606304,55689497
2023-10-31,sh.601880,1.50590556,1.50590556,1.476378,1.48622052,41822384
2023-11-01,sh.601880,1.48622052,1.49606304,1.476378,1.48622052,24685851
2023-11-02,sh.601880,1.48622052,1.49606304,1.476378,1.48622052,29640801
2023-11-03,sh.601880,1.48622052,1.49606304,1.476378,1.48622052,23119927
2023-11-06,sh.601880,1.48622052,1.49606304,1.476378,1.48622052,45702229
2023-11-07,sh.601880,1.48622052,1.49606304,1.48622052,1.48622052,18545663
2023-11-08,sh.601880,1.48622052,1.48622052,1.476378,1.476378,33406684
2023-11-09,sh.601880,1.476378,1.48622052,1.46653548,1.476378,25716826
2023-11-10,sh.601880,1.46653548,1.476378,1.46653548,1.46653548,27997095
2023-11-13,sh.601880,1.46653548,1.476378,1.45669296,1.476378,31725473
2023-11-14,sh.601880,1.46653548,1.48622052,1.46653548,1.476378,35957843
2023-11-15,sh.601880,1.48622052,1.48622052,1.476378,1.476378,20983838
2023-11-16,sh.601880,1.48622052,1.48622052,1.46653548,1.476378,29427742
2023-11-17,sh.601880,1.476378,1.476378,1.46653548,1.46653548,16883098
2023-11-20,sh.601880,1.476378,1.48622052,1.46653548,1.476378,35506916
2023-11-21,sh.601880,1.48622052,1.49606304,1.476378,1.48622052,52074299
2023-11-22,sh.601880,1.48622052,1.48622052,1.476378,1.476378,20562505
2023-11-23,sh.601880,1.476378,1.48622052,1.46653548,1.476378,34187145
2023-11-24,sh.601880,1.48622052,1.48622052,1.476378,1.48622052,30612678
2023-11-27,sh.601880,1.476378,1.48622052,1.476378,1.48622052,30368765
2023-11-28,sh.601880,1.476378,1.49606304,1.476378,1.48622052,52402277
2023-11-29,sh.601880,1.48622052,1.49606304,1.476378,1.476378,25939423
2023-11-30,sh.601880,1.48622052,1.48622052,1.476378,1.476378,23678047
2023-12-01,sh.601880,1.48622052,1.48622052,1.476378,1.476378,19407351
2023-12-04,sh.601880,1.48622052,1.48622052,1.476378,1.476378,32196016
2023-12-05,sh.601880,1.476378,1.48622052,1.46653548,1.46653548,36992097
2023-12-06,sh.601880,1.46653548,1.476378,1.45669296,1.46653548,29935487
2023-12-07,sh.601880,1.46653548,1.476378,1.45669296,1.46653548,37018232
2023-12-08,sh.601880,1.46653548,1.476378,1.45669296,1.46653548,27997845
2023-12-11,sh.601880,1.46653548,1.476378,1.44685044,1.46653548,50012190
2023-12-12,sh.601880,1.46653548,1.476378,1.45669296,1.476378,26501896
2023-12-13,sh.601880,1.46653548,1.476378,1.46653548,1.46653548,22656668
2023-12-14,sh.601880,1.476378,1.476378,1.45669296,1.45669296,25132360
2023-12-15,sh.601880,1.46653548,1.46653548,1.45669296,1.45669296,28554911
2023-12-18,sh.601880,1.45669296,1.46653548,1.45669296,1.45669296,30060941
2023-12-19,sh.601880,1.45669296,1.46653548,1.44685044,1.45669296,33647179
2023-12-20,sh.601880,1.45669296,1.46653548,1.44685044,1.44685044,25072808
2023-12-21,sh.601880,1.44685044,1.45669296,1.41732288,1.43700792,58254534
2023-12-22,sh.601880,1.43700792,1.44685044,1.4271654,1.43700792,45432103
2023-12-25,sh.601880,1.43700792,1.43700792,1.4271654,1.4271654,18920568
2023-12-26,sh.601880,1.4271654,1.43700792,1.41732288,1.41732288,25030127
2023-12-27,sh.601880,1.41732288,1.4271654,1.39763784,1.40748036,45786192
2023-12-28,sh.601880,1.40748036,1.43700792,1.39763784,1.41732288,48061412
2023-12-29,sh.601880,1.4271654,1.4271654,1.41732288,1.4271654,17263677
2024-01-02,sh.601880,1.4271654,1.43700792,1.41732288,1.4271654,33517315
2024-01-03,sh.601880,1.4271654,1.43700792,1.41732288,1.43700792,18362817
2024-01-04,sh.601880,1.4271654,1.43700792,1.41732288,1.43700792,32673622
2024-01-05,sh.601880,1.4271654,1.43700792,1.41732288,1.41732288,31224294
2024-01-08,sh.601880,1.41732288,1.4271654,1.39763784,1.39763784,56020617
2024-01-09,sh.601880,1.39763784,1.41732288,1.39763784,1.40748036,38289298
2024-01-10,sh.601880,1.40748036,1.41732288,1.39763784,1.39763784,28340874
2024-01-11,sh.601880,1.39763784,1.4271654,1.39763784,1.41732288,39837586
2024-01-12,sh.601880,1.40748036,1.4271654,1.40748036,1.41732288,31514077
2024-01-15,sh.601880,1.41732288,1.4271654,1.41732288,1.4271654,19845410
2024-01-16,sh.601880,1.41732288,1.4271654,1.40748036,1.41732288,36515687
2024-01-17,sh.601880,1.41732288,1.4271654,1.39763784,1.39763784,34470282
2024-01-18,sh.601880,1.39763784,1.40748036,1.34842524,1.3779528,87175197
2024-01-19,sh.601880,1.36811028,1.3779528,1.35826776,1.36811028,35178889
2024-01-22,sh.601880,1.36811028,1.36811028,1.29921264,1.30905516,74929629
2024-01-23,sh.601880,1.30905516,1.33858272,1.29921264,1.3287402,56647446
2024-01-24,sh.601880,1.3287402,1.36811028,1.30905516,1.35826776,81977278
2024-01-25,sh.601880,1.35826776,1.39763784,1.33858272,1.39763784,78477885
2024-01-26,sh.601880,1.38779532,1.41732288,1.38779532,1.41732288,78080369
2024-01-29,sh.601880,1.41732288,1.41732288,1.38779532,1.38779532,55365715
2024-01-30,sh.601880,1.38779532,1.39763784,1.36811028,1.36811028,52295249
2024-01-31,sh.601880,1.36811028,1.3779528,1.33858272,1.34842524,65622614
2024-02-01,sh.601880,1.34842524,1.3779528,1.33858272,1.36811028,59135917
2024-02-02,sh.601880,1.35826776,1.38779532,1.31889768,1.33858272,75938518
2024-02-05,sh.601880,1.3287402,1.34842524,1.2795276,1.3287402,113802645
2024-02-06,sh.601880,1.31889768,1.41732288,1.31889768,1.39763784,120947052
2024-02-07,sh.601880,1.40748036,1.48622052,1.40748036,1.476378,184114658
2024-02-08,sh.601880,1.476378,1.5255906,1.45669296,1.46653548,181418615
2024-02-19,sh.601880,1.476378,1.49606304,1.43700792,1.44685044,100165952
2024-02-20,sh.601880,1.44685044,1.45669296,1.4271654,1.43700792,68189992
2024-02-21,sh.601880,1.43700792,1.46653548,1.4271654,1.44685044,88056412
2024-02-22,sh.601880,1.43700792,1.44685044,1.4271654,1.44685044,64217978
2024-02-23,sh.601880,1.44685044,1.45669296,1.43700792,1.44685044,80873248
2024-02-26,sh.601880,1.44685044,1.45669296,1.4271654,1.4271654,77290917
2024-02-27,sh.601880,1.43700792,1.44685044,1.4271654,1.44685044,52362426
2024-02-28,sh.601880,1.44685044,1.46653548,1.43700792,1.43700792,107731185
2024-02-29,sh.601880,1.43700792,1.45669296,1.4271654,1.45669296,80951461
2024-03-01,sh.601880,1.45669296,1.45669296,1.43700792,1.43700792,42828357
2024-03-04,sh.601880,1.43700792,1.44685044,1.4271654,1.4271654,56346774
2024-03-05,sh.601880,1.4271654,1.43700792,1.41732288,1.4271654,51900575
2024-03-06,sh.601880,1.41732288,1.43700792,1.41732288,1.4271654,48362047
2024-03-07,sh.601880,1.4271654,1.43700792,1.41732288,1.4271654,40669141
2024-03-08,sh.601880,1.4271654,1.4271654,1.40748036,1.41732288,57239316
2024-03-11,sh.601880,1.41732288,1.4271654,1.40748036,1.4271654,43172083
2024-03-12,sh.601880,1.4271654,1.4271654,1.41732288,1.4271654,32610842
2024-03-13,sh.601880,1.41732288,1.4271654,1.40748036,1.41732288,50858931
2024-03-14,sh.601880,1.41732288,1.4271654,1.40748036,1.41732288,53627677
2024-03-15,sh.601880,1.40748036,1.43700792,1.40748036,1.4271654,76089181
2024-03-18,sh.601880,1.4271654,1.43700792,1.41732288,1.4271654,50198317
2024-03-19,sh.601880,1.4271654,1.4271654,1.41732288,1.41732288,66478727
2024-03-20,sh.601880,1.41732288,1.4271654,1.40748036,1.41732288,48544497
2024-03-21,sh.601880,1.41732288,1.4271654,1.40748036,1.40748036,38791677
2024-03-22,sh.601880,1.40748036,1.41732288,1.3779528,1.38779532,70267461
2024-03-25,sh.601880,1.38779532,1.39763784,1.3779528,1.38779532,44434528
2024-03-26,sh.601880,1.38779532,1.38779532,1.3779528,1.38779532,26827660
2024-03-27,sh.601880,1.3779528,1.38779532,1.36811028,1.36811028,38282194
