date,stock_code,open,high,low,close,volume
2023-07-03,sh.600295,7.79338716,8.14091836,7.76732232,8.09747696,14191799
2023-07-04,sh.600295,8.036659,8.15829492,7.92371136,7.97584104,8069100
2023-07-05,sh.600295,7.95846448,8.01928244,7.89764652,8.00190588,6154275
2023-07-06,sh.600295,8.00190588,8.01059416,7.87158168,7.9063348,5070158
2023-07-07,sh.600295,7.8628934,7.98452932,7.81076372,7.93239964,4174168
2023-07-10,sh.600295,7.93239964,8.00190588,7.92371136,7.95846448,3180696
2023-07-11,sh.600295,7.95846448,7.98452932,7.91502308,7.95846448,3274678
2023-07-12,sh.600295,7.94108792,7.94108792,7.87158168,7.88026996,3864663
2023-07-13,sh.600295,7.92371136,8.02797072,7.9063348,7.97584104,5791080
2023-07-14,sh.600295,7.98452932,8.036659,7.9497762,7.9932176,3894741
2023-07-17,sh.600295,7.9932176,7.9932176,7.89764652,7.96715276,2955396
2023-07-18,sh.600295,7.96715276,8.08878868,7.94108792,8.04534728,5023806
2023-07-19,sh.600295,8.05403556,8.0801004,8.01059416,8.07141212,2963936
2023-07-20,sh.600295,8.09747696,8.23648944,8.0801004,8.17567148,7875772
2023-07-21,sh.600295,8.18435976,8.27993084,8.10616524,8.21911288,5306095
2023-07-24,sh.600295,8.21911288,8.23648944,8.06272384,8.0801004,4869860
2023-07-25,sh.600295,8.09747696,8.24517772,8.09747696,8.18435976,4786071
2023-07-26,sh.600295,8.22780116,8.3841902,8.19304804,8.37550192,8929406
2023-07-27,sh.600295,8.41894332,8.47976128,8.31468396,8.3841902,7004418
2023-07-28,sh.600295,8.37550192,8.5145144,8.2973074,8.49713784,6782741
2023-07-31,sh.600295,8.57533236,8.67090344,8.46238472,8.48844956,7859923
2023-08-01,sh.600295,8.47976128,8.71434484,8.43631988,8.61877376,9603149
2023-08-02,sh.600295,8.6013972,8.61877376,8.48844956,8.50582612,6058729
2023-08-03,sh.600295,8.471073,8.53189096,8.41894332,8.471073,5585590
2023-08-04,sh.600295,8.471073,8.5579558,8.41025504,8.41894332,4993470
2023-08-07,sh.600295,8.40156676,8.41025504,8.26255428,8.2973074,4991934
2023-08-08,sh.600295,8.30599568,8.3407488,8.20173632,8.27124256,3158972
2023-08-09,sh.600295,8.21911288,8.34943708,8.19304804,8.24517772,2938605
2023-08-10,sh.600295,8.2104246,8.31468396,8.18435976,8.253866,2665436
2023-08-11,sh.600295,8.27124256,8.30599568,8.0801004,8.0801004,3759676
2023-08-14,sh.600295,8.06272384,8.14091836,7.9497762,8.10616524,2891181
2023-08-15,sh.600295,8.14091836,8.14960664,7.95846448,8.01928244,3636239
2023-08-16,sh.600295,8.07141212,8.07141212,7.9497762,8.00190588,2533880
2023-08-17,sh.600295,8.01928244,8.05403556,7.87158168,7.9932176,3603492
2023-08-18,sh.600295,8.02797072,8.07141212,7.9063348,7.9063348,3693493
2023-08-21,sh.600295,7.91502308,8.01059416,7.84551684,7.85420512,4239756
2023-08-22,sh.600295,7.85420512,7.94108792,7.7325692,7.81076372,4726672
2023-08-23,sh.600295,7.81076372,7.92371136,7.78469888,7.81076372,4189318
2023-08-24,sh.600295,7.8628934,7.88895824,7.76732232,7.79338716,3346068
2023-08-25,sh.600295,7.79338716,7.85420512,7.69781608,7.71519264,4118470
2023-08-28,sh.600295,8.036659,8.07141212,7.78469888,7.819452,7946099
2023-08-29,sh.600295,7.79338716,7.9063348,7.76732232,7.87158168,6040944
2023-08-30,sh.600295,7.83682856,7.94108792,7.81076372,7.82814028,4549666
2023-08-31,sh.600295,7.81076372,7.819452,7.52405048,7.5588036,9095458
2023-09-01,sh.600295,7.56749188,7.87158168,7.56749188,7.87158168,8704682
2023-09-04,sh.600295,7.92371136,8.18435976,7.9063348,8.17567148,10855400
2023-09-05,sh.600295,8.2104246,8.253866,8.11485352,8.2104246,7024864
2023-09-06,sh.600295,8.17567148,8.20173632,8.05403556,8.06272384,4162188
2023-09-07,sh.600295,8.06272384,8.09747696,7.93239964,7.94108792,4809917
2023-09-08,sh.600295,7.92371136,7.95846448,7.819452,7.83682856,3440189
2023-09-11,sh.600295,7.83682856,8.07141212,7.82814028,7.9932176,6334259
2023-09-12,sh.600295,8.036659,8.1669832,7.9497762,8.06272384,6298700
2023-09-13,sh.600295,8.11485352,8.20173632,7.9932176,8.02797072,6636836
2023-09-14,sh.600295,8.02797072,8.13223008,8.01059416,8.09747696,5150196
2023-09-15,sh.600295,8.13223008,8.17567148,7.97584104,7.97584104,5758100
2023-09-18,sh.600295,8.01928244,8.14960664,7.97584104,8.13223008,7515225
2023-09-19,sh.600295,8.10616524,8.24517772,8.08878868,8.18435976,6338871
2023-09-20,sh.600295,8.15829492,8.253866,8.14091836,8.19304804,4989263
2023-09-21,sh.600295,8.1669832,8.22780116,8.14091836,8.18435976,5102030
2023-09-22,sh.600295,8.14960664,8.17567148,8.02797072,8.10616524,5477044
2023-09-25,sh.600295,8.10616524,8.14091836,8.04534728,8.05403556,4227268
2023-09-26,sh.600295,8.02797072,8.08878868,7.9497762,7.97584104,3744900
2023-09-27,sh.600295,7.95846448,8.02797072,7.94108792,7.9497762,4225534
2023-09-28,sh.600295,7.94108792,8.01928244,7.94108792,7.95846448,3440352
2023-10-09,sh.600295,7.95846448,7.98452932,7.87158168,7.98452932,4344006
2023-10-10,sh.600295,7.98452932,8.0801004,7.88895824,7.89764652,3503000
2023-10-11,sh.600295,7.89764652,8.00190588,7.87158168,7.88895824,3381200
2023-10-12,sh.600295,7.91502308,8.1669832,7.91502308,8.14960664,7885701
2023-10-13,sh.600295,8.1235418,8.1235418,8.036659,8.0801004,4439768
2023-10-16,sh.600295,8.14091836,8.15829492,8.00190588,8.11485352,4148132
2023-10-17,sh.600295,8.13223008,8.23648944,8.04534728,8.06272384,6087844
2023-10-18,sh.600295,8.00190588,8.1235418,7.91502308,7.94108792,4415610
2023-10-19,sh.600295,7.92371136,7.92371136,7.76732232,7.78469888,4620724
2023-10-20,sh.600295,7.78469888,7.92371136,7.74125748,7.83682856,3344855
2023-10-23,sh.600295,7.85420512,7.8628934,7.62830984,7.66306296,3695096
2023-10-24,sh.600295,7.66306296,7.75863404,7.59355672,7.69781608,3595027
2023-10-25,sh.600295,7.76732232,8.04534728,7.76732232,7.94108792,6003832
2023-10-26,sh.600295,7.92371136,7.97584104,7.819452,7.9497762,3214341
2023-10-27,sh.600295,7.95846448,8.11485352,7.91502308,8.10616524,4459109
2023-10-30,sh.600295,8.0801004,8.14091836,8.05403556,8.06272384,3123340
2023-10-31,sh.600295,8.00190588,8.18435976,7.9932176,8.1235418,4384936
2023-11-01,sh.600295,8.1669832,8.18435976,8.07141212,8.14960664,3866055
2023-11-02,sh.600295,8.14960664,8.17567148,8.0801004,8.09747696,2964662
2023-11-03,sh.600295,8.10616524,8.14960664,8.02797072,8.05403556,3543932
2023-11-06,sh.600295,8.06272384,8.1235418,8.00190588,8.06272384,4076308
2023-11-07,sh.600295,8.06272384,8.06272384,7.9497762,8.00190588,3557824
2023-11-08,sh.600295,8.00190588,8.036659,7.88895824,7.9063348,3878903
2023-11-09,sh.600295,7.91502308,8.07141212,7.88895824,8.01928244,5332491
2023-11-10,sh.600295,8.01928244,8.01928244,7.89764652,7.98452932,3866104
2023-11-13,sh.600295,8.036659,8.11485352,7.95846448,8.07141212,5123271
2023-11-14,sh.600295,8.1235418,8.14091836,7.88026996,8.01059416,6497816
2023-11-15,sh.600295,8.01928244,8.1235418,7.96715276,8.05403556,9268861
2023-11-16,sh.600295,8.02797072,8.036659,7.87158168,7.88895824,8621240
2023-11-17,sh.600295,7.88895824,7.98452932,7.85420512,7.95846448,4593251
2023-11-20,sh.600295,7.95846448,8.01059416,7.89764652,7.97584104,4664888
2023-11-21,sh.600295,7.97584104,8.04534728,7.96715276,7.9932176,4419016
2023-11-22,sh.600295,7.97584104,7.9932176,7.9063348,7.9063348,3413872
2023-11-23,sh.600295,7.91502308,8.01059416,7.88895824,7.9932176,4277239
2023-11-24,sh.600295,7.98452932,8.036659,7.96715276,8.01059416,4181262
2023-11-27,sh.600295,7.97584104,8.04534728,7.95846448,7.97584104,4903088
2023-11-28,sh.600295,7.97584104,8.01928244,7.819452,8.01059416,8632110
2023-11-29,sh.600295,7.98452932,8.06272384,7.93239964,7.9932176,6714312
2023-11-30,sh.600295,7.97584104,7.98452932,7.88895824,7.93239964,4691436
2023-12-01,sh.600295,7.92371136,7.95846448,7.88895824,7.93239964,4152731
2023-12-04,sh.600295,7.94108792,8.036659,7.92371136,7.97584104,6645347
2023-12-05,sh.600295,7.97584104,7.9932176,7.819452,7.8628934,5300020
2023-12-06,sh.600295,7.83682856,8.06272384,7.819452,8.04534728,16996695
2023-12-07,sh.600295,8.06272384,8.40156676,8.02797072,8.33206052,34307149
2023-12-08,sh.600295,8.33206052,8.70565656,8.23648944,8.4276316,37018473
2023-12-11,sh.600295,8.3841902,8.67090344,8.30599568,8.62746204,22757223
2023-12-12,sh.600295,8.59270892,8.65352688,8.471073,8.6448386,11877244
2023-12-13,sh.600295,8.62746204,8.67959172,8.43631988,8.45369644,10130061
2023-12-14,sh.600295,8.46238472,8.53189096,8.3407488,8.36681364,6600493
2023-12-15,sh.600295,8.3407488,8.46238472,8.31468396,8.36681364,6372675
2023-12-18,sh.600295,8.34943708,8.45369644,8.253866,8.27993084,5046896
2023-12-19,sh.600295,8.27993084,8.30599568,8.19304804,8.27993084,5446162
2023-12-20,sh.600295,8.28861912,8.54926752,8.253866,8.3407488,8564028
2023-12-21,sh.600295,8.2973074,8.40156676,8.24517772,8.26255428,6920744
2023-12-22,sh.600295,8.24517772,8.39287848,8.2104246,8.30599568,8062608
2023-12-25,sh.600295,8.24517772,8.30599568,8.14091836,8.27124256,5647868
2023-12-26,sh.600295,8.22780116,8.39287848,8.18435976,8.22780116,6355580
2023-12-27,sh.600295,8.22780116,8.32337224,8.14960664,8.30599568,5834658
2023-12-28,sh.600295,8.30599568,8.39287848,8.23648944,8.36681364,8840883
2023-12-29,sh.600295,8.33206052,8.44500816,8.33206052,8.4276316,6216892
2024-01-02,sh.600295,8.4276316,8.65352688,8.41025504,8.61008548,10801886
2024-01-03,sh.600295,8.61008548,8.8620456,8.57533236,8.85335732,15962952
2024-01-04,sh.600295,8.87942216,8.89679872,8.7317214,8.79253936,11148611
2024-01-05,sh.600295,8.78385108,9.09662916,8.70565656,8.91417528,15171566
2024-01-08,sh.600295,8.83598076,8.97499324,8.76647452,8.89679872,9005422
2024-01-09,sh.600295,8.95761668,8.96630496,8.78385108,8.8620456,9186253
