date,stock_code,open,high,low,close,volume
2023-07-03,sh.600143,8.4734868,8.60984176,8.4734868,8.59036248,14015594
2023-07-04,sh.600143,8.60010212,8.60984176,8.53192464,8.60984176,9760387
2023-07-05,sh.600143,8.58062284,8.7169778,8.58062284,8.67801924,12389002
2023-07-06,sh.600143,8.65853996,8.69749852,8.60010212,8.6195814,10371629
2023-07-07,sh.600143,8.59036248,8.6682796,8.54166428,8.59036248,8882710
2023-07-10,sh.600143,8.58062284,8.6682796,8.5708832,8.59036248,7761598
2023-07-11,sh.600143,8.60010212,8.6682796,8.5708832,8.65853996,7819528
2023-07-12,sh.600143,8.64880032,8.69749852,8.59036248,8.60984176,6450985
2023-07-13,sh.600143,8.65853996,8.70723816,8.60010212,8.67801924,10221901
2023-07-14,sh.600143,8.69749852,8.70723816,8.62932104,8.64880032,6538836
2023-07-17,sh.600143,8.63906068,8.69749852,8.59036248,8.67801924,7002479
2023-07-18,sh.600143,8.67801924,8.77541564,8.63906068,8.75593636,9614079
2023-07-19,sh.600143,8.75593636,8.78515528,8.67801924,8.72671744,6474349
2023-07-20,sh.600143,8.73645708,8.80463456,8.67801924,8.69749852,8277954
2023-07-21,sh.600143,8.68775888,8.765676,8.6682796,8.69749852,6186218
2023-07-24,sh.600143,8.67801924,8.72671744,8.62932104,8.65853996,5360118
2023-07-25,sh.600143,8.765676,8.79489492,8.70723816,8.77541564,8654259
2023-07-26,sh.600143,8.75593636,8.79489492,8.70723816,8.72671744,7490470
2023-07-27,sh.600143,8.74619672,8.8143742,8.70723816,8.72671744,7765612
2023-07-28,sh.600143,8.7169778,8.79489492,8.67801924,8.78515528,6779100
2023-07-31,sh.600143,8.78515528,8.92151024,8.78515528,8.87281204,12343421
2023-08-01,sh.600143,8.88255168,8.90203096,8.83385348,8.89229132,7969964
2023-08-02,sh.600143,8.89229132,8.90203096,8.79489492,8.84359312,8337363
2023-08-03,sh.600143,8.8630724,8.87281204,8.78515528,8.82411384,6667329
2023-08-04,sh.600143,8.8630724,8.90203096,8.8143742,8.82411384,8662100
2023-08-07,sh.600143,8.83385348,8.83385348,8.65853996,8.68775888,11853050
2023-08-08,sh.600143,8.68775888,8.73645708,8.60984176,8.69749852,7772552
2023-08-09,sh.600143,8.69749852,8.69749852,8.60010212,8.6195814,6424893
2023-08-10,sh.600143,8.59036248,8.68775888,8.59036248,8.65853996,5336907
2023-08-11,sh.600143,8.68775888,8.68775888,8.43452824,8.45400752,11853635
