date,stock_code,open,high,low,close,volume
2023-07-03,sz.002202,10.42438488,10.56103412,10.41462422,10.51223082,13786914
2023-07-04,sz.002202,10.52199148,10.5415128,10.41462422,10.48294884,10268483
2023-07-05,sz.002202,10.4439062,10.4927095,10.37558158,10.38534224,8071646
2023-07-06,sz.002202,10.38534224,10.53175214,10.38534224,10.47318818,13149179
2023-07-07,sz.002202,10.45366686,10.48294884,10.32677828,10.38534224,9407611
2023-07-10,sz.002202,10.40486356,10.5415128,10.40486356,10.48294884,10012200
2023-07-11,sz.002202,10.46342752,10.57079478,10.4439062,10.57079478,11253839
2023-07-12,sz.002202,10.57079478,10.61959808,10.50247016,10.52199148,10378230
2023-07-13,sz.002202,10.61959808,10.66840138,10.58055544,10.65864072,14589175
2023-07-14,sz.002202,10.61959808,10.64888006,10.55127346,10.5903161,9734533
2023-07-17,sz.002202,10.5903161,10.62935874,10.50247016,10.57079478,9624597
2023-07-18,sz.002202,10.60983742,10.71720468,10.55127346,10.66840138,19261405
2023-07-19,sz.002202,10.66840138,10.70744402,10.57079478,10.64888006,8039073
2023-07-20,sz.002202,10.61959808,10.70744402,10.55127346,10.55127346,8913856
2023-07-21,sz.002202,10.55127346,10.5903161,10.47318818,10.5415128,8831285
2023-07-24,sz.002202,10.48294884,10.58055544,10.48294884,10.56103412,6907351
2023-07-25,sz.002202,10.5903161,10.67816204,10.5903161,10.66840138,15777898
2023-07-26,sz.002202,10.67816204,10.71720468,10.6391194,10.67816204,9654865
2023-07-27,sz.002202,10.6391194,10.79528996,10.6391194,10.6879227,14368397
2023-07-28,sz.002202,10.66840138,10.8343326,10.60007676,10.80505062,18472753
2023-07-31,sz.002202,10.85385392,10.97098184,10.84409326,10.9319392,19698761
2023-08-01,sz.002202,10.92217854,10.96122118,10.87337524,10.92217854,13436872
2023-08-02,sz.002202,10.9319392,10.95146052,10.85385392,10.89289656,9508755
2023-08-03,sz.002202,10.86361458,10.95146052,10.82457194,10.94169986,11753293
2023-08-04,sz.002202,10.9807425,11.04906712,10.91241788,10.92217854,12101690
2023-08-07,sz.002202,10.91241788,10.94169986,10.85385392,10.8831359,9080699
2023-08-08,sz.002202,10.85385392,10.90265722,10.75624732,10.86361458,9667683
2023-08-09,sz.002202,10.86361458,10.86361458,10.72696534,10.76600798,10454955
2023-08-10,sz.002202,10.7855293,10.89289656,10.76600798,10.85385392,9253132
2023-08-11,sz.002202,10.8343326,10.8343326,10.61959808,10.61959808,10515148
2023-08-14,sz.002202,10.5903161,10.69768336,10.47318818,10.64888006,11268752
2023-08-15,sz.002202,10.65864072,10.66840138,10.50247016,10.56103412,8239823
2023-08-16,sz.002202,10.56103412,10.58055544,10.48294884,10.51223082,7994848
2023-08-17,sz.002202,10.46342752,10.5903161,10.26821432,10.56103412,14688033
2023-08-18,sz.002202,10.61038975,10.62025988,10.47220793,10.47220793,8618738
2023-08-21,sz.002202,10.47220793,10.52155858,10.27480533,10.28467546,14363451
2023-08-22,sz.002202,10.20571442,10.22545468,9.70233779,9.88000013,49391455
2023-08-23,sz.002202,9.86025987,9.86025987,9.59376636,9.60363649,25446425
2023-08-24,sz.002202,9.61350662,9.6727274,9.32727285,9.33714298,32878791
2023-08-25,sz.002202,9.29766246,9.31740272,9.10025986,9.15948064,22365202
2023-08-28,sz.002202,9.6727274,9.70233779,9.20883129,9.30753259,32889584
2023-08-29,sz.002202,9.30753259,9.46545467,9.25818194,9.41610402,23766455
2023-08-30,sz.002202,9.41610402,9.51480532,9.39636376,9.41610402,14724893
2023-08-31,sz.002202,9.42597415,9.42597415,9.33714298,9.3766235,11652332
2023-09-01,sz.002202,9.3766235,9.41610402,9.26805207,9.31740272,13726430
2023-09-04,sz.002202,9.35688324,9.46545467,9.28779233,9.45558454,23517218
2023-09-05,sz.002202,9.45558454,9.52467545,9.36675337,9.38649363,16924809
2023-09-06,sz.002202,9.38649363,9.48519493,9.33714298,9.46545467,16659180
2023-09-07,sz.002202,9.45558454,9.45558454,9.2779222,9.2779222,14793172
2023-09-08,sz.002202,9.2779222,9.32727285,9.23844168,9.30753259,7183377
2023-09-11,sz.002202,9.30753259,9.41610402,9.26805207,9.39636376,16356970
2023-09-12,sz.002202,9.3766235,9.42597415,9.34701311,9.38649363,9668996
2023-09-13,sz.002202,9.3766235,9.39636376,9.23844168,9.29766246,12095964
2023-09-14,sz.002202,9.26805207,9.30753259,9.13974038,9.18909103,16038076
2023-09-15,sz.002202,9.19896116,9.24831181,9.12987025,9.13974038,13995122
2023-09-18,sz.002202,9.10025986,9.22857155,9.04103908,9.14961051,10960639
2023-09-19,sz.002202,9.11012999,9.1792209,9.06077934,9.0805196,11493098
2023-09-20,sz.002202,9.06077934,9.10025986,9.02129882,9.03116895,10076860
2023-09-21,sz.002202,9.01142869,9.05090921,8.883117,8.90285726,15907219
2023-09-22,sz.002202,8.87324687,9.07064947,8.85350661,9.06077934,16339986
2023-09-25,sz.002202,9.06077934,9.0805196,8.97194817,9.03116895,11680755
2023-09-26,sz.002202,9.04103908,9.11012999,8.96207804,9.02129882,10335853
2023-09-27,sz.002202,9.00155856,9.21870142,8.9818183,9.12987025,21469731
2023-09-28,sz.002202,9.11012999,9.18909103,9.0805196,9.11012999,13708388
2023-10-09,sz.002202,9.0805196,9.19896116,9.02129882,9.15948064,15701276
2023-10-10,sz.002202,9.1792209,9.1792209,9.07064947,9.10025986,11154747
2023-10-11,sz.002202,9.12000012,9.15948064,9.05090921,9.0805196,10990056
2023-10-12,sz.002202,9.10025986,9.24831181,9.0805196,9.20883129,19635375
2023-10-13,sz.002202,9.13974038,9.15948064,9.04103908,9.11012999,12037024
2023-10-16,sz.002202,9.11012999,9.19896116,9.04103908,9.07064947,11615582
2023-10-17,sz.002202,9.10025986,9.1792209,9.06077934,9.07064947,13164678
2023-10-18,sz.002202,9.05090921,9.0805196,8.93246765,8.94233778,11509496
2023-10-19,sz.002202,8.91272739,8.94233778,8.77454557,8.7844157,17264148
2023-10-20,sz.002202,8.77454557,8.95220791,8.72519492,8.85350661,19764368
2023-10-23,sz.002202,8.83376635,8.85350661,8.43896115,8.50805206,25139420
2023-10-24,sz.002202,8.50805206,8.5870131,8.31064946,8.55740271,26752270
2023-10-25,sz.002202,8.60675336,8.82389622,8.60675336,8.70545466,21819385
2023-10-26,sz.002202,8.66597414,8.70545466,8.51792219,8.6857144,15722979
2023-10-27,sz.002202,8.5870131,8.72519492,8.25142868,8.67584427,29335948
2023-10-30,sz.002202,8.6857144,8.79428583,8.64623388,8.7844157,20558516
2023-10-31,sz.002202,8.79428583,8.79428583,8.65610401,8.67584427,14181177
2023-11-01,sz.002202,8.76467544,8.81402609,8.64623388,8.77454557,19121144
2023-11-02,sz.002202,8.74493518,8.79428583,8.66597414,8.67584427,12128949
2023-11-03,sz.002202,8.66597414,8.79428583,8.66597414,8.73506505,13621023
2023-11-06,sz.002202,8.7844157,8.9818183,8.76467544,8.97194817,23234955
2023-11-07,sz.002202,8.97194817,8.97194817,8.89298713,8.94233778,12137112
2023-11-08,sz.002202,8.92259752,8.96207804,8.86337674,8.93246765,14903164
2023-11-09,sz.002202,8.90285726,9.05090921,8.89298713,8.97194817,14982168
2023-11-10,sz.002202,8.96207804,8.97194817,8.86337674,8.90285726,10830930
2023-11-13,sz.002202,8.90285726,8.97194817,8.87324687,8.94233778,9866315
2023-11-14,sz.002202,8.94233778,9.02129882,8.91272739,8.95220791,10809519
2023-11-15,sz.002202,9.02129882,9.06077934,8.96207804,9.03116895,14351706
2023-11-16,sz.002202,9.05090921,9.06077934,8.92259752,8.93246765,13620464
