date,stock_code,open,high,low,close,volume
2023-07-03,sz.000629,3.93,4.09,3.92,4.01,79113388
2023-07-04,sz.000629,4.05,4.17,4.05,4.13,147644793
2023-07-05,sz.000629,4.1,4.53,4.07,4.4,295799675
2023-07-06,sz.000629,4.33,4.33,4.16,4.19,188671971
2023-07-07,sz.000629,4.17,4.19,4.07,4.13,90193488
2023-07-10,sz.000629,4.14,4.2,4.1,4.12,60760777
2023-07-11,sz.000629,4.13,4.14,4.07,4.12,44693911
2023-07-12,sz.000629,4.12,4.15,4.07,4.09,55641016
2023-07-13,sz.000629,4.09,4.15,4.09,4.11,47879095
2023-07-14,sz.000629,4.11,4.12,4.03,4.04,60112005
2023-07-17,sz.000629,4.02,4.04,3.92,3.94,93756402
2023-07-18,sz.000629,3.94,3.97,3.89,3.96,59700025
2023-07-19,sz.000629,3.96,3.97,3.92,3.96,36471946
2023-07-20,sz.000629,3.97,4.02,3.92,3.92,56670360
2023-07-21,sz.000629,3.92,3.95,3.89,3.92,39857451
2023-07-24,sz.000629,3.93,3.94,3.88,3.9,34214034
2023-07-25,sz.000629,3.92,4.01,3.91,4.01,64265207
2023-07-26,sz.000629,4.01,4.02,3.97,4.01,45893479
2023-07-27,sz.000629,4.0,4.06,3.99,4.0,58409647
2023-07-28,sz.000629,3.98,4.08,3.94,4.08,77051861
2023-07-31,sz.000629,4.08,4.14,4.08,4.11,69633430
2023-08-01,sz.000629,4.12,4.2,4.09,4.18,98019294
2023-08-02,sz.000629,4.15,4.16,4.09,4.1,73243661
2023-08-03,sz.000629,4.08,4.11,4.06,4.1,43126697
2023-08-04,sz.000629,4.1,4.16,4.09,4.09,63015629
2023-08-07,sz.000629,4.09,4.09,4.03,4.05,47648591
2023-08-08,sz.000629,4.04,4.06,3.99,4.03,42622187
2023-08-09,sz.000629,4.01,4.03,3.98,3.99,31624839
2023-08-10,sz.000629,3.99,4.02,3.98,3.99,31366719
2023-08-11,sz.000629,3.99,4.01,3.92,3.93,44197700
2023-08-14,sz.000629,3.9,3.92,3.87,3.91,39318850
2023-08-15,sz.000629,3.93,3.93,3.84,3.88,38209588
2023-08-16,sz.000629,3.86,3.92,3.85,3.88,28779215
2023-08-17,sz.000629,3.87,3.92,3.83,3.91,35874950
2023-08-18,sz.000629,3.9,3.93,3.89,3.9,38193584
2023-08-21,sz.000629,3.89,3.99,3.88,3.91,43585551
2023-08-22,sz.000629,3.89,3.93,3.83,3.88,46654307
2023-08-23,sz.000629,3.89,3.89,3.79,3.79,30745550
2023-08-24,sz.000629,3.8,3.83,3.75,3.77,30787552
2023-08-25,sz.000629,3.76,3.79,3.7,3.72,35840732
2023-08-28,sz.000629,3.86,3.91,3.8,3.81,72187968
2023-08-29,sz.000629,3.8,3.85,3.79,3.84,47955532
2023-08-30,sz.000629,3.83,3.86,3.81,3.81,37295411
2023-08-31,sz.000629,3.81,3.83,3.74,3.76,35661845
2023-09-01,sz.000629,3.76,3.82,3.76,3.82,34703851
2023-09-04,sz.000629,3.82,3.93,3.81,3.92,64995606
2023-09-05,sz.000629,3.9,3.91,3.85,3.87,43807868
2023-09-06,sz.000629,3.87,3.87,3.83,3.85,29879315
2023-09-07,sz.000629,3.85,3.85,3.78,3.78,33837101
