date,stock_code,open,high,low,close,volume
2023-07-03,sz.002939,7.85450036,7.98024975,7.85450036,7.95123066,20965123
2023-07-04,sz.002939,7.91253854,7.98024975,7.90286551,7.94155763,14396797
2023-07-05,sz.002939,7.9318846,7.97057672,7.89319248,7.91253854,11519589
2023-07-06,sz.002939,7.91253854,7.9318846,7.85450036,7.87384642,9650700
2023-07-07,sz.002939,7.85450036,7.96090369,7.84482733,7.91253854,12790722
2023-07-10,sz.002939,7.92221157,7.96090369,7.88351945,7.90286551,12815683
2023-07-11,sz.002939,7.92221157,7.95123066,7.90286551,7.94155763,12152200
2023-07-12,sz.002939,7.9318846,7.97057672,7.85450036,7.86417339,15111700
2023-07-13,sz.002939,7.91253854,7.98992278,7.89319248,7.96090369,22038564
2023-07-14,sz.002939,8.00926884,8.0286149,7.94155763,7.96090369,22568950
2023-07-17,sz.002939,7.94155763,7.98992278,7.92221157,7.98024975,12489620
2023-07-18,sz.002939,7.98024975,8.00926884,7.94155763,7.97057672,13417212
2023-07-19,sz.002939,7.96090369,7.99959581,7.9318846,7.99959581,13131600
2023-07-20,sz.002939,8.00926884,8.01894187,7.94155763,7.94155763,13947960
2023-07-21,sz.002939,7.95123066,7.98992278,7.9318846,7.96090369,13888422
2023-07-24,sz.002939,7.95111212,7.98048815,7.91194408,7.96090413,11693484
2023-07-25,sz.002939,8.18612036,8.28404046,8.07840825,8.25466443,68274400
2023-07-26,sz.002939,8.21549639,8.26445644,8.16653634,8.24487242,28750353
2023-07-27,sz.002939,8.24487242,8.27424845,8.16653634,8.17632835,20739698
2023-07-28,sz.002939,8.16653634,8.70509689,8.15674433,8.62676081,104956668
2023-07-31,sz.002939,8.7148889,8.88135307,8.63655282,8.70509689,105383396
2023-08-01,sz.002939,8.6169688,8.84218503,8.57780076,8.73447292,64429370
2023-08-02,sz.002939,8.72468091,8.96948116,8.66592885,8.83239302,59441318
2023-08-03,sz.002939,8.93031312,9.11636131,8.76384895,9.06740126,87959622
2023-08-04,sz.002939,9.31220151,9.5961698,9.16532136,9.27303347,160757390
