date,stock_code,open,high,low,close,volume
2023-07-03,sz.000563,2.89621104,2.96290011,2.88668403,2.94384609,43983702
2023-07-04,sz.000563,2.93431908,2.96290011,2.92479207,2.94384609,38105520
2023-07-05,sz.000563,2.93431908,2.94384609,2.89621104,2.90573805,23507505
2023-07-06,sz.000563,2.90573805,2.92479207,2.88668403,2.89621104,18953157
2023-07-07,sz.000563,2.88668403,2.93431908,2.88668403,2.92479207,30533034
2023-07-10,sz.000563,2.93431908,2.94384609,2.90573805,2.91526506,25226333
2023-07-11,sz.000563,2.92479207,2.93431908,2.89621104,2.91526506,23157708
2023-07-12,sz.000563,2.90573805,2.91526506,2.858103,2.86763001,33710830
2023-07-13,sz.000563,2.87715702,2.93431908,2.86763001,2.92479207,40465863
2023-07-14,sz.000563,2.92479207,2.92479207,2.89621104,2.90573805,24303486
2023-07-17,sz.000563,2.89621104,2.91526506,2.87715702,2.91526506,21173300
2023-07-18,sz.000563,2.91526506,2.92479207,2.89621104,2.91526506,17090200
2023-07-19,sz.000563,2.90573805,2.93431908,2.89621104,2.92479207,17032645
2023-07-20,sz.000563,2.92479207,2.93431908,2.89621104,2.90573805,23147220
2023-07-21,sz.000563,2.90573805,2.93431908,2.89621104,2.91526506,28317545
2023-07-24,sz.000563,2.91526506,2.93431908,2.89621104,2.92479207,21763033
2023-07-25,sz.000563,3.01053516,3.06769722,2.97242712,3.0486432,96154147
2023-07-26,sz.000563,3.02958918,3.0486432,3.01053516,3.03911619,45625600
2023-07-27,sz.000563,3.02958918,3.05817021,3.00100815,3.02006217,46743000
2023-07-28,sz.000563,3.01053516,3.22012938,3.00100815,3.20107536,173846119
2023-07-31,sz.000563,3.19154835,3.31539948,3.17249433,3.25823742,151187366
2023-08-01,sz.000563,3.22965639,3.27729144,3.20107536,3.22965639,93113649
2023-08-02,sz.000563,3.21060237,3.28681845,3.20107536,3.22965639,66430712
2023-08-03,sz.000563,3.22965639,3.29634546,3.18202134,3.28681845,120706878
2023-08-04,sz.000563,3.35350752,3.43925061,3.30587247,3.34398051,218747356
2023-08-07,sz.000563,3.28681845,3.32492649,3.2391834,3.28681845,98593775
2023-08-08,sz.000563,3.27729144,3.27729144,3.18202134,3.2391834,83255189
2023-08-09,sz.000563,3.2391834,3.24871041,3.19154835,3.21060237,53929687
2023-08-10,sz.000563,3.21060237,3.2391834,3.18202134,3.22012938,51957081
2023-08-11,sz.000563,3.2391834,3.24871041,3.12485928,3.13438629,68249634
2023-08-14,sz.000563,3.05817021,3.09627825,3.03911619,3.06769722,70630714
2023-08-15,sz.000563,3.07722423,3.09627825,3.0486432,3.08675124,54670848
2023-08-16,sz.000563,3.06769722,3.21060237,3.0486432,3.1439133,72685703
