date,stock_code,open,high,low,close,volume
2023-07-03,sz.001286,9.71127485,9.82236665,9.6464713,9.7390478,43923316
2023-07-04,sz.001286,9.72979015,9.72979015,9.6094407,9.65572895,37347101
2023-07-05,sz.001286,9.63721365,9.7760784,9.5909254,9.6094407,32595440
2023-07-06,sz.001286,9.61869835,9.67424425,9.54463715,9.61869835,28420745
2023-07-07,sz.001286,9.58166775,9.7390478,9.56315245,9.6649866,33986177
2023-07-10,sz.001286,9.80385135,9.8686549,9.6835019,9.76682075,51440897
2023-07-11,sz.001286,9.71127485,9.72979015,9.5909254,9.69275955,35618519
2023-07-12,sz.001286,9.65572895,9.76682075,9.60018305,9.6835019,38222212
2023-07-13,sz.001286,9.6649866,9.7020172,9.61869835,9.65572895,28749146
2023-07-14,sz.001286,9.63721365,9.6464713,9.5724101,9.58166775,31757646
2023-07-17,sz.001286,9.56315245,9.58166775,9.41503005,9.442803,28084330
2023-07-18,sz.001286,9.4242877,9.4613183,9.3687418,9.4242877,21960914
2023-07-19,sz.001286,9.4242877,9.4613183,9.3687418,9.39651475,17157752
2023-07-20,sz.001286,9.4057724,9.4242877,9.3317112,9.3502265,20006530
2023-07-21,sz.001286,9.3502265,9.3872571,9.32245355,9.3317112,14876052
2023-07-24,sz.001286,9.32245355,9.3502265,9.28542295,9.32245355,14317897
2023-07-25,sz.001286,9.3317112,9.43354535,9.3317112,9.41503005,22287597
2023-07-26,sz.001286,9.41503005,9.41503005,9.3502265,9.35948415,17099551
2023-07-27,sz.001286,9.35948415,9.4057724,9.3131959,9.32245355,17566322
2023-07-28,sz.001286,9.3131959,9.3687418,9.2391347,9.3502265,26182675
2023-07-31,sz.001286,9.34096885,9.4057724,9.30393825,9.4057724,23615534
2023-08-01,sz.001286,9.39651475,9.47057595,9.3687418,9.442803,24298758
2023-08-02,sz.001286,9.41503005,9.41503005,9.3317112,9.3502265,19394121
2023-08-03,sz.001286,9.3317112,9.3687418,9.30393825,9.3502265,16584240
2023-08-04,sz.001286,9.3502265,9.39651475,9.32245355,9.3317112,21323311
2023-08-07,sz.001286,9.3317112,9.3317112,9.25765,9.2761653,18394013
2023-08-08,sz.001286,9.2761653,9.3317112,9.2391347,9.30393825,15925317
2023-08-09,sz.001286,9.2946806,9.30393825,9.2391347,9.2391347,13180150
2023-08-10,sz.001286,9.25765,9.30393825,9.22987705,9.2761653,10542038
2023-08-11,sz.001286,9.2761653,9.2761653,9.13730055,9.1465582,22873895
2023-08-14,sz.001286,9.1280429,9.1280429,9.02620875,9.1095276,14087842
2023-08-15,sz.001286,9.10026995,9.1280429,9.0354664,9.072497,11248466
2023-08-16,sz.001286,9.06323935,9.072497,8.98917815,8.98917815,13872237
2023-08-17,sz.001286,8.97066285,9.08175465,8.85957105,9.072497,17112942
2023-08-18,sz.001286,9.0169511,9.1095276,8.9984358,9.00769345,13963207
2023-08-21,sz.001286,9.00769345,9.00769345,8.9428899,8.95214755,11591478
2023-08-22,sz.001286,8.9614052,8.9984358,8.72996395,8.91511695,22371223
2023-08-23,sz.001286,8.89660165,9.0539817,8.8317981,8.91511695,14885543
2023-08-24,sz.001286,8.8688287,8.87808635,8.71144865,8.74847925,17794420
2023-08-25,sz.001286,8.702191,8.7207063,8.58184155,8.6096145,17627413
2023-08-28,sz.001286,8.9428899,8.9984358,8.6466451,8.6651604,22995400
2023-08-29,sz.001286,8.6281298,8.82254045,8.6096145,8.80402515,18692568
2023-08-30,sz.001286,8.7947675,8.8317981,8.71144865,8.74847925,16921393
