date,stock_code,open,high,low,close,volume
2023-07-03,sh.600820,5.39167626,5.44532478,5.364852,5.4095591,22561763
2023-07-04,sh.600820,5.4095591,5.42744194,5.34696916,5.364852,17581036
2023-07-05,sh.600820,5.33802774,5.42744194,5.32908632,5.39167626,18558965
2023-07-06,sh.600820,5.39167626,5.40061768,5.35591058,5.364852,11833499
2023-07-07,sh.600820,5.37379342,5.44532478,5.37379342,5.42744194,17409533
2023-07-10,sh.600820,5.43638336,5.44532478,5.40061768,5.43638336,11744322
2023-07-11,sh.600820,5.44532478,5.44532478,5.39167626,5.43638336,13810233
2023-07-12,sh.600820,5.44532478,5.4542662,5.35591058,5.35591058,14039047
2023-07-13,sh.600820,5.39167626,5.44532478,5.38273484,5.44532478,14631644
2023-07-14,sh.600820,5.4542662,5.4542662,5.40061768,5.41850052,11678832
2023-07-17,sh.600820,5.41850052,5.4542662,5.40061768,5.4542662,11666437
2023-07-18,sh.600820,5.4542662,5.47214904,5.41850052,5.43638336,15225712
2023-07-19,sh.600820,5.42744194,5.46320762,5.4095591,5.4542662,15302416
2023-07-20,sh.600820,5.4729792,5.54782336,5.41684608,5.43555712,21648165
2023-07-21,sh.600820,5.43555712,5.48233472,5.4262016,5.4729792,13411304
2023-07-24,sh.600820,5.50104576,5.59460096,5.46362368,5.57588992,21301723
2023-07-25,sh.600820,5.613312,5.66944512,5.60395648,5.65073408,21240442
2023-07-26,sh.600820,5.66944512,5.69751168,5.62266752,5.6600896,17432629
2023-07-27,sh.600820,5.6600896,5.69751168,5.65073408,5.67880064,14700686
2023-07-28,sh.600820,5.67880064,5.76300032,5.63202304,5.7536448,25312480
2023-07-31,sh.600820,5.79106688,5.92204416,5.76300032,5.91268864,44148207
2023-08-01,sh.600820,5.93139968,5.96882176,5.87526656,5.93139968,33841247
2023-08-02,sh.600820,5.92204416,5.97817728,5.88462208,5.91268864,22671869
2023-08-03,sh.600820,5.91268864,5.93139968,5.81913344,5.8939776,24015927
2023-08-04,sh.600820,5.87526656,5.9407552,5.85655552,5.85655552,17000995
2023-08-07,sh.600820,5.86591104,5.87526656,5.8004224,5.85655552,20016416
2023-08-08,sh.600820,5.85655552,5.86591104,5.80977792,5.82848896,12761204
2023-08-09,sh.600820,5.80977792,5.86591104,5.77235584,5.79106688,16768426
2023-08-10,sh.600820,5.80977792,5.85655552,5.77235584,5.80977792,10978083
2023-08-11,sh.600820,5.80977792,5.82848896,5.68815616,5.68815616,16268694
2023-08-14,sh.600820,5.6600896,5.73493376,5.62266752,5.71622272,13223838
2023-08-15,sh.600820,5.73493376,5.76300032,5.66944512,5.73493376,12828000
2023-08-16,sh.600820,5.72557824,5.7536448,5.66944512,5.69751168,9962784
2023-08-17,sh.600820,5.68815616,5.72557824,5.65073408,5.71622272,13887357
2023-08-18,sh.600820,5.69751168,5.76300032,5.66944512,5.67880064,11851000
2023-08-21,sh.600820,5.66944512,5.7536448,5.63202304,5.64137856,15182710
2023-08-22,sh.600820,5.6600896,5.72557824,5.60395648,5.67880064,14012008
2023-08-23,sh.600820,5.66944512,5.68815616,5.59460096,5.60395648,13085874
2023-08-24,sh.600820,5.613312,5.62266752,5.4262016,5.4262016,32153373
2023-08-25,sh.600820,5.39813504,5.57588992,5.38877952,5.50104576,22011570
2023-08-28,sh.600820,5.7536448,5.82848896,5.59460096,5.62266752,35887852
2023-08-29,sh.600820,5.64137856,5.72557824,5.60395648,5.69751168,26887414
2023-08-30,sh.600820,5.72557824,5.72557824,5.53846784,5.53846784,24805141
2023-08-31,sh.600820,5.55717888,5.60395648,5.46362368,5.4729792,18158466
2023-09-01,sh.600820,5.49169024,5.5665344,5.48233472,5.54782336,16765878
2023-09-04,sh.600820,5.55717888,5.66944512,5.55717888,5.62266752,21976456
2023-09-05,sh.600820,5.62266752,5.62266752,5.50104576,5.51040128,19149248
2023-09-06,sh.600820,5.50104576,5.5197568,5.41684608,5.46362368,23085114
2023-09-07,sh.600820,5.44491264,5.46362368,5.37006848,5.379424,18983942
2023-09-08,sh.600820,5.379424,5.41684608,5.35135744,5.36071296,12360943
2023-09-11,sh.600820,5.379424,5.45426816,5.35135744,5.41684608,16477956
2023-09-12,sh.600820,5.43555712,5.49169024,5.41684608,5.46362368,12191133
2023-09-13,sh.600820,5.46362368,5.49169024,5.41684608,5.43555712,12749200
2023-09-14,sh.600820,5.45426816,5.50104576,5.4262016,5.48233472,11813485
2023-09-15,sh.600820,5.49169024,5.53846784,5.44491264,5.46362368,17586124
2023-09-18,sh.600820,5.46362368,5.48233472,5.4262016,5.4729792,12727635
2023-09-19,sh.600820,5.4729792,5.52911232,5.45426816,5.52911232,15904078
2023-09-20,sh.600820,5.52911232,5.53846784,5.49169024,5.52911232,12598539
2023-09-21,sh.600820,5.51040128,5.5197568,5.43555712,5.44491264,14140306
2023-09-22,sh.600820,5.44491264,5.48233472,5.41684608,5.48233472,16646644
2023-09-25,sh.600820,5.4729792,5.5197568,5.43555712,5.44491264,13694844
2023-09-26,sh.600820,5.44491264,5.48233472,5.41684608,5.4262016,10620737
2023-09-27,sh.600820,5.44491264,5.49169024,5.4262016,5.46362368,13783600
2023-09-28,sh.600820,5.48233472,5.5197568,5.43555712,5.48233472,14683300
2023-10-09,sh.600820,5.48233472,5.5197568,5.41684608,5.45426816,21121200
2023-10-10,sh.600820,5.46362368,5.48233472,5.16424704,5.22038016,46790268
2023-10-11,sh.600820,5.22038016,5.31393536,5.20166912,5.20166912,21026374
2023-10-12,sh.600820,5.22038016,5.3326464,5.22038016,5.26715776,19050102
2023-10-13,sh.600820,5.25780224,5.26715776,5.22038016,5.2390912,10144299
2023-10-16,sh.600820,5.24844672,5.30457984,5.22038016,5.26715776,11940757
2023-10-17,sh.600820,5.27651328,5.379424,5.24844672,5.36071296,18809898
2023-10-18,sh.600820,5.35135744,5.35135744,5.24844672,5.24844672,12692233
2023-10-19,sh.600820,5.2390912,5.26715776,5.20166912,5.20166912,12271683
2023-10-20,sh.600820,5.20166912,5.2390912,5.17360256,5.18295808,12200698
2023-10-23,sh.600820,5.16424704,5.17360256,5.02391424,5.0519808,15383846
2023-10-24,sh.600820,5.07069184,5.0987584,5.03326976,5.08940288,15204426
2023-10-25,sh.600820,5.1923136,5.31393536,5.1923136,5.29522432,28109794
2023-10-26,sh.600820,5.27651328,5.32329088,5.2390912,5.29522432,14973834
2023-10-27,sh.600820,5.27651328,5.30457984,5.2390912,5.2858688,15965200
2023-10-30,sh.600820,5.26715776,5.30457984,5.22038016,5.26715776,24540533
2023-10-31,sh.600820,5.24844672,5.32329088,5.2390912,5.26715776,11869390
2023-11-01,sh.600820,5.26715776,5.27651328,5.18295808,5.1923136,17358400
2023-11-02,sh.600820,5.1923136,5.22038016,5.16424704,5.1923136,16017164
2023-11-03,sh.600820,5.18295808,5.22038016,5.17360256,5.18295808,13924302
2023-11-06,sh.600820,5.1923136,5.25780224,5.1923136,5.2390912,18648450
2023-11-07,sh.600820,5.22973568,5.24844672,5.20166912,5.2390912,10107500
2023-11-08,sh.600820,5.22973568,5.24844672,5.18295808,5.20166912,13687902
2023-11-09,sh.600820,5.1923136,5.22973568,5.17360256,5.18295808,9866622
2023-11-10,sh.600820,5.17360256,5.18295808,5.12682496,5.145536,11755232
2023-11-13,sh.600820,5.13618048,5.18295808,5.0987584,5.17360256,12792091
2023-11-14,sh.600820,5.17360256,5.22973568,5.16424704,5.1923136,10965446
2023-11-15,sh.600820,5.22038016,5.22973568,5.17360256,5.18295808,10359140
2023-11-16,sh.600820,5.1923136,5.1923136,5.12682496,5.13618048,9390048
2023-11-17,sh.600820,5.13618048,5.16424704,5.12682496,5.145536,9598589
2023-11-20,sh.600820,5.15489152,5.18295808,5.10811392,5.13618048,11790200
2023-11-21,sh.600820,5.13618048,5.20166912,5.13618048,5.145536,17070100
2023-11-22,sh.600820,5.13618048,5.17360256,5.11746944,5.11746944,10371872
2023-11-23,sh.600820,5.11746944,5.18295808,5.08940288,5.17360256,14143644
2023-11-24,sh.600820,5.16424704,5.1923136,5.13618048,5.15489152,12317700
2023-11-27,sh.600820,5.145536,5.15489152,5.08004736,5.11746944,13267342
2023-11-28,sh.600820,5.10811392,5.15489152,5.08940288,5.145536,11067261
2023-11-29,sh.600820,5.13618048,5.15489152,5.07069184,5.08004736,16469961
2023-11-30,sh.600820,5.0991064,5.12769952,5.06098224,5.08004432,12214800
2023-12-01,sh.600820,5.08957536,5.17535472,5.08957536,5.13723056,16169600
2023-12-04,sh.600820,5.16582368,5.17535472,5.12769952,5.1467616,9730558
2023-12-05,sh.600820,5.1467616,5.16582368,5.0991064,5.10863744,9790600
2023-12-06,sh.600820,5.08004432,5.13723056,5.06098224,5.11816848,11580402
2023-12-07,sh.600820,5.10863744,5.15629264,5.08957536,5.13723056,11165951
2023-12-08,sh.600820,5.12769952,5.21347888,5.12769952,5.1467616,28442857
2023-12-11,sh.600820,5.13723056,5.18488576,5.01332704,5.16582368,26830098
2023-12-12,sh.600820,5.15629264,5.20394784,5.1467616,5.1944168,17640531
2023-12-13,sh.600820,5.1944168,5.21347888,5.1467616,5.1467616,10778200
2023-12-14,sh.600820,5.16582368,5.21347888,5.15629264,5.18488576,12651552
2023-12-15,sh.600820,5.20394784,5.22300992,5.17535472,5.1944168,13760900
2023-12-18,sh.600820,5.4326928,5.50894112,5.30878928,5.31832032,76136737
2023-12-19,sh.600820,5.2897272,5.37550656,5.18488576,5.27066512,40743218
2023-12-20,sh.600820,5.26113408,5.50894112,5.242072,5.39456864,63598471
2023-12-21,sh.600820,5.39456864,5.69956192,5.39456864,5.61378256,75316756
2023-12-22,sh.600820,5.5756584,5.63284464,5.48987904,5.5280032,66398409
2023-12-25,sh.600820,5.51847216,5.51847216,5.3850376,5.42316176,30688328
2023-12-26,sh.600820,5.40409968,5.45175488,5.36597552,5.41363072,17770174
2023-12-27,sh.600820,5.42316176,5.5280032,5.39456864,5.49941008,31498605
2023-12-28,sh.600820,5.49941008,5.51847216,5.4326928,5.45175488,31960420
2023-12-29,sh.600820,5.46128592,5.51847216,5.40409968,5.48987904,32080737
2024-01-02,sh.600820,5.41363072,5.53753424,5.41363072,5.51847216,24037800
2024-01-03,sh.600820,5.49941008,5.66143776,5.49941008,5.65190672,36863962
2024-01-04,sh.600820,5.63284464,5.68049984,5.56612736,5.6233136,22528200
2024-01-05,sh.600820,5.65190672,5.8139344,5.61378256,5.69003088,43145973
2024-01-08,sh.600820,5.68049984,5.69956192,5.60425152,5.63284464,30167073
2024-01-09,sh.600820,5.63284464,5.78534128,5.63284464,5.74721712,34961829
2024-01-10,sh.600820,5.75674816,5.75674816,5.65190672,5.6709688,23674368
2024-01-11,sh.600820,5.66143776,5.73768608,5.60425152,5.6233136,38513344
2024-01-12,sh.600820,5.61378256,5.74721712,5.60425152,5.66143776,25702848
2024-01-15,sh.600820,5.718624,5.73768608,5.64237568,5.68049984,16116118
2024-01-16,sh.600820,5.68049984,5.69003088,5.58518944,5.6709688,26352490
2024-01-17,sh.600820,5.68049984,5.69003088,5.59472048,5.59472048,16674400
2024-01-18,sh.600820,5.59472048,5.59472048,5.41363072,5.5280032,39751532
2024-01-19,sh.600820,5.5280032,5.54706528,5.40409968,5.44222384,21833728
2024-01-22,sh.600820,5.42316176,5.44222384,5.17535472,5.1944168,32701400
2024-01-23,sh.600820,5.22300992,5.25160304,5.08957536,5.21347888,32906586
2024-01-24,sh.600820,5.25160304,5.4326928,5.22300992,5.4326928,34498402
2024-01-25,sh.600820,5.45175488,5.7662792,5.44222384,5.75674816,59056448
2024-01-26,sh.600820,5.75674816,5.84252752,5.73768608,5.8139344,44938105
2024-01-29,sh.600820,5.8139344,5.94736896,5.78534128,5.82346544,50415175
2024-01-30,sh.600820,5.77581024,5.88065168,5.69003088,5.718624,37462200
2024-01-31,sh.600820,5.6709688,5.74721712,5.58518944,5.66143776,43479058
2024-02-01,sh.600820,5.60425152,5.65190672,5.480348,5.50894112,44304142
2024-02-02,sh.600820,5.49941008,5.61378256,5.2897272,5.41363072,48269100
2024-02-05,sh.600820,5.3373824,5.4326928,5.13723056,5.27066512,58138391
2024-02-06,sh.600820,5.26113408,5.480348,5.21347888,5.47081696,53323421
2024-02-07,sh.600820,5.480348,5.8139344,5.4326928,5.8139344,75655292
2024-02-08,sh.600820,5.84252752,6.0045552,5.73768608,5.75674816,69088876
2024-02-19,sh.600820,5.91877584,5.91877584,5.70909296,5.74721712,48374514
2024-02-20,sh.600820,5.73768608,5.82346544,5.72815504,5.78534128,32878309
2024-02-21,sh.600820,5.7662792,5.92830688,5.73768608,5.8139344,45721737
2024-02-22,sh.600820,5.80440336,5.85205856,5.73768608,5.82346544,34867785
2024-02-23,sh.600820,5.8139344,5.89018272,5.78534128,5.8615896,37848814
2024-02-26,sh.600820,5.85205856,5.85205856,5.70909296,5.72815504,43627143
2024-02-27,sh.600820,5.70909296,5.83299648,5.69003088,5.83299648,30270802
2024-02-28,sh.600820,5.83299648,5.91877584,5.78534128,5.80440336,40336527
2024-02-29,sh.600820,5.7662792,5.9092448,5.75674816,5.9092448,36098553
2024-03-01,sh.600820,5.93783792,6.01408624,5.89971376,5.92830688,36567144
2024-03-04,sh.600820,5.89971376,5.96643104,5.79487232,5.94736896,40031646
2024-03-05,sh.600820,5.93783792,5.93783792,5.8615896,5.9092448,27868798
2024-03-06,sh.600820,5.89971376,5.91877584,5.84252752,5.8615896,24648100
2024-03-07,sh.600820,5.85205856,5.93783792,5.82346544,5.8615896,30505666
