date,stock_code,open,high,low,close,volume
2023-07-03,sh.600177,5.60966022,5.688423,5.58340596,5.62716306,11242366
2023-07-04,sh.600177,5.63591448,5.63591448,5.57465454,5.58340596,5960039
2023-07-05,sh.600177,5.58340596,5.63591448,5.58340596,5.61841164,7175503
2023-07-06,sh.600177,5.61841164,5.63591448,5.58340596,5.58340596,5265944
2023-07-07,sh.600177,5.58340596,5.62716306,5.58340596,5.6009088,4527708
2023-07-10,sh.600177,5.60966022,5.63591448,5.6009088,5.63591448,5555264
2023-07-11,sh.600177,5.62716306,5.6446659,5.60966022,5.62716306,4749240
2023-07-12,sh.600177,5.62716306,5.6446659,5.61841164,5.61841164,5284625
2023-07-13,sh.600177,5.63591448,5.688423,5.61841164,5.688423,8578503
2023-07-14,sh.600177,5.67967158,5.72342868,5.67092016,5.70592584,7954674
2023-07-17,sh.600177,5.70592584,5.71467726,5.65341732,5.71467726,7177360
2023-07-18,sh.600177,5.71467726,5.74968294,5.69717442,5.7321801,8378819
2023-07-19,sh.600177,5.74093152,5.74968294,5.70592584,5.74093152,5570428
2023-07-20,sh.600177,5.74968294,5.78468862,5.74093152,5.75843436,8726491
2023-07-21,sh.600177,5.74968294,5.81094288,5.74093152,5.81094288,9060126
2023-07-24,sh.600177,5.80219146,5.84594856,5.7759372,5.83719714,10597930
2023-07-25,sh.600177,5.84594856,5.89845708,5.84594856,5.88970566,10661691
2023-07-26,sh.600177,5.88095424,5.97721986,5.87220282,5.96846844,16418324
2023-07-27,sh.600177,5.96846844,6.13474542,5.95971702,6.01222554,21269347
2023-07-28,sh.600177,6.01222554,6.15224826,6.00347412,6.14349684,22693868
2023-07-31,sh.600177,6.19600536,6.26601672,6.15224826,6.24851388,23349722
2023-08-01,sh.600177,6.27476814,6.27476814,6.17850252,6.2135082,16067922
2023-08-02,sh.600177,6.19600536,6.24851388,6.15224826,6.17850252,12767092
2023-08-03,sh.600177,6.18725394,6.24851388,6.1697511,6.23976246,13460680
2023-08-04,sh.600177,6.24851388,6.3010224,6.2135082,6.22225962,12857977
2023-08-07,sh.600177,6.22225962,6.22225962,6.125994,6.15224826,15033516
2023-08-08,sh.600177,6.1697511,6.18725394,6.13474542,6.17850252,11716130
2023-08-09,sh.600177,6.1697511,6.19600536,6.125994,6.15224826,8293980
2023-08-10,sh.600177,6.15224826,6.18725394,6.13474542,6.15224826,5691842
2023-08-11,sh.600177,6.17850252,6.18725394,6.09098832,6.09098832,9776379
2023-08-14,sh.600177,6.09098832,6.09098832,6.01222554,6.04723122,12747768
2023-08-15,sh.600177,6.04723122,6.125994,6.04723122,6.10849116,10601861
2023-08-16,sh.600177,6.11724258,6.14349684,6.07348548,6.09973974,7354423
2023-08-17,sh.600177,6.0822369,6.14349684,6.05598264,6.11724258,13626097
2023-08-18,sh.600177,6.10849116,6.17850252,6.09098832,6.09973974,8754263
2023-08-21,sh.600177,6.15224826,6.16099968,6.05598264,6.05598264,9669784
2023-08-22,sh.600177,6.06473406,6.09098832,6.01222554,6.05598264,9140672
2023-08-23,sh.600177,6.06473406,6.0822369,6.01222554,6.02097696,7819368
2023-08-24,sh.600177,6.02972838,6.0384798,5.95971702,5.95971702,11000345
2023-08-25,sh.600177,5.95971702,6.07348548,5.9509656,6.02972838,10648123
2023-08-28,sh.600177,6.30977382,6.30977382,6.0384798,6.0384798,18719797
2023-08-29,sh.600177,6.06473406,6.125994,6.02972838,6.09973974,14989389
2023-08-30,sh.600177,6.09973974,6.13474542,6.04723122,6.04723122,9090134
2023-08-31,sh.600177,6.09098832,6.14349684,6.0384798,6.0822369,13702896
2023-09-01,sh.600177,6.05598264,6.13474542,6.05598264,6.125994,10783247
2023-09-04,sh.600177,6.13474542,6.24851388,6.11724258,6.22225962,16000731
2023-09-05,sh.600177,6.20475678,6.23976246,6.15224826,6.1697511,8953467
2023-09-06,sh.600177,6.15224826,6.23976246,6.14349684,6.22225962,8697776
2023-09-07,sh.600177,6.2135082,6.23976246,6.17850252,6.18725394,8398940
2023-09-08,sh.600177,6.18725394,6.24851388,6.16099968,6.20475678,8486882
2023-09-11,sh.600177,6.2135082,6.26601672,6.2135082,6.2135082,12604292
2023-09-12,sh.600177,6.22225962,6.23101104,6.1697511,6.2135082,10337603
2023-09-13,sh.600177,6.20475678,6.23101104,6.18725394,6.20475678,7722606
2023-09-14,sh.600177,6.2135082,6.28351956,6.19600536,6.27476814,14880117
2023-09-15,sh.600177,6.26601672,6.29227098,6.22225962,6.23976246,10954595
2023-09-18,sh.600177,6.2572653,6.3010224,6.23101104,6.3010224,14475034
