date,stock_code,open,high,low,close,volume
2023-07-03,sz.002958,2.54685249,2.56551075,2.53752336,2.56551075,30371126
2023-07-04,sz.002958,2.56551075,2.56551075,2.54685249,2.55618162,12683631
2023-07-05,sz.002958,2.55618162,2.56551075,2.53752336,2.55618162,11653600
2023-07-06,sz.002958,2.54685249,2.55618162,2.52819423,2.53752336,14438473
2023-07-07,sz.002958,2.52819423,2.54685249,2.52819423,2.53752336,15454475
2023-07-10,sz.002958,2.53752336,2.54685249,2.52819423,2.53752336,10381717
2023-07-11,sz.002958,2.54685249,2.54685249,2.53752336,2.54685249,9761100
2023-07-12,sz.002958,2.55618162,2.56551075,2.54685249,2.54685249,14522900
2023-07-13,sz.002958,2.54685249,2.56551075,2.54685249,2.56551075,12258300
2023-07-14,sz.002958,2.56551075,2.56551075,2.54685249,2.55618162,11122500
2023-07-17,sz.002958,2.54685249,2.55618162,2.53752336,2.54685249,10257400
2023-07-18,sz.002958,2.54685249,2.55618162,2.53752336,2.55618162,9955000
2023-07-19,sz.002958,2.54685249,2.55618162,2.54685249,2.55618162,10767000
2023-07-20,sz.002958,2.55618162,2.56551075,2.54685249,2.54685249,14488683
2023-07-21,sz.002958,2.54685249,2.56551075,2.54685249,2.56551075,15130483
2023-07-24,sz.002958,2.56551075,2.56551075,2.55618162,2.56551075,8609800
2023-07-25,sz.002958,2.56551075,2.62148553,2.56551075,2.60282727,46739021
2023-07-26,sz.002958,2.59349814,2.6121564,2.58416901,2.6121564,29380854
2023-07-27,sz.002958,2.6121564,2.65880205,2.60282727,2.63081466,42075402
2023-07-28,sz.002958,2.62148553,2.78940987,2.6121564,2.75209335,116590286
2023-07-31,sz.002958,2.74276422,2.85471378,2.73343509,2.798739,113992796
2023-08-01,sz.002958,2.78008074,2.93867595,2.76142248,2.83605552,156749598
2023-08-02,sz.002958,2.798739,2.85471378,2.798739,2.82672639,91254684
2023-08-03,sz.002958,2.82672639,2.91068856,2.80806813,2.88270117,98163287
2023-08-04,sz.002958,2.88270117,2.92934682,2.84538465,2.86404291,137225461
2023-08-07,sz.002958,2.83605552,2.83605552,2.798739,2.81739726,70500295
2023-08-08,sz.002958,2.81739726,2.82672639,2.78008074,2.78940987,42917253
2023-08-09,sz.002958,2.798739,2.81739726,2.77075161,2.798739,40568350
2023-08-10,sz.002958,2.78940987,2.81739726,2.78008074,2.798739,29526300
2023-08-11,sz.002958,2.80806813,2.80806813,2.74276422,2.75209335,48157325
2023-08-14,sz.002958,2.73343509,2.74276422,2.69611857,2.71477683,37262867
2023-08-15,sz.002958,2.71477683,2.73343509,2.68678944,2.71477683,29193350
2023-08-16,sz.002958,2.72410596,2.74276422,2.69611857,2.72410596,27260723
2023-08-17,sz.002958,2.72410596,2.73343509,2.68678944,2.7054477,26300959
2023-08-18,sz.002958,2.7054477,2.75209335,2.69611857,2.72410596,37778392
2023-08-21,sz.002958,2.72410596,2.72410596,2.66813118,2.67746031,30132300
2023-08-22,sz.002958,2.68678944,2.7054477,2.65880205,2.68678944,27418424
2023-08-23,sz.002958,2.69611857,2.71477683,2.66813118,2.67746031,28705600
2023-08-24,sz.002958,2.68678944,2.69611857,2.64947292,2.64947292,25767181
2023-08-25,sz.002958,2.65880205,2.7054477,2.64014379,2.67746031,39696187
2023-08-28,sz.002958,2.82672639,2.85471378,2.71477683,2.73343509,63538900
2023-08-29,sz.002958,2.7054477,2.72410596,2.62148553,2.64947292,98181024
2023-08-30,sz.002958,2.64014379,2.64947292,2.59349814,2.59349814,61409600
2023-08-31,sz.002958,2.60282727,2.6121564,2.56551075,2.57483988,51168500
2023-09-01,sz.002958,2.58416901,2.60282727,2.57483988,2.58416901,27397300
2023-09-04,sz.002958,2.58416901,2.64014379,2.58416901,2.63081466,47566500
2023-09-05,sz.002958,2.62148553,2.63081466,2.58416901,2.59349814,35796200
2023-09-06,sz.002958,2.59349814,2.6121564,2.58416901,2.60282727,23399005
2023-09-07,sz.002958,2.59349814,2.6121564,2.57483988,2.58416901,29489269
2023-09-08,sz.002958,2.57483988,2.58416901,2.56551075,2.56551075,26780953
2023-09-11,sz.002958,2.57483988,2.59349814,2.56551075,2.59349814,22380595
2023-09-12,sz.002958,2.58416901,2.60282727,2.57483988,2.59349814,18993301
2023-09-13,sz.002958,2.59349814,2.6121564,2.57483988,2.58416901,28297844
2023-09-14,sz.002958,2.58416901,2.60282727,2.58416901,2.59349814,25026109
2023-09-15,sz.002958,2.60282727,2.62148553,2.59349814,2.60282727,35896978
2023-09-18,sz.002958,2.59349814,2.6121564,2.58416901,2.60282727,38310208
2023-09-19,sz.002958,2.60282727,2.62148553,2.59349814,2.6121564,26970130
2023-09-20,sz.002958,2.62148553,2.63081466,2.60282727,2.62148553,29396931
2023-09-21,sz.002958,2.63081466,2.63081466,2.60282727,2.6121564,27432900
2023-09-22,sz.002958,2.60282727,2.63081466,2.59349814,2.63081466,34504605
2023-09-25,sz.002958,2.62148553,2.64014379,2.6121564,2.6121564,30846900
2023-09-26,sz.002958,2.62148553,2.63081466,2.60282727,2.60282727,23511900
2023-09-27,sz.002958,2.6121564,2.62148553,2.59349814,2.60282727,21222867
2023-09-28,sz.002958,2.60282727,2.6121564,2.58416901,2.59349814,22348900
2023-10-09,sz.002958,2.58416901,2.59349814,2.54685249,2.54685249,39642404
2023-10-10,sz.002958,2.55618162,2.57483988,2.55618162,2.55618162,28287113
2023-10-11,sz.002958,2.55618162,2.56551075,2.53752336,2.53752336,26465300
2023-10-12,sz.002958,2.56551075,2.59349814,2.55618162,2.55618162,35803903
2023-10-13,sz.002958,2.54685249,2.57483988,2.53752336,2.55618162,24634000
2023-10-16,sz.002958,2.55618162,2.56551075,2.54685249,2.55618162,18949600
2023-10-17,sz.002958,2.55618162,2.58416901,2.55618162,2.56551075,21845300
2023-10-18,sz.002958,2.57483988,2.58416901,2.53752336,2.53752336,25547600
2023-10-19,sz.002958,2.53752336,2.54685249,2.49087771,2.49087771,43283500
2023-10-20,sz.002958,2.49087771,2.50953597,2.47221945,2.50020684,21196700
2023-10-23,sz.002958,2.48154858,2.49087771,2.44423206,2.45356119,22980600
2023-10-24,sz.002958,2.45356119,2.47221945,2.44423206,2.46289032,23450650
2023-10-25,sz.002958,2.48154858,2.50020684,2.47221945,2.49087771,23921726
2023-10-26,sz.002958,2.48154858,2.50020684,2.47221945,2.49087771,19385700
2023-10-27,sz.002958,2.48154858,2.50953597,2.47221945,2.50020684,26760169
2023-10-30,sz.002958,2.50020684,2.52819423,2.50020684,2.5188651,29944206
2023-10-31,sz.002958,2.5188651,2.53752336,2.50953597,2.52819423,23043203
2023-11-01,sz.002958,2.53752336,2.53752336,2.50953597,2.5188651,19267700
2023-11-02,sz.002958,2.52819423,2.53752336,2.5188651,2.5188651,16526000
2023-11-03,sz.002958,2.5188651,2.53752336,2.50953597,2.50953597,20866929
2023-11-06,sz.002958,2.5188651,2.53752336,2.50953597,2.52819423,23294887
2023-11-07,sz.002958,2.52819423,2.53752336,2.5188651,2.52819423,19795500
2023-11-08,sz.002958,2.52819423,2.52819423,2.49087771,2.50020684,31788500
2023-11-09,sz.002958,2.50020684,2.5188651,2.49087771,2.50020684,15408200
2023-11-10,sz.002958,2.50020684,2.50953597,2.48154858,2.49087771,17554400
2023-11-13,sz.002958,2.49087771,2.50020684,2.47221945,2.49087771,20434525
2023-11-14,sz.002958,2.49087771,2.5188651,2.49087771,2.50953597,28883567
2023-11-15,sz.002958,2.52819423,2.52819423,2.50953597,2.5188651,18909300
2023-11-16,sz.002958,2.5188651,2.5188651,2.49087771,2.50020684,17958100
2023-11-17,sz.002958,2.49087771,2.50953597,2.49087771,2.49087771,15816600
2023-11-20,sz.002958,2.50020684,2.50953597,2.49087771,2.50020684,14572550
2023-11-21,sz.002958,2.50953597,2.52819423,2.50020684,2.50953597,26641234
2023-11-22,sz.002958,2.50953597,2.5188651,2.50020684,2.50020684,18552600
2023-11-23,sz.002958,2.50020684,2.5188651,2.49087771,2.5188651,17962271
2023-11-24,sz.002958,2.50953597,2.52819423,2.50953597,2.5188651,24648790
2023-11-27,sz.002958,2.5188651,2.5188651,2.49087771,2.50020684,21267400
2023-11-28,sz.002958,2.50020684,2.50953597,2.49087771,2.50020684,20335912
2023-11-29,sz.002958,2.50020684,2.50953597,2.47221945,2.47221945,29121314
2023-11-30,sz.002958,2.47221945,2.49087771,2.47221945,2.47221945,18968448
2023-12-01,sz.002958,2.47221945,2.49087771,2.47221945,2.49087771,28338069
2023-12-04,sz.002958,2.49087771,2.50020684,2.47221945,2.49087771,19206600
2023-12-05,sz.002958,2.49087771,2.49087771,2.46289032,2.46289032,23009856
2023-12-06,sz.002958,2.46289032,2.47221945,2.45356119,2.46289032,22564650
2023-12-07,sz.002958,2.46289032,2.47221945,2.45356119,2.47221945,17518262
2023-12-08,sz.002958,2.47221945,2.48154858,2.46289032,2.47221945,28465404
2023-12-11,sz.002958,2.46289032,2.48154858,2.4255738,2.47221945,38501174
2023-12-12,sz.002958,2.46289032,2.50020684,2.46289032,2.49087771,29876270
2023-12-13,sz.002958,2.48154858,2.49087771,2.47221945,2.47221945,16623269
2023-12-14,sz.002958,2.48154858,2.48154858,2.47221945,2.47221945,12970400
2023-12-15,sz.002958,2.47221945,2.49087771,2.45356119,2.46289032,26702921
2023-12-18,sz.002958,2.45356119,2.47221945,2.43490293,2.44423206,28608969
2023-12-19,sz.002958,2.43490293,2.45356119,2.4255738,2.43490293,18560751
2023-12-20,sz.002958,2.43490293,2.45356119,2.4255738,2.4255738,20636034
2023-12-21,sz.002958,2.4255738,2.43490293,2.39758641,2.41624467,29513168
2023-12-22,sz.002958,2.41624467,2.4255738,2.39758641,2.41624467,27523674
2023-12-25,sz.002958,2.41624467,2.4255738,2.39758641,2.39758641,15981655
2023-12-26,sz.002958,2.39758641,2.39758641,2.36959902,2.38825728,22478166
2023-12-27,sz.002958,2.38825728,2.40691554,2.37892815,2.39758641,15151375
2023-12-28,sz.002958,2.39758641,2.44423206,2.38825728,2.43490293,22401881
2023-12-29,sz.002958,2.43490293,2.47221945,2.43490293,2.44423206,25295400
2024-01-02,sz.002958,2.44423206,2.46289032,2.43490293,2.44423206,22800333
2024-01-03,sz.002958,2.44423206,2.46289032,2.44423206,2.45356119,15361900
2024-01-04,sz.002958,2.45356119,2.46289032,2.43490293,2.45356119,20395700
2024-01-05,sz.002958,2.44423206,2.50020684,2.44423206,2.48154858,54719451
2024-01-08,sz.002958,2.47221945,2.48154858,2.43490293,2.43490293,32429000
2024-01-09,sz.002958,2.43490293,2.46289032,2.40691554,2.45356119,25732000
2024-01-10,sz.002958,2.44423206,2.47221945,2.43490293,2.45356119,20138615
2024-01-11,sz.002958,2.45356119,2.48154858,2.43490293,2.46289032,24447958
2024-01-12,sz.002958,2.46289032,2.5188651,2.46289032,2.49087771,35358813
2024-01-15,sz.002958,2.48154858,2.5188651,2.48154858,2.50953597,23750400
2024-01-16,sz.002958,2.49087771,2.50953597,2.45356119,2.50953597,67380700
2024-01-17,sz.002958,2.50020684,2.53752336,2.48154858,2.48154858,61573733
2024-01-18,sz.002958,2.47221945,2.48154858,2.39758641,2.45356119,59414433
2024-01-19,sz.002958,2.45356119,2.48154858,2.44423206,2.46289032,40168144
2024-01-22,sz.002958,2.45356119,2.46289032,2.36959902,2.36959902,60295001
2024-01-23,sz.002958,2.37892815,2.41624467,2.35094076,2.38825728,42092956
2024-01-24,sz.002958,2.39758641,2.45356119,2.37892815,2.44423206,55213353
2024-01-25,sz.002958,2.44423206,2.49087771,2.43490293,2.48154858,54493892
2024-01-26,sz.002958,2.48154858,2.54685249,2.48154858,2.53752336,87937730
2024-01-29,sz.002958,2.55618162,2.56551075,2.50953597,2.5188651,76817575
2024-01-30,sz.002958,2.50020684,2.5188651,2.46289032,2.47221945,65457500
2024-01-31,sz.002958,2.46289032,2.48154858,2.41624467,2.43490293,59771175
2024-02-01,sz.002958,2.4255738,2.44423206,2.39758641,2.40691554,50505300
2024-02-02,sz.002958,2.41624467,2.44423206,2.35094076,2.38825728,68081852
2024-02-05,sz.002958,2.37892815,2.40691554,2.31362424,2.36959902,89211497
2024-02-06,sz.002958,2.35094076,2.45356119,2.34161163,2.44423206,105165445
2024-02-07,sz.002958,2.44423206,2.56551075,2.43490293,2.55618162,137384671
2024-02-08,sz.002958,2.54685249,2.58416901,2.5188651,2.52819423,98549807
2024-02-19,sz.002958,2.53752336,2.55618162,2.50953597,2.52819423,69239870
