date,stock_code,open,high,low,close,volume
2023-07-03,sz.000959,3.4415605,3.49072565,3.43172747,3.48089262,12318075
2023-07-04,sz.000959,3.49072565,3.50055868,3.46122656,3.48089262,8912019
2023-07-05,sz.000959,3.48089262,3.51039171,3.47105959,3.51039171,9677593
2023-07-06,sz.000959,3.51039171,3.51039171,3.47105959,3.48089262,6180800
2023-07-07,sz.000959,3.48089262,3.51039171,3.46122656,3.50055868,7720355
2023-07-10,sz.000959,3.50055868,3.52022474,3.48089262,3.49072565,6416472
2023-07-11,sz.000959,3.49072565,3.53005777,3.49072565,3.51039171,7779454
2023-07-12,sz.000959,3.52022474,3.52022474,3.48089262,3.48089262,6010051
2023-07-13,sz.000959,3.49072565,3.52022474,3.49072565,3.52022474,7241699
2023-07-14,sz.000959,3.52022474,3.5398908,3.50055868,3.51039171,7724994
2023-07-17,sz.000959,3.53005777,3.53005777,3.49072565,3.52022474,7857400
2023-07-18,sz.000959,3.52022474,3.55955686,3.50055868,3.54972383,10566944
2023-07-19,sz.000959,3.5398908,3.56938989,3.53005777,3.56938989,7331285
2023-07-20,sz.000959,3.58905595,3.58905595,3.55955686,3.55955686,5939421
2023-07-21,sz.000959,3.54972383,3.57922292,3.54972383,3.56938989,8183999
2023-07-24,sz.000959,3.56938989,3.58905595,3.55955686,3.57922292,8574395
2023-07-25,sz.000959,3.58905595,3.67755322,3.58905595,3.67755322,17487560
2023-07-26,sz.000959,3.66772019,3.74638443,3.66772019,3.74638443,21103593
2023-07-27,sz.000959,3.72671837,3.91354594,3.69721928,3.85454776,59516567
2023-07-28,sz.000959,3.86438079,3.98237715,3.80538261,3.96271109,44008634
2023-07-31,sz.000959,3.98237715,4.01187624,3.92337897,3.95287806,39103783
2023-08-01,sz.000959,3.95287806,4.07087442,3.94304503,4.0315423,37021009
2023-08-02,sz.000959,4.01187624,4.02170927,3.97254412,4.01187624,22180853
2023-08-03,sz.000959,4.00204321,4.01187624,3.94304503,3.99221018,44921500
2023-08-04,sz.000959,4.00204321,4.05120836,3.97254412,3.99221018,19564548
2023-08-07,sz.000959,3.98237715,3.99221018,3.933212,3.95287806,17073544
2023-08-08,sz.000959,3.95287806,3.98237715,3.90371291,3.94304503,14842990
2023-08-09,sz.000959,3.933212,3.95287806,3.90371291,3.933212,10358292
