date,stock_code,open,high,low,close,volume
2023-07-03,sh.600808,2.55015446,2.5799228,2.55015446,2.57000002,16984593
2023-07-04,sh.600808,2.5799228,2.58984558,2.56007724,2.57000002,12314855
2023-07-05,sh.600808,2.57000002,2.58984558,2.56007724,2.5799228,24338215
2023-07-06,sh.600808,2.5799228,2.58984558,2.55015446,2.57000002,17025470
2023-07-07,sh.600808,2.57000002,2.5799228,2.55015446,2.5799228,14150394
2023-07-10,sh.600808,2.57000002,2.5799228,2.55015446,2.56007724,13229917
2023-07-11,sh.600808,2.57000002,2.57000002,2.55015446,2.56007724,10529512
2023-07-12,sh.600808,2.56007724,2.57000002,2.55015446,2.55015446,11187121
2023-07-13,sh.600808,2.55015446,2.57000002,2.54023168,2.57000002,17730950
2023-07-14,sh.600808,2.57,2.6,2.57,2.58,18532995
2023-07-17,sh.600808,2.57,2.57,2.53,2.54,13001510
2023-07-18,sh.600808,2.55,2.57,2.54,2.55,11153821
2023-07-19,sh.600808,2.56,2.58,2.55,2.57,13330550
2023-07-20,sh.600808,2.57,2.58,2.56,2.56,11039201
2023-07-21,sh.600808,2.56,2.58,2.55,2.58,14557353
2023-07-24,sh.600808,2.58,2.59,2.56,2.57,14454970
2023-07-25,sh.600808,2.58,2.62,2.58,2.62,25165062
2023-07-26,sh.600808,2.62,2.71,2.61,2.7,59371272
2023-07-27,sh.600808,2.69,2.84,2.66,2.78,99327829
2023-07-28,sh.600808,2.77,2.88,2.77,2.87,75567453
2023-07-31,sh.600808,2.87,2.93,2.86,2.88,64058473
2023-08-01,sh.600808,2.89,3.04,2.88,2.98,92394897
2023-08-02,sh.600808,2.96,2.96,2.91,2.92,38863991
2023-08-03,sh.600808,2.93,2.97,2.88,2.97,45165640
2023-08-04,sh.600808,2.97,3.0,2.9,2.91,47271366
2023-08-07,sh.600808,2.91,2.92,2.83,2.86,35137200
2023-08-08,sh.600808,2.86,2.88,2.83,2.85,18995363
2023-08-09,sh.600808,2.84,2.86,2.81,2.82,19139155
2023-08-10,sh.600808,2.82,2.85,2.8,2.82,19189355
2023-08-11,sh.600808,2.81,2.83,2.76,2.76,25043540
2023-08-14,sh.600808,2.75,2.79,2.74,2.78,21790601
2023-08-15,sh.600808,2.78,2.79,2.73,2.76,21988043
2023-08-16,sh.600808,2.75,2.81,2.73,2.77,22238749
2023-08-17,sh.600808,2.76,2.77,2.71,2.75,26671929
2023-08-18,sh.600808,2.74,2.82,2.73,2.73,25326137
2023-08-21,sh.600808,2.73,2.76,2.69,2.7,26299960
2023-08-22,sh.600808,2.71,2.73,2.67,2.72,22292148
2023-08-23,sh.600808,2.72,2.73,2.68,2.68,17429700
2023-08-24,sh.600808,2.69,2.72,2.65,2.65,24574200
2023-08-25,sh.600808,2.65,2.72,2.63,2.69,31372101
2023-08-28,sh.600808,2.77,2.86,2.76,2.78,58381242
2023-08-29,sh.600808,2.77,2.79,2.7,2.71,49983000
2023-08-30,sh.600808,2.71,2.72,2.64,2.65,38995600
2023-08-31,sh.600808,2.63,2.66,2.58,2.6,34370198
2023-09-01,sh.600808,2.61,2.66,2.6,2.64,29425943
2023-09-04,sh.600808,2.65,2.84,2.65,2.81,77623740
2023-09-05,sh.600808,2.84,2.85,2.75,2.76,37176295
2023-09-06,sh.600808,2.76,2.78,2.68,2.7,33975597
2023-09-07,sh.600808,2.71,2.72,2.64,2.65,27473870
2023-09-08,sh.600808,2.64,2.66,2.63,2.63,18505801
2023-09-11,sh.600808,2.65,2.67,2.63,2.65,21829900
2023-09-12,sh.600808,2.65,2.67,2.63,2.64,19986370
2023-09-13,sh.600808,2.64,2.68,2.63,2.65,19438648
2023-09-14,sh.600808,2.65,2.68,2.64,2.68,23388667
2023-09-15,sh.600808,2.68,2.76,2.68,2.72,33186477
2023-09-18,sh.600808,2.72,2.72,2.67,2.71,33932271
2023-09-19,sh.600808,2.71,2.75,2.7,2.74,30571193
2023-09-20,sh.600808,2.74,2.77,2.73,2.75,27059921
2023-09-21,sh.600808,2.74,2.76,2.72,2.73,23694500
2023-09-22,sh.600808,2.72,2.73,2.66,2.69,37032015
2023-09-25,sh.600808,2.69,2.71,2.67,2.68,26265778
2023-09-26,sh.600808,2.68,2.69,2.65,2.66,22326650
2023-09-27,sh.600808,2.66,2.69,2.65,2.68,26395900
2023-09-28,sh.600808,2.68,2.69,2.64,2.64,25079148
2023-10-09,sh.600808,2.64,2.66,2.61,2.64,22797195
2023-10-10,sh.600808,2.64,2.66,2.61,2.61,22608921
2023-10-11,sh.600808,2.63,2.63,2.59,2.59,20237100
2023-10-12,sh.600808,2.6,2.66,2.59,2.65,32094914
2023-10-13,sh.600808,2.64,2.66,2.63,2.64,18206356
2023-10-16,sh.600808,2.65,2.66,2.62,2.64,17159800
2023-10-17,sh.600808,2.64,2.68,2.63,2.64,16118674
2023-10-18,sh.600808,2.63,2.64,2.59,2.6,21291874
2023-10-19,sh.600808,2.59,2.61,2.57,2.58,18202800
2023-10-20,sh.600808,2.57,2.6,2.57,2.58,14623345
2023-10-23,sh.600808,2.57,2.58,2.51,2.51,21203730
2023-10-24,sh.600808,2.52,2.54,2.51,2.52,18874924
2023-10-25,sh.600808,2.55,2.63,2.55,2.61,35465879
2023-10-26,sh.600808,2.6,2.63,2.56,2.6,26842118
2023-10-27,sh.600808,2.62,2.64,2.59,2.61,18409404
2023-10-30,sh.600808,2.66,2.73,2.65,2.71,47876309
2023-10-31,sh.600808,2.7,2.79,2.7,2.76,49273856
2023-11-01,sh.600808,2.78,2.82,2.74,2.81,50245188
2023-11-02,sh.600808,2.81,2.82,2.76,2.78,34114300
2023-11-03,sh.600808,2.78,2.79,2.7,2.71,32096156
2023-11-06,sh.600808,2.7,2.74,2.68,2.7,39058072
2023-11-07,sh.600808,2.69,2.7,2.67,2.68,18704984
2023-11-08,sh.600808,2.68,2.69,2.65,2.65,29578659
2023-11-09,sh.600808,2.66,2.69,2.65,2.67,28193005
2023-11-10,sh.600808,2.67,2.68,2.66,2.67,17951900
2023-11-13,sh.600808,2.67,2.74,2.67,2.74,27774434
2023-11-14,sh.600808,2.74,2.75,2.69,2.71,18568500
2023-11-15,sh.600808,2.73,2.77,2.71,2.76,29495616
2023-11-16,sh.600808,2.75,2.76,2.72,2.74,18982134
2023-11-17,sh.600808,2.74,2.75,2.72,2.72,14822205
2023-11-20,sh.600808,2.72,2.77,2.72,2.75,26614485
2023-11-21,sh.600808,2.74,2.78,2.73,2.75,20077780
2023-11-22,sh.600808,2.73,2.77,2.72,2.72,14702280
2023-11-23,sh.600808,2.72,2.76,2.7,2.75,17789600
2023-11-24,sh.600808,2.75,2.76,2.73,2.75,11944467
2023-11-27,sh.600808,2.74,2.75,2.71,2.73,17883980
2023-11-28,sh.600808,2.71,2.74,2.7,2.72,15462637
2023-11-29,sh.600808,2.73,2.74,2.68,2.69,19088310
2023-11-30,sh.600808,2.69,2.71,2.68,2.7,14894373
2023-12-01,sh.600808,2.7,2.76,2.69,2.74,28393680
2023-12-04,sh.600808,2.75,2.79,2.74,2.78,34169652
2023-12-05,sh.600808,2.79,2.79,2.72,2.74,25393300
2023-12-06,sh.600808,2.71,2.73,2.7,2.71,24135431
2023-12-07,sh.600808,2.71,2.76,2.69,2.74,31756675
2023-12-08,sh.600808,2.74,2.78,2.73,2.77,39427045
2023-12-11,sh.600808,2.75,2.76,2.62,2.7,57857822
2023-12-12,sh.600808,2.69,2.74,2.66,2.73,33603998
2023-12-13,sh.600808,2.74,2.76,2.7,2.71,18708100
2023-12-14,sh.600808,2.72,2.74,2.7,2.71,15800902
2023-12-15,sh.600808,2.71,2.72,2.69,2.69,16218889
2023-12-18,sh.600808,2.69,2.74,2.68,2.69,25025310
2023-12-19,sh.600808,2.69,2.7,2.67,2.68,17103540
2023-12-20,sh.600808,2.67,2.73,2.66,2.67,21048871
2023-12-21,sh.600808,2.65,2.67,2.62,2.66,21551444
2023-12-22,sh.600808,2.66,2.68,2.63,2.67,19986872
2023-12-25,sh.600808,2.67,2.69,2.65,2.67,14266200
2023-12-26,sh.600808,2.67,2.71,2.66,2.68,13697000
2023-12-27,sh.600808,2.68,2.69,2.64,2.65,17012591
2023-12-28,sh.600808,2.65,2.7,2.65,2.69,20539497
2023-12-29,sh.600808,2.68,2.74,2.68,2.72,28525811
2024-01-02,sh.600808,2.74,2.8,2.72,2.79,37236086
2024-01-03,sh.600808,2.79,2.82,2.78,2.81,30217001
2024-01-04,sh.600808,2.79,2.84,2.79,2.82,31841927
2024-01-05,sh.600808,2.8,2.85,2.79,2.81,29537235
2024-01-08,sh.600808,2.8,2.81,2.76,2.77,23934683
2024-01-09,sh.600808,2.77,2.8,2.74,2.79,22754784
2024-01-10,sh.600808,2.78,2.8,2.74,2.78,18788642
2024-01-11,sh.600808,2.77,2.8,2.74,2.78,18592266
2024-01-12,sh.600808,2.78,2.81,2.76,2.78,17834072
2024-01-15,sh.600808,2.8,2.82,2.77,2.79,18968137
2024-01-16,sh.600808,2.8,2.82,2.76,2.81,23032300
2024-01-17,sh.600808,2.79,2.8,2.73,2.73,26341991
2024-01-18,sh.600808,2.72,2.73,2.58,2.64,50496819
2024-01-19,sh.600808,2.66,2.69,2.63,2.64,29516006
2024-01-22,sh.600808,2.63,2.63,2.5,2.51,41961100
2024-01-23,sh.600808,2.52,2.54,2.47,2.52,35016700
2024-01-24,sh.600808,2.54,2.63,2.51,2.61,42641555
2024-01-25,sh.600808,2.62,2.74,2.6,2.73,51359001
2024-01-26,sh.600808,2.73,2.8,2.72,2.79,40425179
2024-01-29,sh.600808,2.78,2.81,2.75,2.76,37743901
2024-01-30,sh.600808,2.78,2.79,2.71,2.72,32588087
2024-01-31,sh.600808,2.72,2.74,2.62,2.64,42374166
2024-02-01,sh.600808,2.64,2.66,2.58,2.59,44271002
2024-02-02,sh.600808,2.59,2.64,2.49,2.55,52738300
2024-02-05,sh.600808,2.54,2.55,2.4,2.45,70158784
2024-02-06,sh.600808,2.42,2.54,2.39,2.53,62539672
2024-02-07,sh.600808,2.53,2.74,2.51,2.7,112572528
2024-02-08,sh.600808,2.71,2.8,2.69,2.76,73703962
2024-02-19,sh.600808,2.8,2.83,2.75,2.77,57971586
2024-02-20,sh.600808,2.76,2.76,2.7,2.73,30412747
2024-02-21,sh.600808,2.73,2.77,2.7,2.72,31881706
2024-02-22,sh.600808,2.72,2.74,2.7,2.72,26694096
2024-02-23,sh.600808,2.73,2.74,2.68,2.7,31469101
2024-02-26,sh.600808,2.71,2.72,2.63,2.64,47150941
2024-02-27,sh.600808,2.64,2.67,2.62,2.66,27962399
2024-02-28,sh.600808,2.66,2.71,2.63,2.63,47161367
2024-02-29,sh.600808,2.63,2.68,2.62,2.65,36983469
2024-03-01,sh.600808,2.66,2.66,2.62,2.63,36553548
2024-03-04,sh.600808,2.63,2.64,2.56,2.58,41406091
2024-03-05,sh.600808,2.59,2.59,2.56,2.58,26481300
2024-03-06,sh.600808,2.56,2.6,2.56,2.57,28244301
2024-03-07,sh.600808,2.58,2.67,2.57,2.65,55730794
2024-03-08,sh.600808,2.63,2.66,2.6,2.61,30692411
2024-03-11,sh.600808,2.61,2.63,2.58,2.61,37298510
2024-03-12,sh.600808,2.6,2.6,2.55,2.56,48106371
2024-03-13,sh.600808,2.56,2.57,2.53,2.56,29169248
2024-03-14,sh.600808,2.55,2.59,2.54,2.55,32239858
2024-03-15,sh.600808,2.55,2.58,2.52,2.57,43124092
2024-03-18,sh.600808,2.58,2.59,2.54,2.56,37127335
2024-03-19,sh.600808,2.57,2.61,2.55,2.55,52385497
2024-03-20,sh.600808,2.55,2.56,2.53,2.54,36535066
2024-03-21,sh.600808,2.54,2.55,2.52,2.52,34004270
2024-03-22,sh.600808,2.52,2.53,2.47,2.5,45244049
2024-03-25,sh.600808,2.49,2.51,2.46,2.46,48520422
2024-03-26,sh.600808,2.46,2.48,2.41,2.44,48626980
