date,stock_code,open,high,low,close,volume
2023-07-03,sh.600497,4.78035607,4.86588928,4.77085238,4.83737821,54586100
2023-07-04,sh.600497,5.3220664,5.3220664,5.10348153,5.1319926,500084109
2023-07-05,sh.600497,5.07497046,5.64519186,5.02745201,5.64519186,771769723
2023-07-06,sh.600497,5.702214,5.81625828,5.5121402,5.65469555,770412157
2023-07-07,sh.600497,5.59767341,5.59767341,5.28405164,5.43611068,467406786
2023-07-10,sh.600497,5.39809592,5.6071771,5.34107378,5.36008116,299489151
2023-07-11,sh.600497,5.34107378,5.36958485,5.20802212,5.27454795,278420452
2023-07-12,sh.600497,5.24603688,5.35057747,5.21752581,5.26504426,246970997
2023-07-13,sh.600497,5.28405164,5.34107378,5.2270295,5.25554057,181027058
2023-07-14,sh.600497,5.25554057,5.35057747,5.24603688,5.27454795,177958745
2023-07-17,sh.600497,5.23653319,5.24603688,5.16050367,5.19851843,128699460
2023-07-18,sh.600497,5.18901474,5.21752581,5.16050367,5.17951105,89062021
2023-07-19,sh.600497,5.19851843,5.24603688,5.16050367,5.20802212,107555561
2023-07-20,sh.600497,5.20802212,5.27454795,5.17951105,5.18901474,126323252
2023-07-21,sh.600497,5.17000736,5.27454795,5.14149629,5.21752581,98147251
2023-07-24,sh.600497,5.19851843,5.20802212,5.12248891,5.1319926,98745718
2023-07-25,sh.600497,5.17951105,5.26504426,5.17951105,5.25554057,122058323
2023-07-26,sh.600497,5.26504426,5.28405164,5.18901474,5.23653319,83284415
2023-07-27,sh.600497,5.24603688,5.31256271,5.20802212,5.21752581,103901922
2023-07-28,sh.600497,5.20802212,5.33157009,5.17000736,5.3220664,162155895
2023-07-31,sh.600497,5.3220664,5.44561437,5.31256271,5.37908854,142162434
2023-08-01,sh.600497,5.37908854,5.5121402,5.30305902,5.44561437,209353610
2023-08-02,sh.600497,5.6071771,5.6071771,5.43611068,5.46462175,256820427
2023-08-03,sh.600497,5.39809592,5.42660699,5.3220664,5.36008116,138925646
2023-08-04,sh.600497,5.36958485,5.45511806,5.36008116,5.36008116,110256116
2023-08-07,sh.600497,5.39809592,5.44561437,5.36008116,5.38859223,112300944
2023-08-08,sh.600497,5.37908854,5.40759961,5.30305902,5.36008116,82660211
2023-08-09,sh.600497,5.3220664,5.34107378,5.27454795,5.28405164,63468522
2023-08-10,sh.600497,5.29355533,5.3220664,5.24603688,5.26504426,54383902
2023-08-11,sh.600497,5.27454795,5.31256271,5.17000736,5.17951105,67812926
2023-08-14,sh.600497,5.1319926,5.17000736,5.07497046,5.15099998,72691781
2023-08-15,sh.600497,5.14149629,5.17000736,5.08447415,5.1319926,52435235
2023-08-16,sh.600497,5.10348153,5.16050367,5.07497046,5.10348153,49825348
2023-08-17,sh.600497,5.08447415,5.15099998,4.99894094,5.14149629,68136351
2023-08-18,sh.600497,5.1319926,5.18901474,5.08447415,5.08447415,61072240
2023-08-21,sh.600497,5.07497046,5.10348153,4.97993356,4.98943725,60811670
2023-08-22,sh.600497,4.98943725,5.07497046,4.98943725,5.05596308,59004460
2023-08-23,sh.600497,5.06546677,5.07497046,4.96092618,4.96092618,58474177
2023-08-24,sh.600497,4.98943725,5.11298522,4.97042987,5.00844463,75553577
2023-08-25,sh.600497,4.98943725,5.01794832,4.92291142,4.95142249,61028296
2023-08-28,sh.600497,5.19851843,5.19851843,5.02745201,5.06546677,109933386
2023-08-29,sh.600497,5.05596308,5.09397784,5.01794832,5.07497046,85943372
2023-08-30,sh.600497,5.05596308,5.14149629,5.0369557,5.04645939,83640999
2023-08-31,sh.600497,5.0369557,5.07497046,4.96092618,4.98943725,87804162
2023-09-01,sh.600497,4.98943725,5.11298522,4.97993356,5.11298522,98036957
2023-09-04,sh.600497,5.1319926,5.33157009,5.11298522,5.30305902,153951602
2023-09-05,sh.600497,5.27454795,5.28405164,5.20802212,5.25554057,77310941
2023-09-06,sh.600497,5.23653319,5.25554057,5.20802212,5.23653319,43700388
2023-09-07,sh.600497,5.20802212,5.2270295,5.12248891,5.14149629,57024643
2023-09-08,sh.600497,5.12248891,5.17951105,5.11298522,5.14149629,40190560
2023-09-11,sh.600497,5.15099998,5.24603688,5.14149629,5.21752581,74484887
2023-09-12,sh.600497,5.25554057,5.27454795,5.17951105,5.18901474,49573488
2023-09-13,sh.600497,5.18901474,5.24603688,5.17000736,5.20802212,51382707
2023-09-14,sh.600497,5.20802212,5.29355533,5.19851843,5.25554057,82723108
2023-09-15,sh.600497,5.27454795,5.30305902,5.23653319,5.27454795,80589051
2023-09-18,sh.600497,5.24603688,5.26504426,5.15099998,5.21752581,64460216
2023-09-19,sh.600497,5.19851843,5.24603688,5.17000736,5.19851843,45002564
2023-09-20,sh.600497,5.18901474,5.20802212,5.14149629,5.15099998,33759455
2023-09-21,sh.600497,5.14149629,5.16050367,5.07497046,5.09397784,45819409
2023-09-22,sh.600497,5.08447415,5.14149629,5.06546677,5.12248891,48016552
2023-09-25,sh.600497,5.10348153,5.15099998,5.08447415,5.08447415,34496278
2023-09-26,sh.600497,5.07497046,5.09397784,5.0369557,5.0369557,28136051
2023-09-27,sh.600497,5.0369557,5.06546677,5.01794832,5.01794832,40656017
2023-09-28,sh.600497,5.01794832,5.06546677,5.01794832,5.02745201,36753277
2023-10-09,sh.600497,5.0369557,5.06546677,4.97993356,5.04645939,42807429
2023-10-10,sh.600497,5.0369557,5.06546677,4.98943725,4.99894094,36572034
2023-10-11,sh.600497,5.01794832,5.01794832,4.9419188,4.95142249,46486421
2023-10-12,sh.600497,4.97993356,5.04645939,4.96092618,5.0369557,46462972
2023-10-13,sh.600497,5.00844463,5.01794832,4.9419188,4.96092618,40945196
2023-10-16,sh.600497,4.97993356,4.98943725,4.92291142,4.95142249,34126127
2023-10-17,sh.600497,4.95142249,4.96092618,4.89440035,4.92291142,37069797
2023-10-18,sh.600497,4.91340773,4.92291142,4.82787452,4.85638559,51617027
2023-10-19,sh.600497,4.83737821,4.90390404,4.80886714,4.83737821,41246198
2023-10-20,sh.600497,4.80886714,4.8468819,4.76134869,4.78035607,50353193
2023-10-23,sh.600497,4.76134869,4.76134869,4.51425275,4.55226751,93623133
2023-10-24,sh.600497,4.5617712,4.67581548,4.55226751,4.66631179,66106134
2023-10-25,sh.600497,4.70432655,4.76134869,4.69482286,4.72333393,45474941
2023-10-26,sh.600497,4.70432655,4.77085238,4.67581548,4.76134869,34816359
2023-10-27,sh.600497,4.78035607,4.85638559,4.76134869,4.83737821,51210643
2023-10-30,sh.600497,4.8468819,4.92291142,4.83737821,4.90390404,56186136
2023-10-31,sh.600497,4.91340773,4.95142249,4.89440035,4.91340773,38203047
2023-11-01,sh.600497,4.93241511,4.9419188,4.89440035,4.90390404,35914881
2023-11-02,sh.600497,4.95142249,4.96092618,4.83737821,4.85638559,37286210
2023-11-03,sh.600497,4.85638559,4.88489666,4.82787452,4.85638559,43600610
2023-11-06,sh.600497,4.89440035,4.92291142,4.85638559,4.92291142,43437239
2023-11-07,sh.600497,4.89440035,4.92291142,4.86588928,4.90390404,30626708
2023-11-08,sh.600497,4.87539297,4.90390404,4.8468819,4.86588928,34513000
2023-11-09,sh.600497,4.8468819,4.90390404,4.8468819,4.86588928,31144533
2023-11-10,sh.600497,4.8468819,4.85638559,4.81837083,4.8468819,26569271
2023-11-13,sh.600497,4.8468819,4.89440035,4.82787452,4.89440035,33658043
2023-11-14,sh.600497,4.89440035,4.91340773,4.86588928,4.87539297,28949270
2023-11-15,sh.600497,4.90390404,4.96092618,4.89440035,4.92291142,37723840
