date,stock_code,open,high,low,close,volume
2023-07-03,sz.000830,9.53737274,9.70864881,9.53737274,9.68160522,16248143
2023-07-04,sz.000830,9.68160522,9.74470693,9.60047445,9.69963428,14366160
2023-07-05,sz.000830,9.68160522,9.8258377,9.65456163,9.75372146,12512304
2023-07-06,sz.000830,9.74470693,9.78977958,9.66357616,9.77175052,9657905
2023-07-07,sz.000830,9.75372146,10.02415736,9.74470693,9.95204112,21437599
2023-07-10,sz.000830,9.97908471,10.16838984,9.85288129,10.13233172,21832265
2023-07-11,sz.000830,10.10528813,10.24952061,10.01514283,10.21346249,15693894
2023-07-12,sz.000830,10.17740437,10.30360779,10.14134625,10.17740437,14669167
2023-07-13,sz.000830,10.21346249,10.2765642,10.15036078,10.1864189,11814218
2023-07-14,sz.000830,10.20444796,10.29459326,10.16838984,10.22247702,10557600
2023-07-17,sz.000830,9.95204112,10.22247702,9.85288129,10.16838984,17650413
2023-07-18,sz.000830,10.20444796,10.29459326,10.14134625,10.21346249,12033645
2023-07-19,sz.000830,10.16838984,10.25853514,10.03317189,10.15937531,16077812
2023-07-20,sz.000830,10.20721009,10.22634263,10.0445835,10.05414977,17685008
2023-07-21,sz.000830,10.06371604,10.16894501,9.99675215,10.06371604,9872900
2023-07-24,sz.000830,10.19764382,10.20721009,9.92022199,9.96805334,11097461
2023-07-25,sz.000830,10.0445835,10.15937874,9.93935453,9.99675215,16537100
2023-07-26,sz.000830,10.07328231,10.21677636,9.99675215,10.09241485,21369456
2023-07-27,sz.000830,10.05414977,10.28374025,9.97761961,10.03501723,18988656
2023-07-28,sz.000830,9.96805334,10.09241485,9.77672794,10.06371604,20779326
2023-07-31,sz.000830,10.1402462,10.2359089,10.02545096,10.11154739,18947464
2023-08-01,sz.000830,10.13067993,10.1402462,9.93935453,10.01588469,13292300
2023-08-02,sz.000830,10.00631842,10.0445835,9.9489208,10.02545096,7784991
2023-08-03,sz.000830,9.99675215,10.01588469,9.90108945,9.99675215,9337436
2023-08-04,sz.000830,10.02545096,10.11154739,9.92978826,9.92978826,12053210
2023-08-07,sz.000830,9.92978826,9.92978826,9.7575954,9.76716167,15180863
2023-08-08,sz.000830,9.76716167,9.87239064,9.68106524,9.83412556,11573200
2023-08-09,sz.000830,9.82455929,9.82455929,9.70976405,9.73846286,7275097
2023-08-10,sz.000830,9.76716167,9.90108945,9.72889659,9.80542675,7905534
2023-08-11,sz.000830,9.84369183,9.8532581,9.67149897,9.68106524,8868931
2023-08-14,sz.000830,9.67149897,9.78629421,9.51843865,9.7575954,13306215
2023-08-15,sz.000830,9.7575954,9.80542675,9.69063151,9.73846286,7956179
2023-08-16,sz.000830,9.68106524,9.74802913,9.64280016,9.65236643,5726859
2023-08-17,sz.000830,9.65236643,9.72889659,9.48973984,9.70019778,12141862
2023-08-18,sz.000830,9.69063151,9.73846286,9.58540254,9.59496881,8667920
2023-08-21,sz.000830,9.57583627,9.95848707,9.57583627,9.80542675,19636616
2023-08-22,sz.000830,9.81499302,9.88195691,9.52800492,9.63323389,20646946
2023-08-23,sz.000830,9.63323389,9.71933032,9.53757119,9.53757119,10307923
2023-08-24,sz.000830,9.54713746,9.63323389,9.50887238,9.51843865,10516341
2023-08-25,sz.000830,9.48973984,9.63323389,9.48973984,9.51843865,9445123
2023-08-28,sz.000830,9.92022199,10.27417398,9.83412556,10.2359089,59327591
2023-08-29,sz.000830,10.07328231,10.08284858,9.51843865,10.00631842,53329392
2023-08-30,sz.000830,9.86282437,10.05414977,9.80542675,9.97761961,23195779
2023-08-31,sz.000830,9.9489208,9.98718588,9.71933032,9.72889659,13982405
2023-09-01,sz.000830,9.76716167,10.35070414,9.73846286,10.22634263,37609275
2023-09-04,sz.000830,10.4272343,11.24993352,10.4272343,11.24993352,84966202
2023-09-05,sz.000830,11.45082519,11.56562043,11.17340336,11.2881986,75312492
2023-09-06,sz.000830,11.2881986,11.479524,11.07774066,11.37429503,45468472
2023-09-07,sz.000830,11.32646368,11.39342757,11.13513828,11.17340336,24929246
2023-09-08,sz.000830,11.0968732,11.27863233,10.95337915,11.10643947,20141642
2023-09-11,sz.000830,11.18296963,11.34559622,11.0012105,11.02034304,19766788
2023-09-12,sz.000830,10.93424661,11.07774066,10.92468034,10.98207796,11361209
2023-09-13,sz.000830,10.97251169,11.14470455,10.93424661,11.03947558,16250399
