date,stock_code,open,high,low,close,volume
2023-07-03,sz.300054,24.95,25.38,24.2,24.3,7998729
2023-07-04,sz.300054,24.18,24.28,23.45,23.9,11458514
2023-07-05,sz.300054,23.82,23.95,23.24,23.36,10855824
2023-07-06,sz.300054,23.5,23.83,23.36,23.72,7402465
2023-07-07,sz.300054,23.61,23.69,23.34,23.47,6095460
2023-07-10,sz.300054,23.52,23.53,22.8,22.96,8098933
2023-07-11,sz.300054,23.06,23.72,22.86,23.61,7492280
2023-07-12,sz.300054,23.56,23.6,22.77,22.88,6432846
2023-07-13,sz.300054,23.05,23.64,22.78,23.42,6444487
2023-07-14,sz.300054,23.42,23.9,23.25,23.69,6379300
2023-07-17,sz.300054,23.68,24.21,23.31,23.51,6078510
2023-07-18,sz.300054,23.98,24.03,23.24,23.31,5648379
2023-07-19,sz.300054,23.2,23.49,22.9,23.23,3823186
2023-07-20,sz.300054,23.3,23.38,22.65,22.73,5159037
2023-07-21,sz.300054,22.64,22.8,22.45,22.62,5046348
2023-07-24,sz.300054,22.49,23.05,22.42,22.95,4786211
2023-07-25,sz.300054,23.08,23.27,22.93,22.95,3321000
2023-07-26,sz.300054,22.96,23.59,22.77,23.26,6328288
2023-07-27,sz.300054,23.19,23.19,22.21,22.56,8664469
2023-07-28,sz.300054,22.56,22.6,22.25,22.39,3739176
2023-07-31,sz.300054,22.36,22.89,22.21,22.55,4745866
2023-08-01,sz.300054,22.45,23.08,22.3,23.03,4547024
2023-08-02,sz.300054,22.93,23.76,22.93,23.7,6934883
2023-08-03,sz.300054,23.6,23.74,23.28,23.42,3317712
2023-08-04,sz.300054,23.38,23.62,22.9,22.95,5228196
2023-08-07,sz.300054,22.98,23.4,22.5,23.32,5604672
2023-08-08,sz.300054,23.3,23.39,22.93,23.27,3480300
2023-08-09,sz.300054,23.2,23.52,23.08,23.38,3456867
2023-08-10,sz.300054,23.39,23.8,23.35,23.61,3690405
2023-08-11,sz.300054,23.62,23.8,23.0,23.1,2597588
2023-08-14,sz.300054,22.84,23.17,22.76,22.99,3259151
2023-08-15,sz.300054,23.0,23.13,21.79,22.35,7028645
2023-08-16,sz.300054,22.25,22.43,21.9,22.06,2274335
2023-08-17,sz.300054,21.96,22.12,21.73,21.98,2612300
2023-08-18,sz.300054,21.87,21.99,21.41,21.43,3118515
2023-08-21,sz.300054,21.35,22.04,21.15,21.65,3092556
2023-08-22,sz.300054,21.81,21.81,21.13,21.55,2536600
2023-08-23,sz.300054,21.33,21.98,20.51,20.79,3830751
2023-08-24,sz.300054,21.05,21.13,20.56,20.84,6094595
2023-08-25,sz.300054,20.88,21.02,20.3,20.46,3736100
2023-08-28,sz.300054,21.79,21.93,19.82,19.85,8802013
2023-08-29,sz.300054,19.8,20.97,19.8,20.77,5948813
2023-08-30,sz.300054,21.0,21.69,20.91,21.02,5756866
2023-08-31,sz.300054,21.12,21.92,20.91,21.27,8209243
2023-09-01,sz.300054,21.14,21.88,20.65,20.95,8002602
2023-09-04,sz.300054,20.95,21.3,20.52,21.04,6233575
2023-09-05,sz.300054,21.28,21.94,21.06,21.32,11171978
2023-09-06,sz.300054,21.2,22.8,21.02,22.54,17179671
2023-09-07,sz.300054,22.26,22.6,21.41,21.52,11838454
2023-09-08,sz.300054,21.18,22.04,21.06,21.72,8981543
2023-09-11,sz.300054,21.72,22.48,21.41,21.86,11690747
2023-09-12,sz.300054,21.87,21.94,21.53,21.68,5003402
2023-09-13,sz.300054,21.57,22.12,21.5,21.76,6546975
2023-09-14,sz.300054,21.6,21.8,21.0,21.2,7889025
2023-09-15,sz.300054,21.2,21.56,21.01,21.18,5809066
2023-09-18,sz.300054,21.01,21.1,20.71,20.96,5079916
2023-09-19,sz.300054,20.97,21.0,20.41,20.59,5391858
