date,stock_code,open,high,low,close,volume
2023-07-03,sh.601665,3.41878953,3.44488716,3.41009032,3.44488716,12022627
2023-07-04,sh.601665,3.44488716,3.45358637,3.41878953,3.43618795,13638537
2023-07-05,sh.601665,3.42748874,3.44488716,3.41878953,3.43618795,7289381
2023-07-06,sh.601665,3.43618795,3.44488716,3.41878953,3.41878953,8343754
2023-07-07,sh.601665,3.41878953,3.47098479,3.41878953,3.45358637,16732121
2023-07-10,sh.601665,3.46272592,3.46272592,3.41704352,3.42618,20108779
2023-07-11,sh.601665,3.42618,3.45358944,3.42618,3.45358944,9345534
2023-07-12,sh.601665,3.45358944,3.49927184,3.44445296,3.46272592,13667296
2023-07-13,sh.601665,3.4718624,3.50840832,3.46272592,3.49927184,12500521
2023-07-14,sh.601665,3.49927184,3.5175448,3.48099888,3.49927184,10927357
2023-07-17,sh.601665,3.49013536,3.5175448,3.48099888,3.5175448,12492269
2023-07-18,sh.601665,3.5175448,3.52668128,3.49013536,3.5175448,9084900
2023-07-19,sh.601665,3.5175448,3.55409072,3.5175448,3.54495424,12901156
2023-07-20,sh.601665,3.55409072,3.5632272,3.53581776,3.54495424,11228852
2023-07-21,sh.601665,3.53581776,3.57236368,3.52668128,3.5632272,10228397
2023-07-24,sh.601665,3.55409072,3.58150016,3.54495424,3.57236368,8108615
2023-07-25,sh.601665,3.58150016,3.6089096,3.57236368,3.59977312,17176237
2023-07-26,sh.601665,3.59977312,3.61804608,3.58150016,3.59977312,11122053
2023-07-27,sh.601665,3.59977312,3.64545552,3.59063664,3.62718256,18716712
2023-07-28,sh.601665,3.6089096,3.73682032,3.59977312,3.72768384,41403576
2023-07-31,sh.601665,3.72768384,3.78250272,3.72768384,3.77336624,38195886
2023-08-01,sh.601665,3.7459568,3.7916392,3.73682032,3.7916392,29329136
2023-08-02,sh.601665,3.76422976,3.7916392,3.73682032,3.75509328,24413152
2023-08-03,sh.601665,3.7459568,3.80077568,3.72768384,3.78250272,26087111
2023-08-04,sh.601665,3.80077568,3.87386752,3.78250272,3.81904864,37914713
2023-08-07,sh.601665,3.7916392,3.80077568,3.75509328,3.78250272,21628024
2023-08-08,sh.601665,3.7916392,3.7916392,3.73682032,3.76422976,17839168
2023-08-09,sh.601665,3.75509328,3.80077568,3.73682032,3.7916392,21751152
2023-08-10,sh.601665,3.7916392,3.80077568,3.76422976,3.78250272,10492628
2023-08-11,sh.601665,3.7916392,3.7916392,3.72768384,3.73682032,15694545
2023-08-14,sh.601665,3.70941088,3.73682032,3.69113792,3.70941088,13626100
2023-08-15,sh.601665,3.70941088,3.7459568,3.69113792,3.7459568,11055358
2023-08-16,sh.601665,3.73682032,3.76422976,3.70941088,3.7459568,8753391
2023-08-17,sh.601665,3.7459568,3.77336624,3.70941088,3.72768384,15346776
2023-08-18,sh.601665,3.72768384,3.77336624,3.71854736,3.7459568,11500210
2023-08-21,sh.601665,3.7459568,3.76422976,3.70941088,3.72768384,12281619
2023-08-22,sh.601665,3.71854736,3.7459568,3.69113792,3.71854736,12862332
2023-08-23,sh.601665,3.71854736,3.75509328,3.7002744,3.72768384,11641179
2023-08-24,sh.601665,3.71854736,3.7459568,3.66372848,3.68200144,14379253
2023-08-25,sh.601665,3.67286496,3.75509328,3.66372848,3.7002744,13079382
2023-08-28,sh.601665,3.883004,3.91954992,3.77336624,3.7916392,42100022
2023-08-29,sh.601665,3.7916392,3.80077568,3.66372848,3.69113792,32505200
2023-08-30,sh.601665,3.70941088,3.70941088,3.59063664,3.59977312,23540000
2023-08-31,sh.601665,3.59063664,3.62718256,3.5632272,3.58150016,16389920
2023-09-01,sh.601665,3.59063664,3.64545552,3.57236368,3.61804608,14107944
2023-09-04,sh.601665,3.63631904,3.78250272,3.6089096,3.77336624,38017699
2023-09-05,sh.601665,3.78250272,3.80077568,3.71854736,3.78250272,27173163
2023-09-06,sh.601665,3.78250272,3.8373216,3.76422976,3.80991216,19774807
2023-09-07,sh.601665,3.80991216,3.8373216,3.7916392,3.80077568,15109355
2023-09-08,sh.601665,3.78250272,3.81904864,3.76422976,3.78250272,11231070
2023-09-11,sh.601665,3.7916392,3.82818512,3.77336624,3.7916392,18077083
2023-09-12,sh.601665,3.78250272,3.80077568,3.76422976,3.77336624,15007635
2023-09-13,sh.601665,3.7916392,3.7916392,3.75509328,3.77336624,14433680
2023-09-14,sh.601665,3.80077568,3.82818512,3.78250272,3.80991216,18098131
2023-09-15,sh.601665,3.8373216,3.84645808,3.80077568,3.81904864,16618300
2023-09-18,sh.601665,3.80991216,3.82818512,3.77336624,3.80991216,14055097
2023-09-19,sh.601665,3.80991216,3.85559456,3.80077568,3.8373216,18658608
