profit_code,profit_pubDate,profit_statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,operation_code,operation_pubDate,operation_statDate,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_code,growth_pubDate,growth_statDate,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,balance_code,balance_pubDate,balance_statDate,balance_currentRatio,balance_quickRatio,balance_cashRatio,balance_YOYLiability,balance_liabilityToAsset,balance_assetToEquity,cash_code,cash_pubDate,cash_statDate,cash_CAToAsset,cash_NCAToAsset,cash_tangibleAssetToAsset,cash_ebitToInterest,cash_CFOToOR,cash_CFOToNP,cash_CFOToGr,dupont_code,dupont_pubDate,dupont_statDate,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,statDate
sh.600487,2020-04-30,2020-03-31,0.016905,0.031717,0.172747,188576563.82,0.583167,,1952745341.0,1861743620.0,sh.600487,2020-04-30,2020-03-31,0.61242,146.957958,1.025182,87.789277,0.223207,0.141522,sh.600487,2020-04-30,2020-03-31,0.060962,0.103853,-0.574565,-0.489167,-0.488938,sh.600487,2020-04-30,2020-03-31,1.265824,1.034377,0.280832,0.046722,0.600444,2.502776,sh.600487,2020-04-30,2020-03-31,0.627541,0.372459,0.24242,2.001643,-0.180444,-5.689127,-0.180444,sh.600487,2020-04-30,2020-03-31,0.016905,3.042117,0.141522,1.237961,0.031717,0.862788,0.550839,0.066737,2020-03-31
sh.600487,2020-08-31,2020-06-30,0.031162,0.027775,0.154403,429687477.64,0.55038,,1952757076.0,1861755355.0,sh.600487,2020-08-31,2020-06-30,1.55963,115.412025,2.794858,64.40399,0.574398,0.368027,sh.600487,2020-08-31,2020-06-30,0.117833,0.076041,-0.393672,-0.40099,-0.393309,sh.600487,2020-08-31,2020-06-30,1.338548,1.110508,0.318564,-0.028112,0.581035,2.386835,sh.600487,2020-08-31,2020-06-30,0.640655,0.359345,0.268338,2.51699,-0.016898,-0.608393,-0.016898,sh.600487,2020-08-31,2020-06-30,0.031162,2.955158,0.368027,1.031603,0.027775,0.8564,0.6027,0.053811,2020-06-30
sh.600487,2020-10-31,2020-09-30,0.060284,0.035011,0.15973,888024292.99,0.537047,,1952764320.0,1905123032.0,sh.600487,2020-10-31,2020-09-30,2.507911,107.659314,4.409131,61.236563,0.950534,0.604909,sh.600487,2020-10-31,2020-09-30,0.140102,0.041358,-0.220683,-0.2784,-0.263964,sh.600487,2020-10-31,2020-09-30,1.371874,1.118237,0.295666,-0.090422,0.56592,2.303721,sh.600487,2020-10-31,2020-09-30,0.632135,0.367865,0.278714,2.700546,0.014073,0.40197,0.014073,sh.600487,2020-10-31,2020-09-30,0.060284,2.892594,0.604909,0.984061,0.035011,0.85929,0.694851,0.058637,2020-09-30
sh.600487,2021-04-29,2020-12-31,0.063083,0.035789,0.164012,1159003994.55,0.449481,31682816249.39,2362188385.0,1905123864.0,sh.600487,2021-04-29,2020-12-31,3.056555,117.779644,5.670114,63.490786,1.09313,0.721795,sh.600487,2021-04-29,2020-12-31,0.462221,0.175459,-0.134768,-0.236111,-0.220511,sh.600487,2021-04-29,2020-12-31,1.541263,1.312933,0.456834,0.014522,0.518571,2.077149,sh.600487,2021-04-29,2020-12-31,0.676908,0.323092,0.34385,3.267809,0.049789,1.391182,0.049789,sh.600487,2021-04-29,2020-12-31,0.063083,2.665643,0.721795,0.916096,0.035789,0.86497,0.693985,0.059621,2020-12-31
sh.600487,2021-04-29,2021-03-31,0.013099,0.035007,0.159989,244132490.2,0.462471,,2362188782.0,1952765549.0,sh.600487,2021-04-29,2021-03-31,0.664953,135.347828,1.174188,76.648743,0.204008,0.14013,sh.600487,2021-04-29,2021-03-31,0.458116,0.193408,0.294607,-0.088091,0.131438,sh.600487,2021-04-29,2021-03-31,1.53338,1.312699,0.556973,0.065494,0.536086,2.155571,sh.600487,2021-04-29,2021-03-31,0.696355,0.303645,0.333244,2.520917,-0.132096,-3.773384,-0.132096,sh.600487,2021-04-29,2021-03-31,0.013099,2.468026,0.14013,1.081931,0.035007,0.861216,0.633066,0.064209,2021-03-31
sh.600487,2021-08-24,2021-06-30,0.033291,0.038513,0.165527,695431557.45,0.545923,,2362190244.0,2281483491.0,sh.600487,2021-08-24,2021-06-30,1.52441,118.078446,2.969101,60.624411,0.523654,0.359445,sh.600487,2021-08-24,2021-06-30,0.375409,0.213959,0.618459,0.235755,0.513946,sh.600487,2021-08-24,2021-06-30,1.524704,1.30165,0.513768,0.139113,0.545212,2.198825,sh.600487,2021-08-24,2021-06-30,0.695286,0.304714,0.326575,4.260984,-0.018542,-0.481444,-0.018542,sh.600487,2021-08-24,2021-06-30,0.033291,2.492099,0.359445,0.964987,0.038513,0.820497,0.765312,0.061332,2021-06-30
sh.600487,2021-10-28,2021-09-30,0.064438,0.046579,0.164558,1388618889.09,0.636526,,2362193251.0,2281486498.0,sh.600487,2021-10-28,2021-09-30,2.429053,111.154413,4.751782,56.820794,0.864853,0.591428,sh.600487,2021-10-28,2021-09-30,0.360664,0.227972,0.563717,0.235033,0.505613,sh.600487,2021-10-28,2021-09-30,1.57819,1.332609,0.504485,0.156266,0.532873,2.140747,sh.600487,2021-10-28,2021-09-30,0.690278,0.309722,0.335149,4.492668,0.017246,0.370249,0.017246,sh.600487,2021-10-28,2021-09-30,0.064438,2.468708,0.591428,0.947495,0.046579,0.848907,0.82934,0.066161,2021-09-30
sh.600487,2022-04-26,2021-12-31,0.070476,0.038234,0.15952,1577949347.09,0.608033,40945193224.42,2362208953.0,2281502200.0,sh.600487,2022-04-26,2021-12-31,3.157933,113.998635,6.927184,51.969167,1.199392,0.817719,sh.600487,2022-04-26,2021-12-31,0.038942,0.081936,0.36147,0.109091,0.352757,sh.600487,2022-04-26,2021-12-31,1.507052,1.291343,0.453644,0.105978,0.530094,2.128085,sh.600487,2022-04-26,2021-12-31,0.68628,0.31372,0.328308,4.729024,0.033339,0.871985,0.033339,sh.600487,2022-04-26,2021-12-31,0.070476,2.476482,0.817719,0.910233,0.038234,0.908175,0.78854,0.053389,2021-12-31
sh.600487,2022-04-26,2022-03-31,0.016448,0.037343,0.149471,349215201.71,0.641864,,2362210486.0,2281503733.0,sh.600487,2022-04-26,2022-03-31,0.599337,150.165842,1.487742,60.494365,0.25991,0.177763,sh.600487,2022-04-26,2022-03-31,0.035798,0.033474,0.430433,0.302326,0.302557,sh.600487,2022-04-26,2022-03-31,1.553219,1.313946,0.433954,0.016612,0.52734,2.115684,sh.600487,2022-04-26,2022-03-31,0.681615,0.318385,0.331966,3.294413,-0.042475,-1.137437,-0.042475,sh.600487,2022-04-26,2022-03-31,0.016448,2.514953,0.177763,0.98521,0.037343,0.866558,0.729231,0.059094,2022-03-31
sh.600487,2022-08-30,2022-06-30,0.041071,0.041927,0.162317,926843022.55,0.688053,,2362210885.0,2362210885.0,sh.600487,2022-08-30,2022-06-30,1.327719,135.570849,3.635493,49.51186,0.591295,0.407608,sh.600487,2022-08-30,2022-06-30,0.038809,0.077352,0.33276,0.281591,0.281671,sh.600487,2022-08-30,2022-06-30,1.460168,1.270567,0.421137,0.09734,0.555327,2.248843,sh.600487,2022-08-30,2022-06-30,0.692223,0.307777,0.304546,5.855311,-0.030074,-0.717299,-0.030074,sh.600487,2022-08-30,2022-06-30,0.041071,2.589706,0.407608,0.927996,0.041927,0.908572,0.829215,0.055651,2022-06-30
sh.600487,2022-10-29,2022-09-30,0.066747,0.04407,0.160679,1527142064.15,0.652008,,2362214913.0,2362214913.0,sh.600487,2022-10-29,2022-09-30,2.034509,132.710171,5.526822,48.852665,0.921561,0.633096,sh.600487,2022-10-29,2022-09-30,0.044211,0.089513,0.099756,0.078995,0.078954,sh.600487,2022-10-29,2022-09-30,1.475444,1.273265,0.399765,0.129959,0.552656,2.235414,sh.600487,2022-10-29,2022-09-30,0.687628,0.312372,0.310699,6.494737,0.016335,0.370665,0.016335,sh.600487,2022-10-29,2022-09-30,0.066747,2.573552,0.633096,0.929573,0.04407,0.889809,0.825147,0.060023,2022-09-30
sh.600487,2023-04-26,2022-12-31,0.07122,0.034237,0.141714,1590792555.57,0.641958,46132377029.97,2466734657.0,2466734657.0,sh.600487,2023-04-26,2022-12-31,2.873759,125.271463,5.955828,60.44528,1.258584,0.859376,sh.600487,2023-04-26,2022-12-31,0.141083,0.061374,0.008139,0.098361,0.102512,sh.600487,2023-04-26,2022-12-31,1.571788,1.372392,0.421758,0.034748,0.516796,2.06952,sh.600487,2023-04-26,2022-12-31,0.679544,0.320456,0.352473,6.072434,0.018394,0.537259,0.018394,sh.600487,2023-04-26,2022-12-31,0.07122,2.431679,0.859376,0.995441,0.034237,0.943436,0.835321,0.043444,2022-12-31
